"Plot Title:  CascadeInterior_21167417_20220604"
"#","Date","Time, GMT-04:00","Temp, °C (LGR S/N: 21167417, SEN S/N: 21167417)","RH, % (LGR S/N: 21167417, SEN S/N: 21167417)"
1,22-06-04,16:00:00,26.274,58.852
2,22-06-04,16:15:00,25.888,51.770
3,22-06-04,16:30:00,26.617,49.841
4,22-06-04,16:45:00,26.445,46.838
5,22-06-04,17:00:00,26.574,46.935
6,22-06-04,17:15:00,26.917,52.967
7,22-06-04,17:30:00,27.518,43.858
8,22-06-04,17:45:00,26.789,46.886
9,22-06-04,18:00:00,26.531,48.498
10,22-06-04,18:15:00,26.874,46.813
11,22-06-04,18:30:00,26.617,46.960
12,22-06-04,18:45:00,26.488,47.912
13,22-06-04,19:00:00,26.274,50.501
14,22-06-04,19:15:00,25.973,50.427
15,22-06-04,19:30:00,25.888,49.304
16,22-06-04,19:45:00,25.802,49.475
17,22-06-04,20:00:00,25.716,48.449
18,22-06-04,20:15:00,25.416,49.646
19,22-06-04,20:30:00,25.115,50.305
20,22-06-04,20:45:00,24.644,56.239
21,22-06-04,21:00:00,23.871,60.904
22,22-06-04,21:15:00,23.399,61.514
23,22-06-04,21:30:00,23.142,64.054
24,22-06-04,21:45:00,22.799,64.737
25,22-06-04,22:00:00,22.413,64.127
26,22-06-04,22:15:00,22.027,64.396
27,22-06-04,22:30:00,21.855,69.792
28,22-06-04,22:45:00,21.769,70.305
29,22-06-04,23:00:00,21.512,70.525
30,22-06-04,23:15:00,21.640,69.475
31,22-06-04,23:30:00,21.683,70.281
32,22-06-04,23:45:00,21.469,67.814
33,22-06-05,00:00:00,21.683,72.210
34,22-06-05,00:15:00,21.383,70.672
35,22-06-05,00:30:00,21.169,72.430
36,22-06-05,00:45:00,20.868,74.359
37,22-06-05,01:00:00,20.825,73.455
38,22-06-05,01:15:00,20.654,74.383
39,22-06-05,01:30:00,20.482,73.284
40,22-06-05,01:45:00,20.311,74.261
41,22-06-05,02:00:00,20.010,72.869
42,22-06-05,02:15:00,19.924,72.723
43,22-06-05,02:30:00,19.924,73.260
44,22-06-05,02:45:00,20.010,74.799
45,22-06-05,03:00:00,20.096,71.209
46,22-06-05,03:15:00,19.667,75.824
47,22-06-05,03:30:00,19.324,75.067
48,22-06-05,03:45:00,19.152,75.360
49,22-06-05,04:00:00,18.809,75.140
50,22-06-05,04:15:00,18.509,78.315
51,22-06-05,04:30:00,18.294,78.901
52,22-06-05,04:45:00,18.080,79.780
53,22-06-05,05:00:00,17.865,81.050
54,22-06-05,05:15:00,17.565,82.369
55,22-06-05,05:30:00,17.393,83.053
56,22-06-05,05:45:00,17.050,84.005
57,22-06-05,06:00:00,16.879,84.274
58,22-06-05,06:15:00,16.664,85.153
59,22-06-05,06:30:00,16.621,85.006
60,22-06-05,06:45:00,16.492,85.861
61,22-06-05,07:00:00,16.578,86.862
62,22-06-05,07:15:00,16.492,87.375
63,22-06-05,07:30:00,16.793,87.399
64,22-06-05,07:45:00,17.136,86.862
65,22-06-05,08:00:00,17.436,86.325
66,22-06-05,08:15:00,17.994,85.055
67,22-06-05,08:30:00,18.637,84.469
68,22-06-05,08:45:00,19.495,83.028
69,22-06-05,09:00:00,20.010,81.490
70,22-06-05,09:15:00,20.482,79.585
71,22-06-05,09:30:00,21.083,79.878
72,22-06-05,09:45:00,21.340,79.707
73,22-06-05,10:00:00,21.898,79.585
74,22-06-05,10:15:00,22.498,76.190
75,22-06-05,10:30:00,23.228,63.907
76,22-06-05,10:45:00,23.657,63.223
77,22-06-05,11:00:00,23.871,62.613
78,22-06-05,11:15:00,24.214,62.466
79,22-06-05,11:30:00,24.815,58.486
80,22-06-05,11:45:00,24.901,58.339
81,22-06-05,12:00:00,25.544,54.212
82,22-06-05,12:15:00,25.759,54.530
83,22-06-05,12:30:00,25.630,50.867
84,22-06-05,12:45:00,26.231,52.479
85,22-06-05,13:00:00,26.102,51.502
86,22-06-05,13:15:00,25.716,53.089
87,22-06-05,13:30:00,25.931,57.118
88,22-06-05,13:45:00,26.531,52.259
89,22-06-05,14:00:00,25.845,50.818
90,22-06-05,14:15:00,26.188,57.314
91,22-06-05,14:30:00,26.145,51.355
92,22-06-05,14:45:00,25.973,53.895
93,22-06-05,15:00:00,25.201,57.534
94,22-06-05,15:15:00,26.102,47.643
95,22-06-05,15:30:00,26.145,51.868
96,22-06-05,15:45:00,26.488,53.553
97,22-06-05,16:00:00,27.432,46.618
98,22-06-05,16:15:00,27.132,49.988
99,22-06-05,16:30:00,27.175,45.641
100,22-06-05,16:45:00,26.531,49.231
101,22-06-05,17:00:00,26.917,48.181
102,22-06-05,17:15:00,26.574,53.040
103,22-06-05,17:30:00,26.660,49.890
104,22-06-05,17:45:00,26.789,46.276
105,22-06-05,18:00:00,25.759,50.916
106,22-06-05,18:15:00,25.459,56.630
107,22-06-05,18:30:00,25.244,55.824
108,22-06-05,18:45:00,25.287,56.825
109,22-06-05,19:00:00,25.030,56.874
110,22-06-05,19:15:00,24.515,59.902
111,22-06-05,19:30:00,24.772,58.291
