"#","Date","Time, GMT-04:00","Temp, °F (LGR S/N: 21074442, SEN S/N: 21074442)","RH, % (LGR S/N: 21074442, SEN S/N: 21074442)"
1,21-07-10,11:00:00 AM,74.890,93.309
2,21-07-10,11:15:00 AM,75.663,93.284
3,21-07-10,11:30:00 AM,75.895,93.089
4,21-07-10,11:45:00 AM,76.590,92.112
5,21-07-10,12:00:00 PM,76.667,90.794
6,21-07-10,12:15:00 PM,77.671,91.844
7,21-07-10,12:30:00 PM,78.598,82.295
8,21-07-10,12:45:00 PM,80.760,77.534
9,21-07-10,01:00:00 PM,78.906,89.499
10,21-07-10,01:15:00 PM,78.598,88.083
11,21-07-10,01:30:00 PM,72.883,90.745
12,21-07-10,01:45:00 PM,69.872,97.216
13,21-07-10,02:00:00 PM,70.799,97.875
14,21-07-10,02:15:00 PM,71.339,98.217
15,21-07-10,02:30:00 PM,71.802,98.486
16,21-07-10,02:45:00 PM,72.421,98.632
17,21-07-10,03:00:00 PM,73.346,98.950
18,21-07-10,03:15:00 PM,73.193,98.974
19,21-07-10,03:30:00 PM,73.578,99.121
20,21-07-10,03:45:00 PM,73.965,99.194
21,21-07-10,04:00:00 PM,73.423,97.705
22,21-07-10,04:15:00 PM,72.883,98.535
23,21-07-10,04:30:00 PM,72.961,98.559
24,21-07-10,04:45:00 PM,73.578,98.999
25,21-07-10,05:00:00 PM,73.810,99.048
26,21-07-10,05:15:00 PM,74.196,99.414
27,21-07-10,05:30:00 PM,73.578,93.358
28,21-07-10,05:45:00 PM,72.421,94.261
29,21-07-10,06:00:00 PM,71.879,97.680
30,21-07-10,06:15:00 PM,71.802,98.901
31,21-07-10,06:30:00 PM,71.956,98.681
32,21-07-10,06:45:00 PM,71.802,98.901
33,21-07-10,07:00:00 PM,72.111,99.536
34,21-07-10,07:15:00 PM,72.651,99.707
35,21-07-10,07:30:00 PM,72.729,99.634
36,21-07-10,07:45:00 PM,73.038,99.829
37,21-07-10,08:00:00 PM,73.193,99.878
38,21-07-10,08:15:00 PM,73.423,99.951
39,21-07-10,08:30:00 PM,73.578,100.000
40,21-07-10,08:45:00 PM,73.423,100.000
41,21-07-10,09:00:00 PM,73.193,99.683
42,21-07-10,09:15:00 PM,72.961,98.877
43,21-07-10,09:30:00 PM,72.496,96.264
44,21-07-10,09:45:00 PM,72.034,96.532
45,21-07-10,10:00:00 PM,71.649,98.901
46,21-07-10,10:15:00 PM,71.262,99.414
47,21-07-10,10:30:00 PM,71.649,99.707
48,21-07-10,10:45:00 PM,71.724,99.438
49,21-07-10,11:00:00 PM,71.416,98.291
50,21-07-10,11:15:00 PM,71.029,98.584
51,21-07-10,11:30:00 PM,70.952,99.023
52,21-07-10,11:45:00 PM,70.722,98.510
53,21-07-11,12:00:00 AM,70.489,98.193
54,21-07-11,12:15:00 AM,70.180,98.364
55,21-07-11,12:30:00 AM,69.795,97.802
56,21-07-11,12:45:00 AM,69.640,98.315
57,21-07-11,01:00:00 AM,69.255,98.510
58,21-07-11,01:15:00 AM,69.255,99.023
59,21-07-11,01:30:00 AM,69.177,99.487
60,21-07-11,01:45:00 AM,69.332,99.853
61,21-07-11,02:00:00 AM,69.255,99.902
62,21-07-11,02:15:00 AM,69.717,100.000
63,21-07-11,02:30:00 AM,70.489,99.536
64,21-07-11,02:45:00 AM,70.644,99.389
65,21-07-11,03:00:00 AM,71.029,98.242
66,21-07-11,03:15:00 AM,70.952,97.875
67,21-07-11,03:30:00 AM,70.952,98.559
68,21-07-11,03:45:00 AM,70.722,99.121
69,21-07-11,04:00:00 AM,70.644,99.976
70,21-07-11,04:15:00 AM,70.722,99.292
71,21-07-11,04:30:00 AM,70.952,99.194
72,21-07-11,04:45:00 AM,71.107,99.267
73,21-07-11,05:00:00 AM,70.799,99.805
74,21-07-11,05:15:00 AM,70.876,100.000
75,21-07-11,05:30:00 AM,70.876,100.000
76,21-07-11,05:45:00 AM,70.722,99.585
77,21-07-11,06:00:00 AM,70.567,99.023
78,21-07-11,06:15:00 AM,70.489,99.414
79,21-07-11,06:30:00 AM,70.412,99.829
80,21-07-11,06:45:00 AM,70.104,99.878
81,21-07-11,07:00:00 AM,70.412,99.951
82,21-07-11,07:15:00 AM,70.799,98.755
83,21-07-11,07:30:00 AM,70.799,99.341
84,21-07-11,07:45:00 AM,70.799,99.780
85,21-07-11,08:00:00 AM,71.107,98.022
86,21-07-11,08:15:00 AM,71.107,98.779
87,21-07-11,08:30:00 AM,70.952,99.365
88,21-07-11,08:45:00 AM,70.952,99.902
89,21-07-11,09:00:00 AM,71.029,99.805
90,21-07-11,09:15:00 AM,71.184,99.414
91,21-07-11,09:30:00 AM,71.416,99.267
92,21-07-11,09:45:00 AM,71.494,99.829
93,21-07-11,10:00:00 AM,71.649,100.000
94,21-07-11,10:15:00 AM,72.034,99.609
95,21-07-11,10:30:00 AM,72.343,99.658
96,21-07-11,10:45:00 AM,72.729,99.170
97,21-07-11,11:00:00 AM,73.193,98.901
98,21-07-11,11:15:00 AM,73.578,98.877
99,21-07-11,11:30:00 AM,73.656,98.291
100,21-07-11,11:45:00 AM,73.656,99.096
101,21-07-11,12:00:00 PM,74.813,97.900
102,21-07-11,12:15:00 PM,75.355,96.484
103,21-07-11,12:30:00 PM,76.512,91.233
104,21-07-11,12:45:00 PM,76.590,90.452
105,21-07-11,01:00:00 PM,76.050,94.505
106,21-07-11,01:15:00 PM,75.895,94.921
107,21-07-11,01:30:00 PM,77.207,92.796
108,21-07-11,01:45:00 PM,76.977,92.845
109,21-07-11,02:00:00 PM,77.439,92.161
110,21-07-11,02:15:00 PM,78.366,89.377
111,21-07-11,02:30:00 PM,77.362,94.652
112,21-07-11,02:45:00 PM,78.134,91.380
113,21-07-11,03:00:00 PM,78.289,92.308
114,21-07-11,03:15:00 PM,78.906,92.039
115,21-07-11,03:30:00 PM,78.906,89.084
116,21-07-11,03:45:00 PM,79.524,86.520
117,21-07-11,04:00:00 PM,79.756,88.352
118,21-07-11,04:15:00 PM,79.833,88.230
119,21-07-11,04:30:00 PM,79.756,87.497
120,21-07-11,04:45:00 PM,78.598,86.691
121,21-07-11,05:00:00 PM,78.751,83.126
122,21-07-11,05:15:00 PM,77.671,91.575
123,21-07-11,05:30:00 PM,77.826,89.792
124,21-07-11,05:45:00 PM,77.671,89.719
125,21-07-11,06:00:00 PM,77.594,89.670
126,21-07-11,06:15:00 PM,78.057,84.860
127,21-07-11,06:30:00 PM,76.899,91.868
128,21-07-11,06:45:00 PM,77.131,87.277
129,21-07-11,07:00:00 PM,76.282,93.236
130,21-07-11,07:15:00 PM,76.050,93.089
131,21-07-11,07:30:00 PM,75.817,91.258
132,21-07-11,07:45:00 PM,75.432,92.161
133,21-07-11,08:00:00 PM,75.355,91.184
134,21-07-11,08:15:00 PM,74.968,93.309
135,21-07-11,08:30:00 PM,74.737,92.576
136,21-07-11,08:45:00 PM,74.350,91.429
137,21-07-11,09:00:00 PM,74.118,91.429
138,21-07-11,09:15:00 PM,73.810,92.161
139,21-07-11,09:30:00 PM,73.733,91.648
140,21-07-11,09:45:00 PM,73.423,92.405
141,21-07-11,10:00:00 PM,73.269,92.869
142,21-07-11,10:15:00 PM,73.038,92.845
143,21-07-11,10:30:00 PM,72.961,93.040
144,21-07-11,10:45:00 PM,72.651,93.407
145,21-07-11,11:00:00 PM,72.574,94.188
146,21-07-11,11:15:00 PM,72.496,95.189
147,21-07-11,11:30:00 PM,72.421,95.043
148,21-07-11,11:45:00 PM,72.343,95.775
149,21-07-12,12:00:00 AM,72.421,96.679
150,21-07-12,12:15:00 AM,72.266,96.508
151,21-07-12,12:30:00 AM,72.266,96.703
152,21-07-12,12:45:00 AM,72.111,96.874
153,21-07-12,01:00:00 AM,72.111,97.167
154,21-07-12,01:15:00 AM,71.879,96.606
155,21-07-12,01:30:00 AM,71.724,97.363
156,21-07-12,01:45:00 AM,71.416,97.607
157,21-07-12,02:00:00 AM,71.262,97.680
158,21-07-12,02:15:00 AM,71.107,98.217
159,21-07-12,02:30:00 AM,71.184,98.144
160,21-07-12,02:45:00 AM,71.184,97.949
161,21-07-12,03:00:00 AM,71.107,97.802
162,21-07-12,03:15:00 AM,71.107,96.874
163,21-07-12,03:30:00 AM,70.722,96.923
164,21-07-12,03:45:00 AM,70.489,97.021
165,21-07-12,04:00:00 AM,70.257,97.534
166,21-07-12,04:15:00 AM,69.872,98.608
167,21-07-12,04:30:00 AM,70.027,98.339
168,21-07-12,04:45:00 AM,70.180,98.242
169,21-07-12,05:00:00 AM,70.257,98.486
170,21-07-12,05:15:00 AM,70.257,97.851
171,21-07-12,05:30:00 AM,70.104,98.266
172,21-07-12,05:45:00 AM,69.949,97.875
173,21-07-12,06:00:00 AM,69.795,98.535
174,21-07-12,06:15:00 AM,69.717,98.315
175,21-07-12,06:30:00 AM,69.717,98.462
176,21-07-12,06:45:00 AM,69.795,98.144
177,21-07-12,07:00:00 AM,69.640,97.729
178,21-07-12,07:15:00 AM,69.562,97.998
179,21-07-12,07:30:00 AM,69.640,98.486
180,21-07-12,07:45:00 AM,70.104,98.071
181,21-07-12,08:00:00 AM,70.412,97.705
182,21-07-12,08:15:00 AM,70.722,97.118
183,21-07-12,08:30:00 AM,71.029,97.167
184,21-07-12,08:45:00 AM,71.416,96.020
185,21-07-12,09:00:00 AM,71.802,94.799
186,21-07-12,09:15:00 AM,72.034,95.214
187,21-07-12,09:30:00 AM,72.189,95.824
188,21-07-12,09:45:00 AM,72.574,95.604
189,21-07-12,10:00:00 AM,72.961,94.823
190,21-07-12,10:15:00 AM,73.346,93.968
191,21-07-12,10:30:00 AM,73.733,91.526
192,21-07-12,10:45:00 AM,74.196,91.526
193,21-07-12,11:00:00 AM,74.505,92.161
194,21-07-12,11:15:00 AM,74.350,92.357
195,21-07-12,11:30:00 AM,74.890,92.259
196,21-07-12,11:45:00 AM,75.895,90.354
197,21-07-12,12:00:00 PM,76.590,85.201
198,21-07-12,12:15:00 PM,77.054,87.643
199,21-07-12,12:30:00 PM,77.826,85.641
200,21-07-12,12:45:00 PM,77.517,84.908
201,21-07-12,01:00:00 PM,76.512,92.527
202,21-07-12,01:15:00 PM,76.744,90.208
203,21-07-12,01:30:00 PM,77.671,89.060
204,21-07-12,01:45:00 PM,79.061,87.033
205,21-07-12,02:00:00 PM,79.216,85.836
206,21-07-12,02:15:00 PM,77.439,89.426
207,21-07-12,02:30:00 PM,74.196,97.656
208,21-07-12,02:45:00 PM,73.965,98.950
209,21-07-12,03:00:00 PM,73.346,98.730
210,21-07-12,03:15:00 PM,73.038,98.657
211,21-07-12,03:30:00 PM,72.883,98.706
212,21-07-12,03:45:00 PM,72.729,99.512
213,21-07-12,04:00:00 PM,72.651,99.634
214,21-07-12,04:15:00 PM,72.034,99.731
215,21-07-12,04:30:00 PM,71.956,100.000
216,21-07-12,04:45:00 PM,72.421,100.000
217,21-07-12,05:00:00 PM,72.343,98.926
218,21-07-12,05:15:00 PM,72.421,100.000
219,21-07-12,05:30:00 PM,72.651,99.096
220,21-07-12,05:45:00 PM,72.806,100.000
221,21-07-12,06:00:00 PM,72.961,99.316
222,21-07-12,06:15:00 PM,73.116,100.000
223,21-07-12,06:30:00 PM,73.423,100.000
224,21-07-12,06:45:00 PM,73.578,100.000
225,21-07-12,07:00:00 PM,73.733,100.000
226,21-07-12,07:15:00 PM,73.810,100.000
227,21-07-12,07:30:00 PM,73.733,100.000
228,21-07-12,07:45:00 PM,73.423,100.000
229,21-07-12,08:00:00 PM,73.810,100.000
230,21-07-12,08:15:00 PM,70.644,90.989
231,21-07-12,08:30:00 PM,69.100,96.752
232,21-07-12,08:45:00 PM,68.868,97.485
233,21-07-12,09:00:00 PM,68.713,96.386
234,21-07-12,09:15:00 PM,68.868,97.241
235,21-07-12,09:30:00 PM,68.790,97.705
236,21-07-12,09:45:00 PM,68.635,97.363
237,21-07-12,10:00:00 PM,68.482,98.535
238,21-07-12,10:15:00 PM,68.635,98.339
239,21-07-12,10:30:00 PM,68.482,98.193
240,21-07-12,10:45:00 PM,68.405,98.413
241,21-07-12,11:00:00 PM,68.328,98.901
242,21-07-12,11:15:00 PM,68.095,99.365
243,21-07-12,11:30:00 PM,68.173,99.756
244,21-07-12,11:45:00 PM,68.482,99.145
245,21-07-13,12:00:00 AM,68.560,99.414
246,21-07-13,12:15:00 AM,68.635,99.414
247,21-07-13,12:30:00 AM,68.790,98.681
248,21-07-13,12:45:00 AM,68.713,98.877
249,21-07-13,01:00:00 AM,68.560,99.072
250,21-07-13,01:15:00 AM,68.405,99.634
251,21-07-13,01:30:00 AM,68.560,99.414
252,21-07-13,01:45:00 AM,68.328,99.292
253,21-07-13,02:00:00 AM,68.173,99.560
254,21-07-13,02:15:00 AM,68.405,100.000
255,21-07-13,02:30:00 AM,68.790,99.878
256,21-07-13,02:45:00 AM,68.868,100.000
257,21-07-13,03:00:00 AM,68.868,99.902
258,21-07-13,03:15:00 AM,69.022,99.976
259,21-07-13,03:30:00 AM,69.022,99.951
260,21-07-13,03:45:00 AM,69.100,99.902
261,21-07-13,04:00:00 AM,69.177,100.000
262,21-07-13,04:15:00 AM,69.408,99.414
263,21-07-13,04:30:00 AM,69.408,99.194
264,21-07-13,04:45:00 AM,69.408,99.463
265,21-07-13,05:00:00 AM,69.408,98.803
266,21-07-13,05:15:00 AM,69.408,98.852
267,21-07-13,05:30:00 AM,69.485,98.852
268,21-07-13,05:45:00 AM,69.255,98.510
269,21-07-13,06:00:00 AM,69.177,99.023
270,21-07-13,06:15:00 AM,68.945,99.170
271,21-07-13,06:30:00 AM,69.022,99.292
272,21-07-13,06:45:00 AM,68.945,99.316
273,21-07-13,07:00:00 AM,69.022,99.219
274,21-07-13,07:15:00 AM,68.945,99.414
275,21-07-13,07:30:00 AM,68.713,99.805
