"Plot Title:  LullwaterEdgeTower_21421601_20220609"
"#","Date","Time, GMT-04:00","Temp, °C (LGR S/N: 21421601, SEN S/N: 21421601)","RH, % (LGR S/N: 21421601, SEN S/N: 21421601)"
1,22-06-09,17:00:00,28.376,54.896
2,22-06-09,17:15:00,27.947,67.937
3,22-06-09,17:30:00,25.244,70.647
4,22-06-09,17:45:00,27.003,60.537
5,22-06-09,18:00:00,25.973,68.816
6,22-06-09,18:15:00,25.544,66.325
7,22-06-09,18:30:00,24.987,68.889
8,22-06-09,18:45:00,25.373,71.038
9,22-06-09,19:00:00,25.330,71.258
10,22-06-09,19:15:00,24.686,72.430
11,22-06-09,19:30:00,25.373,60.537
12,22-06-09,19:45:00,25.073,70.940
13,22-06-09,20:00:00,25.201,66.911
14,22-06-09,20:15:00,24.386,64.982
15,22-06-09,20:30:00,24.043,66.911
16,22-06-09,20:45:00,23.571,67.521
17,22-06-09,21:00:00,23.228,68.913
18,22-06-09,21:15:00,22.927,69.524
19,22-06-09,21:30:00,22.584,70.574
20,22-06-09,21:45:00,22.413,69.841
21,22-06-09,22:00:00,22.027,72.479
22,22-06-09,22:15:00,21.769,74.457
23,22-06-09,22:30:00,21.598,74.310
24,22-06-09,22:45:00,21.555,74.481
25,22-06-09,23:00:00,21.254,75.116
26,22-06-09,23:15:00,21.040,76.606
27,22-06-09,23:30:00,20.911,77.582
28,22-06-09,23:45:00,20.740,79.829
29,22-06-10,00:00:00,20.654,80.464
30,22-06-10,00:15:00,20.525,76.630
31,22-06-10,00:30:00,20.353,75.775
32,22-06-10,00:45:00,20.182,76.581
33,22-06-10,01:00:00,20.010,81.294
34,22-06-10,01:15:00,19.882,79.121
35,22-06-10,01:30:00,19.667,76.923
36,22-06-10,01:45:00,19.367,76.679
37,22-06-10,02:00:00,19.195,77.118
38,22-06-10,02:15:00,18.895,77.509
39,22-06-10,02:30:00,18.509,80.073
40,22-06-10,02:45:00,18.208,82.393
41,22-06-10,03:00:00,17.951,83.980
42,22-06-10,03:15:00,17.908,82.882
43,22-06-10,03:30:00,17.822,82.759
44,22-06-10,03:45:00,17.951,81.880
45,22-06-10,04:00:00,17.608,84.054
46,22-06-10,04:15:00,17.265,84.786
47,22-06-10,04:30:00,17.136,84.469
48,22-06-10,04:45:00,16.793,87.717
49,22-06-10,05:00:00,16.407,89.499
50,22-06-10,05:15:00,16.235,90.305
51,22-06-10,05:30:00,16.149,91.648
52,22-06-10,05:45:00,15.935,91.209
53,22-06-10,06:00:00,15.892,91.477
54,22-06-10,06:15:00,15.806,91.502
55,22-06-10,06:30:00,15.677,91.990
56,22-06-10,06:45:00,15.763,93.358
57,22-06-10,07:00:00,15.849,93.211
58,22-06-10,07:15:00,16.492,90.525
59,22-06-10,07:30:00,16.535,90.110
60,22-06-10,07:45:00,16.879,89.768
61,22-06-10,08:00:00,17.265,89.426
62,22-06-10,08:15:00,17.822,89.206
63,22-06-10,08:30:00,18.423,85.568
64,22-06-10,08:45:00,19.495,81.880
65,22-06-10,09:00:00,22.456,62.540
66,22-06-10,09:15:00,23.399,58.022
67,22-06-10,09:30:00,25.115,54.432
68,22-06-10,09:45:00,25.802,57.070
69,22-06-10,10:00:00,26.488,47.717
70,22-06-10,10:15:00,25.716,48.059
71,22-06-10,10:30:00,25.931,47.863
72,22-06-10,10:45:00,26.402,48.425
73,22-06-10,11:00:00,26.274,45.201
74,22-06-10,11:15:00,26.531,44.420
75,22-06-10,11:30:00,26.574,44.591
76,22-06-10,11:45:00,26.746,45.958
77,22-06-10,12:00:00,27.003,45.275
78,22-06-10,12:15:00,27.389,42.198
79,22-06-10,12:30:00,26.789,46.789
80,22-06-10,12:45:00,27.260,41.832
81,22-06-10,13:00:00,27.303,42.491
82,22-06-10,13:15:00,26.617,46.129
83,22-06-10,13:30:00,27.561,41.709
84,22-06-10,13:45:00,27.132,40.952
85,22-06-10,14:00:00,27.260,42.637
86,22-06-10,14:15:00,26.445,49.988
87,22-06-10,14:30:00,26.617,44.469
88,22-06-10,14:45:00,27.175,43.321
89,22-06-10,15:00:00,26.660,45.177
90,22-06-10,15:15:00,27.732,40.757
91,22-06-10,15:30:00,28.033,40.269
92,22-06-10,15:45:00,27.475,41.319
93,22-06-10,16:00:00,27.260,40.757
94,22-06-10,16:15:00,26.402,50.427
95,22-06-10,16:30:00,26.274,48.400
96,22-06-10,16:45:00,26.102,47.033
97,22-06-10,17:00:00,25.802,54.969
98,22-06-10,17:15:00,25.201,54.481
99,22-06-10,17:30:00,24.901,58.608
100,22-06-10,17:45:00,24.601,62.271
101,22-06-10,18:00:00,24.558,65.128
102,22-06-10,18:15:00,24.515,65.299
103,22-06-10,18:30:00,24.300,64.591
104,22-06-10,18:45:00,24.343,62.271
105,22-06-10,19:00:00,24.343,62.027
106,22-06-10,19:15:00,24.300,59.658
107,22-06-10,19:30:00,24.214,59.853
108,22-06-10,19:45:00,24.086,59.096
109,22-06-10,20:00:00,24.086,56.166
110,22-06-10,20:15:00,23.871,55.653
111,22-06-10,20:30:00,23.614,56.484
