"#","Date","Time, GMT-04:00","Temp, °F (LGR S/N: 11002415, SEN S/N: 11002415)","RH, % (LGR S/N: 11002415, SEN S/N: 11002415)"
1,21-06-29,02:00:00 PM,82.042,72.149
2,21-06-29,02:15:00 PM,82.353,73.729
3,21-06-29,02:30:00 PM,82.530,70.943
4,21-06-29,02:45:00 PM,83.869,68.848
5,21-06-29,03:00:00 PM,82.486,68.257
6,21-06-29,03:15:00 PM,82.042,69.029
7,21-06-29,03:30:00 PM,81.597,72.550
8,21-06-29,03:45:00 PM,82.218,67.837
9,21-06-29,04:00:00 PM,84.137,64.663
10,21-06-29,04:15:00 PM,82.441,65.393
11,21-06-29,04:30:00 PM,83.064,65.605
12,21-06-29,04:45:00 PM,83.959,63.261
13,21-06-29,05:00:00 PM,84.362,61.656
14,21-06-29,05:15:00 PM,83.959,61.030
15,21-06-29,05:30:00 PM,82.263,65.132
16,21-06-29,05:45:00 PM,81.066,65.904
17,21-06-29,06:00:00 PM,83.199,63.315
18,21-06-29,06:15:00 PM,82.708,64.377
19,21-06-29,06:30:00 PM,83.422,61.262
20,21-06-29,06:45:00 PM,83.021,61.102
21,21-06-29,07:00:00 PM,83.199,61.180
22,21-06-29,07:15:00 PM,82.042,64.805
23,21-06-29,07:30:00 PM,79.567,68.752
24,21-06-29,07:45:00 PM,78.339,71.050
25,21-06-29,08:00:00 PM,77.815,72.448
26,21-06-29,08:15:00 PM,77.378,73.729
27,21-06-29,08:30:00 PM,76.725,75.648
28,21-06-29,08:45:00 PM,76.158,77.762
29,21-06-29,09:00:00 PM,75.463,79.237
30,21-06-29,09:15:00 PM,74.986,80.696
31,21-06-29,09:30:00 PM,74.467,82.337
32,21-06-29,09:45:00 PM,73.947,83.992
33,21-06-29,10:00:00 PM,73.774,85.147
34,21-06-29,10:15:00 PM,73.299,85.867
35,21-06-29,10:30:00 PM,73.126,86.095
36,21-06-29,10:45:00 PM,72.869,87.115
37,21-06-29,11:00:00 PM,72.610,87.468
38,21-06-29,11:15:00 PM,72.437,88.299
39,21-06-29,11:30:00 PM,72.351,88.864
40,21-06-29,11:45:00 PM,72.093,89.268
41,21-06-30,12:00:00 AM,72.007,89.885
42,21-06-30,12:15:00 AM,71.620,90.214
43,21-06-30,12:30:00 AM,71.404,90.457
44,21-06-30,12:45:00 AM,71.317,90.880
45,21-06-30,01:00:00 AM,71.231,91.248
46,21-06-30,01:15:00 AM,71.103,91.581
47,21-06-30,01:30:00 AM,71.060,91.873
48,21-06-30,01:45:00 AM,70.930,91.990
49,21-06-30,02:00:00 AM,70.887,92.307
50,21-06-30,02:15:00 AM,70.630,92.460
51,21-06-30,02:30:00 AM,70.329,92.660
52,21-06-30,02:45:00 AM,70.329,92.901
53,21-06-30,03:00:00 AM,70.243,93.184
54,21-06-30,03:15:00 AM,69.985,93.442
55,21-06-30,03:30:00 AM,69.858,93.531
56,21-06-30,03:45:00 AM,69.858,93.771
57,21-06-30,04:00:00 AM,69.514,93.936
58,21-06-30,04:15:00 AM,69.471,94.090
59,21-06-30,04:30:00 AM,69.213,94.213
60,21-06-30,04:45:00 AM,69.042,94.375
61,21-06-30,05:00:00 AM,68.956,94.522
62,21-06-30,05:15:00 AM,68.913,94.596
63,21-06-30,05:30:00 AM,68.871,94.775
64,21-06-30,05:45:00 AM,68.785,94.895
65,21-06-30,06:00:00 AM,68.527,94.991
66,21-06-30,06:15:00 AM,68.484,95.091
67,21-06-30,06:30:00 AM,68.657,95.195
68,21-06-30,06:45:00 AM,68.657,95.274
69,21-06-30,07:00:00 AM,68.742,95.339
