"#","Date","Time, GMT-04:00","Temp, °F (LGR S/N: 11002419, SEN S/N: 11002419)","RH, % (LGR S/N: 11002419, SEN S/N: 11002419)"
1,21-06-29,02:00:00 PM,78.121,86.395
2,21-06-29,02:15:00 PM,80.096,81.503
3,21-06-29,02:30:00 PM,80.184,79.669
4,21-06-29,02:45:00 PM,79.567,78.962
5,21-06-29,03:00:00 PM,79.480,78.082
6,21-06-29,03:15:00 PM,78.514,78.667
7,21-06-29,03:30:00 PM,79.173,78.858
8,21-06-29,03:45:00 PM,79.304,76.226
9,21-06-29,04:00:00 PM,80.272,77.385
10,21-06-29,04:15:00 PM,79.743,75.131
11,21-06-29,04:30:00 PM,79.655,76.908
12,21-06-29,04:45:00 PM,80.580,71.699
13,21-06-29,05:00:00 PM,81.111,68.665
14,21-06-29,05:15:00 PM,81.466,65.972
15,21-06-29,05:30:00 PM,81.509,65.336
16,21-06-29,05:45:00 PM,81.244,64.486
17,21-06-29,06:00:00 PM,80.316,67.379
18,21-06-29,06:15:00 PM,81.023,66.660
19,21-06-29,06:30:00 PM,80.449,68.870
20,21-06-29,06:45:00 PM,81.288,65.224
21,21-06-29,07:00:00 PM,80.096,68.022
22,21-06-29,07:15:00 PM,80.537,67.612
23,21-06-29,07:30:00 PM,79.480,69.524
24,21-06-29,07:45:00 PM,78.165,71.834
25,21-06-29,08:00:00 PM,77.292,74.395
26,21-06-29,08:15:00 PM,76.942,75.614
27,21-06-29,08:30:00 PM,76.681,75.993
28,21-06-29,08:45:00 PM,76.464,76.318
29,21-06-29,09:00:00 PM,76.028,76.908
30,21-06-29,09:15:00 PM,75.508,78.034
31,21-06-29,09:30:00 PM,75.029,78.899
32,21-06-29,09:45:00 PM,74.683,80.090
33,21-06-29,10:00:00 PM,74.077,82.375
34,21-06-29,10:15:00 PM,73.645,83.028
35,21-06-29,10:30:00 PM,73.645,83.955
36,21-06-29,10:45:00 PM,73.213,85.216
37,21-06-29,11:00:00 PM,73.126,85.734
38,21-06-29,11:15:00 PM,72.869,86.173
39,21-06-29,11:30:00 PM,72.523,86.766
40,21-06-29,11:45:00 PM,72.307,87.402
41,21-06-30,12:00:00 AM,71.920,87.902
42,21-06-30,12:15:00 AM,71.920,88.451
43,21-06-30,12:30:00 AM,71.704,88.943
44,21-06-30,12:45:00 AM,71.533,89.276
45,21-06-30,01:00:00 AM,71.274,89.651
46,21-06-30,01:15:00 AM,71.274,90.059
47,21-06-30,01:30:00 AM,71.404,90.430
48,21-06-30,01:45:00 AM,71.060,90.845
49,21-06-30,02:00:00 AM,70.974,91.185
50,21-06-30,02:15:00 AM,71.017,91.516
51,21-06-30,02:30:00 AM,70.759,91.723
52,21-06-30,02:45:00 AM,70.543,91.937
53,21-06-30,03:00:00 AM,70.459,92.167
54,21-06-30,03:15:00 AM,70.286,92.305
55,21-06-30,03:30:00 AM,70.072,92.517
56,21-06-30,03:45:00 AM,70.029,92.672
57,21-06-30,04:00:00 AM,69.771,92.877
58,21-06-30,04:15:00 AM,69.771,93.038
59,21-06-30,04:30:00 AM,69.685,93.186
60,21-06-30,04:45:00 AM,69.600,93.362
61,21-06-30,05:00:00 AM,69.427,93.498
62,21-06-30,05:15:00 AM,69.256,93.634
63,21-06-30,05:30:00 AM,69.300,93.773
64,21-06-30,05:45:00 AM,69.170,93.915
65,21-06-30,06:00:00 AM,69.129,94.068
66,21-06-30,06:15:00 AM,68.742,94.147
67,21-06-30,06:30:00 AM,68.956,94.310
68,21-06-30,06:45:00 AM,68.913,94.383
69,21-06-30,07:00:00 AM,68.956,94.522
70,21-06-30,07:15:00 AM,68.999,94.608
