"#","Date","Time, GMT-04:00","Temp, °F (LGR S/N: 21074443, SEN S/N: 21074443)","RH, % (LGR S/N: 21074443, SEN S/N: 21074443)"
1,21-06-29,03:45:00 PM,79.293,84.811
2,21-06-29,04:00:00 PM,79.061,76.923
3,21-06-29,04:15:00 PM,78.829,76.215
4,21-06-29,04:30:00 PM,79.911,71.160
5,21-06-29,04:45:00 PM,79.833,63.101
6,21-06-29,05:00:00 PM,78.444,66.105
7,21-06-29,05:15:00 PM,79.216,74.408
8,21-06-29,05:30:00 PM,80.992,65.372
9,21-06-29,05:45:00 PM,80.760,63.980
10,21-06-29,06:00:00 PM,79.756,76.020
11,21-06-29,06:15:00 PM,80.760,70.842
12,21-06-29,06:30:00 PM,79.678,65.324
13,21-06-29,06:45:00 PM,79.524,67.228
14,21-06-29,07:00:00 PM,80.143,65.397
15,21-06-29,07:15:00 PM,79.756,72.137
16,21-06-29,07:30:00 PM,77.671,75.824
17,21-06-29,07:45:00 PM,77.671,77.607
18,21-06-29,08:00:00 PM,76.744,79.707
19,21-06-29,08:15:00 PM,76.282,82.930
20,21-06-29,08:30:00 PM,75.817,83.223
21,21-06-29,08:45:00 PM,75.432,85.055
22,21-06-29,09:00:00 PM,75.045,83.175
23,21-06-29,09:15:00 PM,74.428,86.886
24,21-06-29,09:30:00 PM,73.888,86.398
25,21-06-29,09:45:00 PM,73.810,89.060
26,21-06-29,10:00:00 PM,73.578,86.569
27,21-06-29,10:15:00 PM,73.269,87.937
28,21-06-29,10:30:00 PM,73.038,91.819
29,21-06-29,10:45:00 PM,72.651,89.499
30,21-06-29,11:00:00 PM,72.421,90.842
31,21-06-29,11:15:00 PM,72.111,90.427
32,21-06-29,11:30:00 PM,71.956,91.282
33,21-06-29,11:45:00 PM,71.724,93.162
34,21-06-30,12:00:00 AM,71.649,91.013
35,21-06-30,12:15:00 AM,71.494,91.136
36,21-06-30,12:30:00 AM,71.262,92.991
37,21-06-30,12:45:00 AM,71.107,93.089
38,21-06-30,01:00:00 AM,71.107,94.335
39,21-06-30,01:15:00 AM,71.029,94.261
40,21-06-30,01:30:00 AM,71.184,93.504
41,21-06-30,01:45:00 AM,71.184,94.408
42,21-06-30,02:00:00 AM,71.029,93.797
43,21-06-30,02:15:00 AM,70.799,94.652
44,21-06-30,02:30:00 AM,70.644,94.823
45,21-06-30,02:45:00 AM,70.489,95.360
46,21-06-30,03:00:00 AM,70.104,94.774
47,21-06-30,03:15:00 AM,69.949,95.653
48,21-06-30,03:30:00 AM,69.640,95.849
49,21-06-30,03:45:00 AM,69.485,96.190
50,21-06-30,04:00:00 AM,69.332,96.630
51,21-06-30,04:15:00 AM,69.332,96.923
52,21-06-30,04:30:00 AM,69.255,96.874
53,21-06-30,04:45:00 AM,68.945,97.216
54,21-06-30,05:00:00 AM,68.868,97.192
55,21-06-30,05:15:00 AM,68.713,97.802
56,21-06-30,05:30:00 AM,68.790,97.729
57,21-06-30,05:45:00 AM,68.868,97.729
58,21-06-30,06:00:00 AM,68.405,97.680
59,21-06-30,06:15:00 AM,68.405,97.998
60,21-06-30,06:30:00 AM,68.328,97.973
61,21-06-30,06:45:00 AM,68.173,98.071
62,21-06-30,07:00:00 AM,68.250,98.168
63,21-06-30,07:15:00 AM,68.328,98.217
64,21-06-30,07:30:00 AM,68.560,98.413
65,21-06-30,07:45:00 AM,68.560,98.364
66,21-06-30,08:00:00 AM,69.022,97.949
67,21-06-30,08:15:00 AM,69.562,97.387
68,21-06-30,08:30:00 AM,70.104,96.947
69,21-06-30,08:45:00 AM,71.184,96.239
70,21-06-30,09:00:00 AM,71.956,95.287
71,21-06-30,09:15:00 AM,73.116,92.552
72,21-06-30,09:30:00 AM,73.888,92.381
73,21-06-30,09:45:00 AM,74.890,89.792
74,21-06-30,10:00:00 AM,75.355,90.305
75,21-06-30,10:15:00 AM,76.050,89.182
76,21-06-30,10:30:00 AM,76.822,87.057
77,21-06-30,10:45:00 AM,78.751,83.443
78,21-06-30,11:00:00 AM,78.444,80.659
79,21-06-30,11:15:00 AM,78.751,82.173
80,21-06-30,11:30:00 AM,78.366,82.833
81,21-06-30,11:45:00 AM,79.293,82.247
82,21-06-30,12:00:00 PM,79.911,77.607
83,21-06-30,12:15:00 PM,79.756,81.148
84,21-06-30,12:30:00 PM,80.683,78.584
85,21-06-30,12:45:00 PM,81.455,78.193
86,21-06-30,01:00:00 PM,80.838,74.505
87,21-06-30,01:15:00 PM,81.610,72.063
88,21-06-30,01:30:00 PM,82.150,68.278
89,21-06-30,01:45:00 PM,83.077,73.529
90,21-06-30,02:00:00 PM,82.305,65.592
91,21-06-30,02:15:00 PM,84.389,63.028
92,21-06-30,02:30:00 PM,83.232,67.643
93,21-06-30,02:45:00 PM,83.926,70.818
94,21-06-30,03:00:00 PM,83.849,64.860
95,21-06-30,03:15:00 PM,84.234,63.443
96,21-06-30,03:30:00 PM,83.617,65.348
97,21-06-30,03:45:00 PM,84.776,65.250
98,21-06-30,04:00:00 PM,84.621,59.756
99,21-06-30,04:15:00 PM,83.772,62.882
100,21-06-30,04:30:00 PM,82.382,67.057
101,21-06-30,04:45:00 PM,83.385,68.694
102,21-06-30,05:00:00 PM,84.081,63.175
103,21-06-30,05:15:00 PM,82.612,66.911
104,21-06-30,05:30:00 PM,81.918,69.353
105,21-06-30,05:45:00 PM,83.385,63.053
106,21-06-30,06:00:00 PM,83.617,72.063
107,21-06-30,06:15:00 PM,82.845,65.788
108,21-06-30,06:30:00 PM,81.300,71.770
109,21-06-30,06:45:00 PM,80.683,72.869
110,21-06-30,07:00:00 PM,80.451,73.162
111,21-06-30,07:15:00 PM,80.838,73.651
112,21-06-30,07:30:00 PM,79.833,79.243
113,21-06-30,07:45:00 PM,79.524,78.510
114,21-06-30,08:00:00 PM,79.061,79.072
115,21-06-30,08:15:00 PM,78.984,80.147
116,21-06-30,08:30:00 PM,78.984,80.928
117,21-06-30,08:45:00 PM,78.366,75.531
118,21-06-30,09:00:00 PM,79.293,74.750
119,21-06-30,09:15:00 PM,79.061,73.626
120,21-06-30,09:30:00 PM,78.906,78.071
121,21-06-30,09:45:00 PM,78.366,72.430
122,21-06-30,10:00:00 PM,77.904,71.551
123,21-06-30,10:15:00 PM,77.439,72.430
124,21-06-30,10:30:00 PM,76.435,80.513
125,21-06-30,10:45:00 PM,75.740,81.856
126,21-06-30,11:00:00 PM,75.355,81.783
127,21-06-30,11:15:00 PM,74.813,82.100
128,21-06-30,11:30:00 PM,74.583,81.612
129,21-06-30,11:45:00 PM,74.583,81.783
130,21-07-01,12:00:00 AM,74.041,83.565
131,21-07-01,12:15:00 AM,73.501,83.712
132,21-07-01,12:30:00 AM,73.116,86.007
133,21-07-01,12:45:00 AM,72.651,86.276
134,21-07-01,01:00:00 AM,72.189,87.863
135,21-07-01,01:15:00 AM,71.802,89.084
136,21-07-01,01:30:00 AM,71.339,90.183
137,21-07-01,01:45:00 AM,70.952,91.380
138,21-07-01,02:00:00 AM,70.799,92.015
139,21-07-01,02:15:00 AM,70.799,92.308
140,21-07-01,02:30:00 AM,70.722,92.503
141,21-07-01,02:45:00 AM,70.567,93.211
142,21-07-01,03:00:00 AM,70.412,93.773
143,21-07-01,03:15:00 AM,70.180,94.579
144,21-07-01,03:30:00 AM,69.872,95.165
145,21-07-01,03:45:00 AM,69.640,95.824
146,21-07-01,04:00:00 AM,69.562,95.824
147,21-07-01,04:15:00 AM,69.640,95.971
148,21-07-01,04:30:00 AM,69.485,96.117
149,21-07-01,04:45:00 AM,69.255,96.606
150,21-07-01,05:00:00 AM,68.945,96.850
151,21-07-01,05:15:00 AM,69.022,96.825
152,21-07-01,05:30:00 AM,68.868,97.118
153,21-07-01,05:45:00 AM,68.868,97.094
154,21-07-01,06:00:00 AM,68.560,97.338
155,21-07-01,06:15:00 AM,68.405,97.265
156,21-07-01,06:30:00 AM,68.482,97.607
157,21-07-01,06:45:00 AM,68.482,97.411
158,21-07-01,07:00:00 AM,68.405,97.534
159,21-07-01,07:15:00 AM,68.482,97.558
160,21-07-01,07:30:00 AM,68.713,97.631
161,21-07-01,07:45:00 AM,69.022,97.387
162,21-07-01,08:00:00 AM,69.485,97.241
163,21-07-01,08:15:00 AM,69.949,96.850
164,21-07-01,08:30:00 AM,70.567,95.140
165,21-07-01,08:45:00 AM,71.494,93.162
166,21-07-01,09:00:00 AM,72.034,91.184
167,21-07-01,09:15:00 AM,72.421,90.501
168,21-07-01,09:30:00 AM,73.269,87.863
169,21-07-01,09:45:00 AM,73.888,87.643
170,21-07-01,10:00:00 AM,74.505,83.663
171,21-07-01,10:15:00 AM,75.123,80.879
172,21-07-01,10:30:00 AM,74.890,84.762
173,21-07-01,10:45:00 AM,75.740,82.393
174,21-07-01,11:00:00 AM,75.972,80.952
175,21-07-01,11:15:00 AM,76.977,78.950
176,21-07-01,11:30:00 AM,76.744,80.269
177,21-07-01,11:45:00 AM,78.289,76.117
178,21-07-01,12:00:00 PM,78.751,72.650
179,21-07-01,12:15:00 PM,79.448,70.842
180,21-07-01,12:30:00 PM,79.601,69.670
181,21-07-01,12:45:00 PM,80.143,75.653
182,21-07-01,01:00:00 PM,80.605,67.277
183,21-07-01,01:15:00 PM,79.833,68.962
184,21-07-01,01:30:00 PM,79.833,72.601
185,21-07-01,01:45:00 PM,80.143,73.455
186,21-07-01,02:00:00 PM,81.300,69.573
187,21-07-01,02:15:00 PM,80.992,72.723
188,21-07-01,02:30:00 PM,79.216,78.193
189,21-07-01,02:45:00 PM,78.829,81.099
190,21-07-01,03:00:00 PM,80.838,69.377
191,21-07-01,03:15:00 PM,80.838,78.144
192,21-07-01,03:30:00 PM,79.448,76.581
193,21-07-01,03:45:00 PM,79.678,81.172
194,21-07-01,04:00:00 PM,79.448,78.462
195,21-07-01,04:15:00 PM,79.371,78.803
196,21-07-01,04:30:00 PM,79.833,76.190
197,21-07-01,04:45:00 PM,80.373,75.287
198,21-07-01,05:00:00 PM,80.451,74.701
199,21-07-01,05:15:00 PM,80.220,77.118
200,21-07-01,05:30:00 PM,81.068,76.508
201,21-07-01,05:45:00 PM,80.451,74.188
202,21-07-01,06:00:00 PM,80.143,76.703
203,21-07-01,06:15:00 PM,80.838,75.311
204,21-07-01,06:30:00 PM,79.293,77.460
205,21-07-01,06:45:00 PM,78.444,76.654
206,21-07-01,07:00:00 PM,78.134,76.679
207,21-07-01,07:15:00 PM,77.979,79.170
208,21-07-01,07:30:00 PM,77.904,78.364
209,21-07-01,07:45:00 PM,77.439,80.415
210,21-07-01,08:00:00 PM,77.054,80.952
211,21-07-01,08:15:00 PM,76.744,81.538
212,21-07-01,08:30:00 PM,76.590,81.978
213,21-07-01,08:45:00 PM,76.282,83.687
214,21-07-01,09:00:00 PM,75.972,83.932
215,21-07-01,09:15:00 PM,75.740,86.325
216,21-07-01,09:30:00 PM,75.585,85.788
217,21-07-01,09:45:00 PM,75.432,85.885
218,21-07-01,10:00:00 PM,75.277,86.374
219,21-07-01,10:15:00 PM,75.045,86.545
220,21-07-01,10:30:00 PM,74.890,87.082
221,21-07-01,10:45:00 PM,74.583,87.643
222,21-07-01,11:00:00 PM,74.350,88.645
223,21-07-01,11:15:00 PM,74.196,88.987
224,21-07-01,11:30:00 PM,74.041,89.792
225,21-07-01,11:45:00 PM,73.965,90.354
226,21-07-02,12:00:00 AM,73.810,90.818
227,21-07-02,12:15:00 AM,73.733,91.770
228,21-07-02,12:30:00 AM,73.656,92.063
229,21-07-02,12:45:00 AM,73.578,93.089
230,21-07-02,01:00:00 AM,73.501,92.845
231,21-07-02,01:15:00 AM,73.578,92.918
232,21-07-02,01:30:00 AM,73.733,93.260
233,21-07-02,01:45:00 AM,73.733,93.187
234,21-07-02,02:00:00 AM,74.118,92.137
235,21-07-02,02:15:00 AM,74.890,88.547
236,21-07-02,02:30:00 AM,74.505,89.084
237,21-07-02,02:45:00 AM,73.965,92.015
238,21-07-02,03:00:00 AM,73.810,90.574
239,21-07-02,03:15:00 AM,73.656,90.842
240,21-07-02,03:30:00 AM,73.269,91.917
241,21-07-02,03:45:00 AM,73.578,91.331
242,21-07-02,04:00:00 AM,73.501,91.868
243,21-07-02,04:15:00 AM,73.423,92.430
244,21-07-02,04:30:00 AM,73.423,92.869
245,21-07-02,04:45:00 AM,73.193,92.869
246,21-07-02,05:00:00 AM,73.193,93.065
247,21-07-02,05:15:00 AM,73.193,93.309
248,21-07-02,05:30:00 AM,73.038,93.626
249,21-07-02,05:45:00 AM,72.806,94.383
250,21-07-02,06:00:00 AM,72.806,94.652
251,21-07-02,06:15:00 AM,72.651,94.799
252,21-07-02,06:30:00 AM,72.729,94.774
253,21-07-02,06:45:00 AM,72.729,94.945
254,21-07-02,07:00:00 AM,72.729,94.799
255,21-07-02,07:15:00 AM,72.883,94.774
256,21-07-02,07:30:00 AM,72.883,94.921
257,21-07-02,07:45:00 AM,72.883,95.263
258,21-07-02,08:00:00 AM,72.729,96.264
259,21-07-02,08:15:00 AM,72.574,97.167
260,21-07-02,08:30:00 AM,72.421,97.705
261,21-07-02,08:45:00 AM,72.343,98.510
262,21-07-02,09:00:00 AM,72.343,98.999
263,21-07-02,09:15:00 AM,72.266,99.341
264,21-07-02,09:30:00 AM,72.189,99.365
265,21-07-02,09:45:00 AM,72.189,99.536
266,21-07-02,10:00:00 AM,72.111,99.609
267,21-07-02,10:15:00 AM,72.111,99.805
268,21-07-02,10:30:00 AM,72.189,99.927
269,21-07-02,10:45:00 AM,72.111,99.829
270,21-07-02,11:00:00 AM,72.266,99.853
271,21-07-02,11:15:00 AM,72.421,100.000
272,21-07-02,11:30:00 AM,72.651,99.902
273,21-07-02,11:45:00 AM,72.883,99.780
274,21-07-02,12:00:00 PM,73.116,99.048
275,21-07-02,12:15:00 PM,73.116,99.365
276,21-07-02,12:30:00 PM,73.269,99.243
277,21-07-02,12:45:00 PM,73.656,99.316
278,21-07-02,01:00:00 PM,73.888,99.194
279,21-07-02,01:15:00 PM,74.118,99.121
280,21-07-02,01:30:00 PM,74.118,99.512
281,21-07-02,01:45:00 PM,74.660,98.657
282,21-07-02,02:00:00 PM,74.583,98.803
283,21-07-02,02:15:00 PM,74.505,97.802
284,21-07-02,02:30:00 PM,74.583,97.924
285,21-07-02,02:45:00 PM,74.583,97.485
286,21-07-02,03:00:00 PM,74.350,98.339
287,21-07-02,03:15:00 PM,73.965,97.216
288,21-07-02,03:30:00 PM,74.041,97.411
289,21-07-02,03:45:00 PM,74.737,97.875
290,21-07-02,04:00:00 PM,75.585,93.480
291,21-07-02,04:15:00 PM,75.663,89.328
292,21-07-02,04:30:00 PM,75.200,93.773
293,21-07-02,04:45:00 PM,75.510,93.309
294,21-07-02,05:00:00 PM,75.510,92.552
295,21-07-02,05:15:00 PM,75.895,92.576
296,21-07-02,05:30:00 PM,76.435,89.182
297,21-07-02,05:45:00 PM,76.204,90.501
298,21-07-02,06:00:00 PM,75.895,91.209
299,21-07-02,06:15:00 PM,75.817,91.966
300,21-07-02,06:30:00 PM,75.895,92.186
301,21-07-02,06:45:00 PM,75.972,91.038
302,21-07-02,07:00:00 PM,76.127,92.772
