"#","Date","Time, GMT-04:00","Temp, °F (LGR S/N: 21074441, SEN S/N: 21074441)","RH, % (LGR S/N: 21074441, SEN S/N: 21074441)"
1,21-07-07,12:30:00 PM,82.537,68.547
2,21-07-07,12:45:00 PM,83.309,62.442
3,21-07-07,01:00:00 PM,82.999,66.691
4,21-07-07,01:15:00 PM,84.544,66.154
5,21-07-07,01:30:00 PM,82.690,63.346
6,21-07-07,01:45:00 PM,80.915,73.797
7,21-07-07,02:00:00 PM,84.004,64.493
8,21-07-07,02:15:00 PM,84.621,60.708
9,21-07-07,02:30:00 PM,82.999,61.465
10,21-07-07,02:45:00 PM,83.539,65.617
11,21-07-07,03:00:00 PM,82.690,64.567
12,21-07-07,03:15:00 PM,80.373,71.770
13,21-07-07,03:30:00 PM,77.749,80.781
14,21-07-07,03:45:00 PM,79.448,76.703
15,21-07-07,04:00:00 PM,80.065,76.752
16,21-07-07,04:15:00 PM,80.220,73.382
17,21-07-07,04:30:00 PM,80.451,68.400
18,21-07-07,04:45:00 PM,79.448,71.648
19,21-07-07,05:00:00 PM,80.143,73.529
20,21-07-07,05:15:00 PM,78.829,77.045
21,21-07-07,05:30:00 PM,78.057,77.607
22,21-07-07,05:45:00 PM,79.216,71.526
23,21-07-07,06:00:00 PM,80.143,75.165
24,21-07-07,06:15:00 PM,78.984,78.926
25,21-07-07,06:30:00 PM,78.906,76.777
26,21-07-07,06:45:00 PM,77.594,82.198
27,21-07-07,07:00:00 PM,76.977,85.568
28,21-07-07,07:15:00 PM,76.282,87.497
29,21-07-07,07:30:00 PM,76.127,86.862
30,21-07-07,07:45:00 PM,75.817,86.838
31,21-07-07,08:00:00 PM,75.972,87.643
32,21-07-07,08:15:00 PM,75.740,88.181
33,21-07-07,08:30:00 PM,75.200,90.818
34,21-07-07,08:45:00 PM,75.740,83.321
35,21-07-07,09:00:00 PM,75.895,81.807
36,21-07-07,09:15:00 PM,75.277,85.665
37,21-07-07,09:30:00 PM,75.123,84.469
38,21-07-07,09:45:00 PM,75.123,83.565
39,21-07-07,10:00:00 PM,74.583,83.590
40,21-07-07,10:15:00 PM,72.034,84.469
41,21-07-07,10:30:00 PM,70.335,89.133
42,21-07-07,10:45:00 PM,69.177,94.310
43,21-07-07,11:00:00 PM,68.868,95.458
44,21-07-07,11:15:00 PM,68.868,96.532
45,21-07-07,11:30:00 PM,68.945,96.874
46,21-07-07,11:45:00 PM,69.177,97.192
47,21-07-08,12:00:00 AM,69.332,96.777
48,21-07-08,12:15:00 AM,69.255,96.777
49,21-07-08,12:30:00 AM,69.255,96.996
50,21-07-08,12:45:00 AM,69.485,96.654
51,21-07-08,01:00:00 AM,69.485,97.582
52,21-07-08,01:15:00 AM,69.562,97.924
53,21-07-08,01:30:00 AM,69.872,97.924
54,21-07-08,01:45:00 AM,69.872,98.120
55,21-07-08,02:00:00 AM,69.872,98.046
56,21-07-08,02:15:00 AM,69.872,97.998
57,21-07-08,02:30:00 AM,69.795,98.120
58,21-07-08,02:45:00 AM,69.795,97.924
59,21-07-08,03:00:00 AM,69.949,98.291
60,21-07-08,03:15:00 AM,69.795,98.046
61,21-07-08,03:30:00 AM,69.872,97.680
62,21-07-08,03:45:00 AM,69.640,97.534
63,21-07-08,04:00:00 AM,69.408,98.095
64,21-07-08,04:15:00 AM,69.485,98.486
65,21-07-08,04:30:00 AM,69.332,98.364
66,21-07-08,04:45:00 AM,69.408,98.535
67,21-07-08,05:00:00 AM,69.408,98.462
68,21-07-08,05:15:00 AM,69.408,98.657
69,21-07-08,05:30:00 AM,69.332,98.657
70,21-07-08,05:45:00 AM,69.408,98.803
71,21-07-08,06:00:00 AM,69.408,99.048
72,21-07-08,06:15:00 AM,69.255,99.023
73,21-07-08,06:30:00 AM,69.177,98.999
74,21-07-08,06:45:00 AM,69.177,99.096
75,21-07-08,07:00:00 AM,69.100,98.803
76,21-07-08,07:15:00 AM,69.332,98.999
77,21-07-08,07:30:00 AM,69.485,98.608
78,21-07-08,07:45:00 AM,69.949,98.535
79,21-07-08,08:00:00 AM,70.027,98.632
80,21-07-08,08:15:00 AM,70.335,98.193
81,21-07-08,08:30:00 AM,70.876,97.485
82,21-07-08,08:45:00 AM,71.262,96.435
83,21-07-08,09:00:00 AM,71.724,96.264
84,21-07-08,09:15:00 AM,72.343,95.116
85,21-07-08,09:30:00 AM,72.961,94.701
86,21-07-08,09:45:00 AM,72.883,94.432
87,21-07-08,10:00:00 AM,74.196,92.357
88,21-07-08,10:15:00 AM,77.284,86.056
89,21-07-08,10:30:00 AM,76.512,87.937
90,21-07-08,10:45:00 AM,76.590,88.156
91,21-07-08,11:00:00 AM,78.984,84.835
92,21-07-08,11:15:00 AM,78.211,85.592
93,21-07-08,11:30:00 AM,80.143,78.095
94,21-07-08,11:45:00 AM,80.065,80.415
95,21-07-08,12:00:00 PM,80.528,81.099
96,21-07-08,12:15:00 PM,82.922,66.471
97,21-07-08,12:30:00 PM,79.293,79.121
98,21-07-08,12:45:00 PM,79.988,80.830
99,21-07-08,01:00:00 PM,82.690,75.116
100,21-07-08,01:15:00 PM,84.312,70.965
101,21-07-08,01:30:00 PM,80.683,76.801
102,21-07-08,01:45:00 PM,77.207,79.951
103,21-07-08,02:00:00 PM,80.296,78.608
104,21-07-08,02:15:00 PM,77.362,81.929
105,21-07-08,02:30:00 PM,76.744,81.685
106,21-07-08,02:45:00 PM,72.189,95.385
107,21-07-08,03:00:00 PM,73.038,96.044
108,21-07-08,03:15:00 PM,75.045,93.260
109,21-07-08,03:30:00 PM,75.045,94.921
110,21-07-08,03:45:00 PM,76.282,93.773
111,21-07-08,04:00:00 PM,76.822,92.430
112,21-07-08,04:15:00 PM,77.284,88.230
113,21-07-08,04:30:00 PM,76.204,88.889
114,21-07-08,04:45:00 PM,75.123,93.895
115,21-07-08,05:00:00 PM,74.737,96.166
116,21-07-08,05:15:00 PM,74.968,96.801
117,21-07-08,05:30:00 PM,75.432,96.874
118,21-07-08,05:45:00 PM,76.127,95.092
119,21-07-08,06:00:00 PM,75.972,96.606
120,21-07-08,06:15:00 PM,76.204,96.264
121,21-07-08,06:30:00 PM,76.050,96.508
122,21-07-08,06:45:00 PM,75.817,97.338
123,21-07-08,07:00:00 PM,75.585,97.558
124,21-07-08,07:15:00 PM,75.817,98.046
125,21-07-08,07:30:00 PM,75.432,97.998
126,21-07-08,07:45:00 PM,75.355,98.681
127,21-07-08,08:00:00 PM,75.432,98.706
128,21-07-08,08:15:00 PM,75.663,99.219
129,21-07-08,08:30:00 PM,75.510,99.072
130,21-07-08,08:45:00 PM,75.585,99.414
131,21-07-08,09:00:00 PM,75.432,99.438
132,21-07-08,09:15:00 PM,74.968,99.292
133,21-07-08,09:30:00 PM,74.737,99.536
134,21-07-08,09:45:00 PM,74.505,99.609
135,21-07-08,10:00:00 PM,74.196,99.585
136,21-07-08,10:15:00 PM,74.041,99.634
137,21-07-08,10:30:00 PM,73.888,99.780
138,21-07-08,10:45:00 PM,73.656,99.829
139,21-07-08,11:00:00 PM,73.346,99.707
140,21-07-08,11:15:00 PM,73.116,99.780
141,21-07-08,11:30:00 PM,72.883,99.878
142,21-07-08,11:45:00 PM,72.574,99.853
143,21-07-09,12:00:00 AM,72.343,99.878
144,21-07-09,12:15:00 AM,72.111,99.927
145,21-07-09,12:30:00 AM,72.034,99.976
146,21-07-09,12:45:00 AM,71.802,100.000
147,21-07-09,01:00:00 AM,71.724,100.000
148,21-07-09,01:15:00 AM,71.649,100.000
149,21-07-09,01:30:00 AM,71.494,100.000
150,21-07-09,01:45:00 AM,71.262,100.000
151,21-07-09,02:00:00 AM,71.416,100.000
152,21-07-09,02:15:00 AM,71.184,100.000
153,21-07-09,02:30:00 AM,71.184,100.000
154,21-07-09,02:45:00 AM,71.107,100.000
155,21-07-09,03:00:00 AM,70.952,100.000
156,21-07-09,03:15:00 AM,71.107,100.000
157,21-07-09,03:30:00 AM,70.952,100.000
158,21-07-09,03:45:00 AM,70.722,100.000
159,21-07-09,04:00:00 AM,70.644,100.000
160,21-07-09,04:15:00 AM,70.412,100.000
161,21-07-09,04:30:00 AM,70.412,100.000
162,21-07-09,04:45:00 AM,70.257,100.000
163,21-07-09,05:00:00 AM,70.180,100.000
164,21-07-09,05:15:00 AM,70.257,100.000
165,21-07-09,05:30:00 AM,70.567,100.000
166,21-07-09,05:45:00 AM,71.029,100.000
167,21-07-09,06:00:00 AM,71.184,100.000
168,21-07-09,06:15:00 AM,71.339,100.000
169,21-07-09,06:30:00 AM,71.649,100.000
170,21-07-09,06:45:00 AM,71.956,100.000
171,21-07-09,07:00:00 AM,71.956,100.000
172,21-07-09,07:15:00 AM,71.956,100.000
173,21-07-09,07:30:00 AM,72.034,100.000
174,21-07-09,07:45:00 AM,72.266,100.000
175,21-07-09,08:00:00 AM,72.266,99.976
176,21-07-09,08:15:00 AM,72.729,99.902
177,21-07-09,08:30:00 AM,73.578,98.999
178,21-07-09,08:45:00 AM,73.578,98.144
179,21-07-09,09:00:00 AM,73.578,98.584
180,21-07-09,09:15:00 AM,74.350,97.436
181,21-07-09,09:30:00 AM,74.737,97.534
182,21-07-09,09:45:00 AM,76.512,93.431
183,21-07-09,10:00:00 AM,76.359,94.042
184,21-07-09,10:15:00 AM,78.984,89.719
185,21-07-09,10:30:00 AM,79.293,88.742
186,21-07-09,10:45:00 AM,79.216,89.573
187,21-07-09,11:00:00 AM,81.610,84.005
188,21-07-09,11:15:00 AM,83.232,80.562
189,21-07-09,11:30:00 AM,81.145,87.277
190,21-07-09,11:45:00 AM,83.694,78.901
191,21-07-09,12:00:00 PM,84.853,78.046
192,21-07-09,12:15:00 PM,82.999,83.687
193,21-07-09,12:30:00 PM,84.081,78.657
194,21-07-09,12:45:00 PM,83.462,81.197
195,21-07-09,01:00:00 PM,85.084,76.166
196,21-07-09,01:15:00 PM,84.621,79.341
197,21-07-09,01:30:00 PM,83.462,77.680
198,21-07-09,01:45:00 PM,83.154,79.853
199,21-07-09,02:00:00 PM,82.459,82.222
200,21-07-09,02:15:00 PM,77.594,95.287
201,21-07-09,02:30:00 PM,77.054,93.797
202,21-07-09,02:45:00 PM,69.177,96.313
203,21-07-09,03:00:00 PM,69.795,98.852
204,21-07-09,03:15:00 PM,71.724,98.974
205,21-07-09,03:30:00 PM,71.802,96.117
206,21-07-09,03:45:00 PM,70.335,96.435
207,21-07-09,04:00:00 PM,70.180,98.315
208,21-07-09,04:15:00 PM,70.335,98.535
209,21-07-09,04:30:00 PM,70.489,98.779
210,21-07-09,04:45:00 PM,70.722,98.828
211,21-07-09,05:00:00 PM,71.802,93.626
212,21-07-09,05:15:00 PM,72.651,93.651
213,21-07-09,05:30:00 PM,72.961,95.018
214,21-07-09,05:45:00 PM,73.269,93.993
215,21-07-09,06:00:00 PM,73.269,95.653
216,21-07-09,06:15:00 PM,73.423,95.458
217,21-07-09,06:30:00 PM,73.269,96.044
218,21-07-09,06:45:00 PM,73.346,96.972
219,21-07-09,07:00:00 PM,73.346,97.949
220,21-07-09,07:15:00 PM,73.423,98.315
221,21-07-09,07:30:00 PM,73.193,98.926
222,21-07-09,07:45:00 PM,73.116,98.999
223,21-07-09,08:00:00 PM,73.346,99.316
224,21-07-09,08:15:00 PM,73.346,99.365
225,21-07-09,08:30:00 PM,73.269,99.658
226,21-07-09,08:45:00 PM,73.116,99.731
227,21-07-09,09:00:00 PM,72.806,99.536
228,21-07-09,09:15:00 PM,72.496,99.731
229,21-07-09,09:30:00 PM,72.266,99.853
230,21-07-09,09:45:00 PM,72.189,99.902
231,21-07-09,10:00:00 PM,72.266,100.000
232,21-07-09,10:15:00 PM,72.266,100.000
233,21-07-09,10:30:00 PM,72.189,100.000
234,21-07-09,10:45:00 PM,72.111,100.000
235,21-07-09,11:00:00 PM,72.343,100.000
236,21-07-09,11:15:00 PM,72.111,100.000
237,21-07-09,11:30:00 PM,71.802,100.000
238,21-07-09,11:45:00 PM,71.571,100.000
239,21-07-10,12:00:00 AM,71.339,100.000
240,21-07-10,12:15:00 AM,71.029,99.927
241,21-07-10,12:30:00 AM,70.952,99.389
242,21-07-10,12:45:00 AM,70.722,100.000
243,21-07-10,01:00:00 AM,71.029,100.000
244,21-07-10,01:15:00 AM,70.952,100.000
245,21-07-10,01:30:00 AM,71.029,100.000
246,21-07-10,01:45:00 AM,70.722,100.000
247,21-07-10,02:00:00 AM,70.412,100.000
248,21-07-10,02:15:00 AM,70.257,100.000
249,21-07-10,02:30:00 AM,70.104,100.000
250,21-07-10,02:45:00 AM,70.027,100.000
251,21-07-10,03:00:00 AM,70.180,100.000
252,21-07-10,03:15:00 AM,70.027,100.000
253,21-07-10,03:30:00 AM,69.795,100.000
254,21-07-10,03:45:00 AM,69.949,100.000
255,21-07-10,04:00:00 AM,70.027,100.000
256,21-07-10,04:15:00 AM,69.562,100.000
257,21-07-10,04:30:00 AM,69.255,100.000
258,21-07-10,04:45:00 AM,69.255,100.000
259,21-07-10,05:00:00 AM,69.177,100.000
260,21-07-10,05:15:00 AM,69.485,100.000
261,21-07-10,05:30:00 AM,69.255,100.000
262,21-07-10,05:45:00 AM,69.177,100.000
263,21-07-10,06:00:00 AM,68.945,100.000
264,21-07-10,06:15:00 AM,68.868,100.000
265,21-07-10,06:30:00 AM,68.790,100.000
266,21-07-10,06:45:00 AM,68.635,100.000
267,21-07-10,07:00:00 AM,68.713,100.000
