"Plot Title: OACForest_21421608_20220626"
"#","Date","Time, GMT-04:00","Temp, °C (LGR S/N: 21421608, SEN S/N: 21421608)","RH, % (LGR S/N: 21421608, SEN S/N: 21421608)"
1,22-06-26,17:00:00,27.732,65.470
2,22-06-26,17:15:00,27.561,68.034
3,22-06-26,17:30:00,27.346,69.084
4,22-06-26,17:45:00,27.990,62.173
5,22-06-26,18:00:00,28.247,63.614
6,22-06-26,18:15:00,27.647,65.397
7,22-06-26,18:30:00,27.604,66.496
8,22-06-26,18:45:00,27.561,67.375
9,22-06-26,19:00:00,27.518,65.153
10,22-06-26,19:15:00,27.175,67.888
11,22-06-26,19:30:00,27.003,68.230
12,22-06-26,19:45:00,26.917,67.912
13,22-06-26,20:00:00,26.789,66.447
14,22-06-26,20:15:00,26.617,67.228
15,22-06-26,20:30:00,26.574,66.203
16,22-06-26,20:45:00,27.046,64.151
17,22-06-26,21:00:00,26.703,67.253
18,22-06-26,21:15:00,26.145,66.081
19,22-06-26,21:30:00,25.888,67.131
20,22-06-26,21:45:00,25.716,67.521
21,22-06-26,22:00:00,25.459,69.206
22,22-06-26,22:15:00,25.244,71.526
23,22-06-26,22:30:00,25.030,70.940
24,22-06-26,22:45:00,24.944,73.431
25,22-06-26,23:00:00,24.772,73.871
26,22-06-26,23:15:00,24.729,73.431
27,22-06-26,23:30:00,24.644,74.286
28,22-06-26,23:45:00,24.472,75.556
29,22-06-27,00:00:00,24.429,75.653
30,22-06-27,00:15:00,24.386,76.117
31,22-06-27,00:30:00,24.386,77.192
32,22-06-27,00:45:00,24.343,77.631
33,22-06-27,01:00:00,24.257,78.803
34,22-06-27,01:15:00,24.129,78.901
35,22-06-27,01:30:00,24.000,80.195
36,22-06-27,01:45:00,23.743,79.927
37,22-06-27,02:00:00,23.528,81.343
38,22-06-27,02:15:00,23.442,82.442
39,22-06-27,02:30:00,23.356,82.613
40,22-06-27,02:45:00,23.356,83.321
41,22-06-27,03:00:00,23.271,83.443
42,22-06-27,03:15:00,23.228,83.810
43,22-06-27,03:30:00,23.099,84.029
44,22-06-27,03:45:00,22.842,85.250
45,22-06-27,04:00:00,22.713,86.129
46,22-06-27,04:15:00,22.584,86.276
47,22-06-27,04:30:00,22.713,86.569
48,22-06-27,04:45:00,22.842,86.764
49,22-06-27,05:00:00,22.970,86.227
50,22-06-27,05:15:00,23.099,86.374
51,22-06-27,05:30:00,23.099,86.252
52,22-06-27,05:45:00,23.185,86.716
53,22-06-27,06:00:00,23.099,85.177
54,22-06-27,06:15:00,23.185,85.690
55,22-06-27,06:30:00,23.142,85.348
56,22-06-27,06:45:00,23.099,83.101
57,22-06-27,07:00:00,23.185,84.396
58,22-06-27,07:15:00,23.185,83.980
59,22-06-27,07:30:00,23.228,84.835
60,22-06-27,07:45:00,23.185,83.980
61,22-06-27,08:00:00,23.185,83.810
62,22-06-27,08:15:00,23.185,84.005
63,22-06-27,08:30:00,23.228,84.469
64,22-06-27,08:45:00,23.399,84.518
65,22-06-27,09:00:00,23.614,84.713
66,22-06-27,09:15:00,23.657,85.031
67,22-06-27,09:30:00,23.828,83.443
68,22-06-27,09:45:00,24.086,83.810
69,22-06-27,10:00:00,24.429,81.758
70,22-06-27,10:15:00,24.858,80.537
71,22-06-27,10:30:00,25.158,77.875
72,22-06-27,10:45:00,25.373,78.706
73,22-06-27,11:00:00,25.459,79.219
74,22-06-27,11:15:00,25.502,80.904
75,22-06-27,11:30:00,25.544,79.145
