#,Date-Time (EST/EDT),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C)
1,02/14/2023 09:28:42,11.53,61.06,4.29
2,02/14/2023 09:58:42,15.01,50.65,4.87
3,02/14/2023 10:28:42,16.42,42.33,3.60
4,02/14/2023 10:58:42,17.40,40.85,3.98
5,02/14/2023 11:28:42,18.02,35.51,2.54
6,02/14/2023 11:58:42,18.18,35.16,2.54
7,02/14/2023 12:28:42,18.64,35.40,3.05
8,02/14/2023 12:58:42,19.30,31.12,1.82
9,02/14/2023 13:28:42,19.59,32.87,2.84
10,02/14/2023 13:58:42,19.33,32.56,2.48
11,02/14/2023 14:28:42,19.99,32.00,2.81
12,02/14/2023 14:58:42,19.96,33.66,3.50
13,02/14/2023 15:28:42,20.07,30.97,2.43
14,02/14/2023 15:58:42,20.44,31.67,3.06
15,02/14/2023 16:28:42,19.88,33.92,3.54
16,02/14/2023 16:58:42,19.39,34.98,3.54
17,02/14/2023 17:28:42,19.02,35.50,3.43
18,02/14/2023 17:58:42,17.49,38.07,3.06
19,02/14/2023 18:28:42,16.65,39.89,2.97
20,02/14/2023 18:58:42,16.04,41.33,2.92
21,02/14/2023 19:28:42,16.29,41.48,3.19
22,02/14/2023 19:58:42,15.78,41.52,2.75
23,02/14/2023 20:28:42,14.93,45.21,3.18
24,02/14/2023 20:58:42,14.35,46.84,3.15
25,02/14/2023 21:28:42,13.32,50.50,3.27
26,02/14/2023 21:58:42,12.75,51.94,3.14
27,02/14/2023 22:28:42,14.21,47.52,3.23
28,02/14/2023 22:58:42,14.28,47.45,3.27
29,02/14/2023 23:28:42,13.48,50.13,3.31
30,02/14/2023 23:58:42,12.76,52.79,3.38
31,02/15/2023 00:28:42,12.73,54.53,3.81
32,02/15/2023 00:58:42,12.71,52.11,3.15
33,02/15/2023 01:28:42,12.32,52.69,2.94
34,02/15/2023 01:58:42,10.94,59.00,3.25
35,02/15/2023 02:28:42,11.10,57.22,2.97
36,02/15/2023 02:58:42,9.79,63.56,3.22
37,02/15/2023 03:28:42,9.19,68.26,3.66
38,02/15/2023 03:58:42,9.59,69.76,4.35
39,02/15/2023 04:28:42,11.37,63.88,4.79
40,02/15/2023 04:58:42,10.77,69.31,5.38
41,02/15/2023 05:28:42,11.32,67.92,5.62
42,02/15/2023 05:58:42,11.63,68.75,6.10
43,02/15/2023 06:28:42,11.59,69.84,6.29
44,02/15/2023 06:58:42,11.83,71.46,6.84
45,02/15/2023 07:28:42,11.72,69.89,6.42
46,02/15/2023 07:58:42,11.72,71.29,6.71
47,02/15/2023 08:28:42,11.68,71.92,6.80
48,02/15/2023 08:58:42,11.68,72.20,6.85
49,02/15/2023 09:28:42,11.01,79.71,7.65
50,02/15/2023 09:58:42,10.42,87.65,8.47
51,02/15/2023 10:28:42,10.19,90.47,8.71
52,02/15/2023 10:58:42,10.42,92.31,9.24
53,02/15/2023 11:28:42,10.60,93.26,9.57
54,02/15/2023 11:58:42,11.12,93.30,10.09
55,02/15/2023 12:28:42,12.41,90.75,10.95
56,02/15/2023 12:58:42,13.88,87.20,11.80
57,02/15/2023 13:28:42,13.91,88.17,12.00
58,02/15/2023 13:58:42,14.44,86.28,12.20
59,02/15/2023 14:28:42,15.46,81.46,12.32
60,02/15/2023 14:58:42,15.90,82.86,13.01
61,02/15/2023 15:28:42,16.26,81.80,13.16
62,02/15/2023 15:58:42,16.34,81.54,13.19
63,02/15/2023 16:28:42,16.61,81.65,13.48
64,02/15/2023 16:58:42,16.61,83.53,13.83
65,02/15/2023 17:28:42,16.19,85.92,13.85
66,02/15/2023 17:58:42,16.04,84.12,13.38
67,02/15/2023 18:28:42,15.59,87.33,13.51
68,02/15/2023 18:58:42,15.78,86.14,13.49
69,02/15/2023 19:28:42,15.11,89.51,13.41
70,02/15/2023 19:58:42,14.66,91.25,13.26
71,02/15/2023 20:28:42,14.62,91.22,13.22
72,02/15/2023 20:58:42,14.47,91.45,13.11
73,02/15/2023 21:28:42,13.93,92.11,12.69
74,02/15/2023 21:58:42,13.83,91.93,12.56
75,02/15/2023 22:28:42,13.01,94.31,12.13
76,02/15/2023 22:58:42,12.48,95.07,11.73
77,02/15/2023 23:28:42,11.66,97.47,11.28
78,02/15/2023 23:58:42,11.45,97.72,11.12
79,02/16/2023 00:28:42,12.04,96.29,11.48
80,02/16/2023 00:58:42,11.40,97.51,11.03
