#,Date-Time (EST/EDT),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C)
1,08/26/2022 00:00:00,22.39,93.37,21.30
2,08/26/2022 00:30:00,22.14,94.09,21.18
3,08/26/2022 01:00:00,22.07,94.52,21.18
4,08/26/2022 01:30:00,22.13,94.67,21.27
5,08/26/2022 02:00:00,21.85,95.78,21.18
6,08/26/2022 02:30:00,22.07,94.82,21.23
7,08/26/2022 03:00:00,22.56,93.87,21.55
8,08/26/2022 03:30:00,22.43,94.30,21.50
9,08/26/2022 04:00:00,22.35,94.56,21.46
10,08/26/2022 04:30:00,22.39,95.17,21.61
11,08/26/2022 05:00:00,22.50,93.58,21.44
12,08/26/2022 05:30:00,22.49,93.21,21.36
13,08/26/2022 06:00:00,22.07,95.70,21.38
14,08/26/2022 06:30:00,22.03,96.45,21.46
15,08/26/2022 07:00:00,22.23,95.96,21.58
16,08/26/2022 07:30:00,22.12,96.74,21.61
17,08/26/2022 08:00:00,22.71,94.24,21.77
18,08/26/2022 08:30:00,22.94,93.18,21.81
19,08/26/2022 09:00:00,23.70,90.53,22.09
20,08/26/2022 09:30:00,25.34,81.88,22.05
21,08/26/2022 10:00:00,25.23,83.03,22.17
22,08/26/2022 10:30:00,26.18,76.08,21.66
23,08/26/2022 11:00:00,26.40,74.72,21.58
24,08/26/2022 11:30:00,26.94,72.36,21.57
25,08/26/2022 12:00:00,27.56,69.76,21.57
26,08/26/2022 12:30:00,27.36,71.10,21.68
27,08/26/2022 13:00:00,27.79,65.68,20.80
28,08/26/2022 13:30:00,29.08,62.45,21.20
29,08/26/2022 14:00:00,30.96,54.68,20.79
30,08/26/2022 14:30:00,30.82,56.31,21.14
31,08/26/2022 15:00:00,29.91,55.69,20.11
32,08/26/2022 15:30:00,30.64,54.63,20.48
33,08/26/2022 16:00:00,31.61,49.61,19.82
34,08/26/2022 16:30:00,31.02,53.71,20.56
35,08/26/2022 17:00:00,30.56,53.31,20.01
36,08/26/2022 17:30:00,30.13,53.62,19.71
37,08/26/2022 18:00:00,29.70,56.70,20.20
38,08/26/2022 18:30:00,29.05,62.01,21.06
39,08/26/2022 19:00:00,28.53,65.70,21.50
40,08/26/2022 19:30:00,28.39,66.21,21.50
41,08/26/2022 20:00:00,27.67,72.22,22.24
42,08/26/2022 20:30:00,26.76,75.47,22.08
43,08/26/2022 21:00:00,26.04,78.17,21.96
44,08/26/2022 21:30:00,25.72,81.17,22.27
45,08/26/2022 22:00:00,25.45,83.22,22.42
46,08/26/2022 22:30:00,25.59,83.81,22.67
47,08/26/2022 23:00:00,25.21,85.95,22.72
48,08/26/2022 23:30:00,24.72,88.22,22.67
49,08/27/2022 00:00:00,24.66,89.12,22.78
50,08/27/2022 00:30:00,24.51,89.93,22.78
51,08/27/2022 01:00:00,24.41,90.71,22.82
52,08/27/2022 01:30:00,24.04,92.25,22.74
53,08/27/2022 02:00:00,23.79,93.25,22.66
54,08/27/2022 02:30:00,23.68,93.37,22.57
55,08/27/2022 03:00:00,23.38,94.51,22.48
56,08/27/2022 03:30:00,23.36,93.89,22.35
57,08/27/2022 04:00:00,23.40,93.43,22.31
58,08/27/2022 04:30:00,23.42,92.96,22.25
59,08/27/2022 05:00:00,23.36,93.21,22.23
60,08/27/2022 05:30:00,23.21,94.28,22.27
61,08/27/2022 06:00:00,23.14,94.48,22.24
62,08/27/2022 06:30:00,22.81,95.39,22.06
63,08/27/2022 07:00:00,22.63,96.17,22.02
64,08/27/2022 07:30:00,22.90,95.00,22.08
65,08/27/2022 08:00:00,24.50,88.65,22.53
66,08/27/2022 08:30:00,24.12,90.40,22.48
67,08/27/2022 09:00:00,24.92,87.60,22.75
68,08/27/2022 09:30:00,27.65,76.09,23.08
69,08/27/2022 10:00:00,27.88,76.44,23.38
70,08/27/2022 10:30:00,28.84,70.13,22.87
71,08/27/2022 11:00:00,29.50,68.19,23.04
72,08/27/2022 11:30:00,30.19,65.60,23.06
73,08/27/2022 12:00:00,31.15,61.14,22.80
74,08/27/2022 12:30:00,30.27,62.53,22.35
75,08/27/2022 13:00:00,30.05,62.43,22.11
76,08/27/2022 13:30:00,29.45,64.99,22.20
77,08/27/2022 14:00:00,29.76,61.57,21.61
78,08/27/2022 14:30:00,30.86,61.49,22.62
79,08/27/2022 15:00:00,31.94,54.83,21.74
80,08/27/2022 15:30:00,32.28,52.85,21.46
81,08/27/2022 16:00:00,32.46,50.24,20.80
82,08/27/2022 16:30:00,31.94,52.86,21.14
83,08/27/2022 17:00:00,32.60,52.09,21.52
84,08/27/2022 17:30:00,31.24,55.37,21.26
85,08/27/2022 18:00:00,30.59,59.67,21.87
86,08/27/2022 18:30:00,30.33,62.54,22.40
87,08/27/2022 19:00:00,29.71,64.19,22.24
88,08/27/2022 19:30:00,28.67,73.11,23.40
89,08/27/2022 20:00:00,26.21,80.30,22.57
90,08/27/2022 20:30:00,25.63,82.75,22.50
91,08/27/2022 21:00:00,26.49,77.29,22.22
92,08/27/2022 21:30:00,23.87,90.16,22.19
93,08/27/2022 22:00:00,23.38,91.18,21.89
94,08/27/2022 22:30:00,23.83,94.39,22.90
95,08/27/2022 23:00:00,23.68,94.12,22.71
96,08/27/2022 23:30:00,23.54,95.37,22.79
97,08/28/2022 00:00:00,23.68,95.75,22.99
98,08/28/2022 00:30:00,23.91,91.93,22.55
99,08/28/2022 01:00:00,23.13,92.38,21.86
100,08/28/2022 01:30:00,23.17,91.64,21.77
101,08/28/2022 02:00:00,22.87,93.11,21.73
102,08/28/2022 02:30:00,22.71,94.08,21.74
103,08/28/2022 03:00:00,22.56,93.61,21.51
104,08/28/2022 03:30:00,22.54,94.71,21.68
105,08/28/2022 04:00:00,22.42,95.31,21.66
106,08/28/2022 04:30:00,22.29,95.05,21.49
107,08/28/2022 05:00:00,22.21,95.00,21.40
108,08/28/2022 05:30:00,22.04,95.93,21.39
109,08/28/2022 06:00:00,22.10,94.69,21.24
110,08/28/2022 06:30:00,21.95,94.60,21.07
111,08/28/2022 07:00:00,21.78,95.33,21.03
112,08/28/2022 07:30:00,21.96,94.87,21.13
113,08/28/2022 08:00:00,24.00,87.39,21.80
114,08/28/2022 08:30:00,24.93,84.66,22.20
115,08/28/2022 09:00:00,26.48,79.53,22.68
116,08/28/2022 09:30:00,26.35,81.53,22.96
117,08/28/2022 10:00:00,26.77,80.24,23.10
118,08/28/2022 10:30:00,27.75,75.64,23.08
119,08/28/2022 11:00:00,28.33,72.51,22.94
120,08/28/2022 11:30:00,29.22,68.69,22.90
121,08/28/2022 12:00:00,29.98,62.31,22.01
122,08/28/2022 12:30:00,30.66,59.71,21.95
123,08/28/2022 13:00:00,30.15,60.39,21.65
124,08/28/2022 13:30:00,31.29,55.97,21.48
125,08/28/2022 14:00:00,30.40,57.24,21.02
126,08/28/2022 14:30:00,31.96,49.53,20.10
127,08/28/2022 15:00:00,32.87,50.10,21.12
128,08/28/2022 15:30:00,32.13,46.84,19.36
129,08/28/2022 16:00:00,32.35,47.27,19.71
130,08/28/2022 16:30:00,32.27,48.83,20.16
131,08/28/2022 17:00:00,30.07,56.54,20.51
132,08/28/2022 17:30:00,30.72,54.47,20.51
133,08/28/2022 18:00:00,30.96,55.20,20.94
134,08/28/2022 18:30:00,30.41,55.81,20.62
135,08/28/2022 19:00:00,29.82,59.77,21.18
136,08/28/2022 19:30:00,29.23,60.68,20.87
137,08/28/2022 20:00:00,28.16,66.97,21.47
138,08/28/2022 20:30:00,27.42,69.22,21.31
139,08/28/2022 21:00:00,26.86,71.89,21.39
140,08/28/2022 21:30:00,26.11,75.13,21.39
141,08/28/2022 22:00:00,25.87,76.68,21.48
142,08/28/2022 22:30:00,25.12,80.08,21.46
143,08/28/2022 23:00:00,24.85,81.18,21.43
144,08/28/2022 23:30:00,24.58,83.09,21.55
145,08/29/2022 00:00:00,24.23,84.38,21.45
146,08/29/2022 00:30:00,23.99,85.49,21.43
147,08/29/2022 01:00:00,24.16,84.46,21.40
148,08/29/2022 01:30:00,24.43,83.22,21.42
149,08/29/2022 02:00:00,24.03,84.33,21.25
150,08/29/2022 02:30:00,23.67,84.97,21.02
151,08/29/2022 03:00:00,23.43,84.96,20.78
152,08/29/2022 03:30:00,23.02,87.34,20.83
153,08/29/2022 04:00:00,22.85,87.66,20.72
154,08/29/2022 04:30:00,22.64,88.40,20.65
155,08/29/2022 05:00:00,22.62,88.69,20.68
156,08/29/2022 05:30:00,22.35,90.65,20.77
157,08/29/2022 06:00:00,22.20,91.83,20.83
158,08/29/2022 06:30:00,22.24,92.05,20.91
159,08/29/2022 07:00:00,21.98,93.11,20.85
160,08/29/2022 07:30:00,22.16,92.87,20.97
161,08/29/2022 08:00:00,23.66,85.94,21.19
162,08/29/2022 08:30:00,25.05,81.13,21.61
163,08/29/2022 09:00:00,26.25,77.64,22.06
164,08/29/2022 09:30:00,27.16,74.28,22.22
