#,Date-Time (EST/EDT),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C),Button Down,Host Connected,End of File
1,08/25/2022 00:00:00,22.39,72.01,17.12,,,
2,08/25/2022 00:30:00,22.37,71.44,16.97,,,
3,08/25/2022 01:00:00,22.37,71.41,16.97,,,
4,08/25/2022 01:30:00,22.36,71.37,16.95,,,
5,08/25/2022 02:00:00,22.20,68.67,16.19,,,
6,08/25/2022 02:30:00,22.08,71.53,16.72,,,
7,08/25/2022 03:00:00,22.05,72.25,16.84,,,
8,08/25/2022 03:30:00,22.04,73.16,17.03,,,
9,08/25/2022 04:00:00,22.14,73.87,17.29,,,
10,08/25/2022 04:30:00,22.18,74.13,17.37,,,
11,08/25/2022 05:00:00,22.22,73.80,17.34,,,
12,08/25/2022 05:30:00,22.22,73.79,17.34,,,
13,08/25/2022 06:00:00,22.25,73.05,17.21,,,
14,08/25/2022 06:30:00,22.23,73.43,17.27,,,
15,08/25/2022 07:00:00,22.25,73.45,17.30,,,
16,08/25/2022 07:30:00,22.08,71.99,16.82,,,
17,08/25/2022 08:00:00,22.06,73.72,17.17,,,
18,08/25/2022 08:30:00,22.03,74.10,17.22,,,
19,08/25/2022 09:00:00,22.07,74.63,17.38,,,
20,08/25/2022 09:30:00,22.17,74.67,17.48,,,
21,08/25/2022 10:00:00,22.18,74.42,17.44,,,
22,08/25/2022 10:30:00,22.27,74.54,17.55,,,
23,08/25/2022 11:00:00,22.28,74.29,17.51,,,
24,08/25/2022 11:30:00,22.33,69.56,16.51,,,
25,08/25/2022 12:00:00,22.10,72.45,16.94,,,
26,08/25/2022 12:30:00,22.28,79.17,18.52,,,
27,08/25/2022 13:00:00,24.50,74.85,19.77,,,
28,08/25/2022 13:30:00,27.00,66.88,20.35,,,
29,08/25/2022 14:00:00,26.53,71.83,21.06,,,
30,08/25/2022 14:30:00,26.82,71.20,21.19,,,
31,08/25/2022 15:00:00,29.37,59.59,20.71,,,
32,08/25/2022 15:30:00,28.40,63.25,20.76,,,
33,08/25/2022 16:00:00,27.52,68.41,21.20,,,
34,08/25/2022 16:30:00,26.67,69.48,20.65,,,
35,08/25/2022 17:00:00,26.64,68.55,20.40,,,
36,08/25/2022 17:30:00,25.93,72.62,20.66,,,
37,08/25/2022 18:00:00,26.10,72.91,20.89,,,
38,08/25/2022 18:30:00,25.09,71.50,19.60,,,
39,08/25/2022 19:00:00,25.05,74.08,20.13,,,
40,08/25/2022 19:30:00,24.83,76.76,20.49,,,
41,08/25/2022 20:00:00,24.68,77.33,20.47,,,
42,08/25/2022 20:30:00,24.16,81.16,20.75,,,
43,08/25/2022 21:00:00,23.67,85.00,21.02,,,
44,08/25/2022 21:30:00,23.39,87.05,21.14,,,
45,08/25/2022 22:00:00,23.01,89.39,21.20,,,
46,08/25/2022 22:30:00,22.87,90.73,21.31,,,
47,08/25/2022 23:00:00,22.75,91.31,21.28,,,
48,08/25/2022 23:30:00,22.94,90.26,21.28,,,
49,08/26/2022 00:00:00,22.27,93.19,21.15,,,
50,08/26/2022 00:30:00,22.23,93.40,21.14,,,
51,08/26/2022 01:00:00,22.34,93.35,21.24,,,
52,08/26/2022 01:30:00,22.18,94.18,21.22,,,
53,08/26/2022 02:00:00,21.97,95.34,21.22,,,
54,08/26/2022 02:30:00,21.85,95.44,21.12,,,
55,08/26/2022 03:00:00,22.20,94.37,21.28,,,
56,08/26/2022 03:30:00,22.32,94.73,21.46,,,
57,08/26/2022 04:00:00,22.42,94.15,21.46,,,
58,08/26/2022 04:30:00,22.51,94.35,21.58,,,
59,08/26/2022 05:00:00,22.56,91.49,21.13,,,
60,08/26/2022 05:30:00,22.72,90.83,21.18,,,
61,08/26/2022 06:00:00,22.24,95.46,21.51,,,
62,08/26/2022 06:30:00,22.09,96.11,21.47,,,
63,08/26/2022 07:00:00,22.48,92.05,21.15,,,
64,08/26/2022 07:30:00,22.25,95.87,21.59,,,
65,08/26/2022 08:00:00,22.78,92.79,21.58,,,
66,08/26/2022 08:30:00,23.27,89.97,21.56,,,
67,08/26/2022 09:00:00,23.69,89.81,21.94,,,
