#,Date-Time (EST/EDT),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C)
1,08/26/2022 00:00:00,22.80,90.84,21.25
2,08/26/2022 00:30:00,22.52,92.12,21.20
3,08/26/2022 01:00:00,22.54,92.58,21.31
4,08/26/2022 01:30:00,22.42,92.96,21.26
5,08/26/2022 02:00:00,22.32,93.56,21.25
6,08/26/2022 02:30:00,22.41,92.96,21.25
7,08/26/2022 03:00:00,22.67,92.28,21.38
8,08/26/2022 03:30:00,22.55,92.90,21.37
9,08/26/2022 04:00:00,22.73,92.07,21.41
10,08/26/2022 04:30:00,22.78,92.75,21.57
11,08/26/2022 05:00:00,22.76,90.50,21.15
12,08/26/2022 05:30:00,22.71,90.62,21.13
13,08/26/2022 06:00:00,22.48,94.07,21.50
14,08/26/2022 06:30:00,22.35,94.65,21.48
15,08/26/2022 07:00:00,22.41,93.07,21.26
16,08/26/2022 07:30:00,22.29,94.39,21.38
17,08/26/2022 08:00:00,22.55,94.25,21.61
18,08/26/2022 08:30:00,22.84,94.08,21.87
19,08/26/2022 09:00:00,23.37,91.11,21.86
20,08/26/2022 09:30:00,25.19,83.33,22.19
21,08/26/2022 10:00:00,24.59,85.41,22.01
22,08/26/2022 10:30:00,26.43,74.22,21.50
23,08/26/2022 11:00:00,26.15,75.17,21.43
24,08/26/2022 11:30:00,27.46,67.94,21.04
25,08/26/2022 12:00:00,27.82,66.80,21.10
26,08/26/2022 12:30:00,26.92,69.18,20.81
27,08/26/2022 13:00:00,28.63,60.78,20.34
28,08/26/2022 13:30:00,29.12,62.17,21.16
29,08/26/2022 14:00:00,29.87,58.06,20.75
30,08/26/2022 14:30:00,28.33,61.26,20.18
31,08/26/2022 15:00:00,29.62,56.96,20.21
32,08/26/2022 15:30:00,30.45,55.84,20.66
33,08/26/2022 16:00:00,30.46,52.37,19.63
34,08/26/2022 16:30:00,30.47,53.78,20.06
35,08/26/2022 17:00:00,31.31,51.10,20.02
36,08/26/2022 17:30:00,31.09,50.61,19.66
37,08/26/2022 18:00:00,30.39,53.37,19.87
38,08/26/2022 18:30:00,29.98,55.43,20.11
39,08/26/2022 19:00:00,30.12,55.24,20.18
40,08/26/2022 19:30:00,29.65,57.67,20.44
41,08/26/2022 20:00:00,28.61,63.11,20.93
42,08/26/2022 20:30:00,28.16,64.52,20.86
43,08/26/2022 21:00:00,27.88,67.03,21.22
44,08/26/2022 21:30:00,26.52,75.72,21.91
45,08/26/2022 22:00:00,26.15,79.26,22.30
46,08/26/2022 22:30:00,25.86,81.51,22.48
47,08/26/2022 23:00:00,25.60,82.84,22.49
48,08/26/2022 23:30:00,25.43,84.39,22.63
49,08/27/2022 00:00:00,25.23,85.74,22.70
50,08/27/2022 00:30:00,24.82,87.86,22.69
51,08/27/2022 01:00:00,24.77,88.02,22.68
52,08/27/2022 01:30:00,24.41,89.45,22.59
53,08/27/2022 02:00:00,24.31,89.95,22.58
54,08/27/2022 02:30:00,24.11,90.35,22.46
55,08/27/2022 03:00:00,24.06,90.31,22.41
56,08/27/2022 03:30:00,24.21,88.62,22.24
57,08/27/2022 04:00:00,24.13,88.77,22.19
58,08/27/2022 04:30:00,24.04,89.03,22.15
59,08/27/2022 05:00:00,23.65,91.00,22.12
60,08/27/2022 05:30:00,23.38,92.76,22.17
61,08/27/2022 06:00:00,23.27,93.28,22.15
62,08/27/2022 06:30:00,23.01,93.97,22.02
63,08/27/2022 07:00:00,22.87,94.32,21.94
64,08/27/2022 07:30:00,23.06,93.93,22.05
65,08/27/2022 08:00:00,23.73,91.57,22.31
66,08/27/2022 08:30:00,25.32,84.68,22.58
67,08/27/2022 09:00:00,25.98,83.09,22.92
