#,Date-Time (EST/EDT),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C)
1,08/26/2022 00:00:00,22.42,93.16,21.29
2,08/26/2022 00:30:00,22.17,94.09,21.20
3,08/26/2022 01:00:00,21.92,94.71,21.06
4,08/26/2022 01:30:00,21.82,94.87,20.99
5,08/26/2022 02:00:00,21.60,95.85,20.93
6,08/26/2022 02:30:00,21.73,95.85,21.06
7,08/26/2022 03:00:00,22.14,94.98,21.33
8,08/26/2022 03:30:00,22.36,94.69,21.49
9,08/26/2022 04:00:00,22.25,95.21,21.48
10,08/26/2022 04:30:00,22.20,95.66,21.50
11,08/26/2022 05:00:00,22.60,94.34,21.67
12,08/26/2022 05:30:00,22.44,94.67,21.58
13,08/26/2022 06:00:00,22.29,96.18,21.69
14,08/26/2022 06:30:00,22.07,96.71,21.55
15,08/26/2022 07:00:00,22.17,96.52,21.61
16,08/26/2022 07:30:00,22.34,95.87,21.68
17,08/26/2022 08:00:00,22.42,96.03,21.79
18,08/26/2022 08:30:00,22.83,96.67,22.30
19,08/26/2022 09:00:00,23.29,94.33,22.36
20,08/26/2022 09:30:00,24.44,85.54,21.88
21,08/26/2022 10:00:00,25.30,86.43,22.90
22,08/26/2022 10:30:00,25.80,79.54,22.02
23,08/26/2022 11:00:00,27.16,69.27,21.07
24,08/26/2022 11:30:00,26.82,73.88,21.80
25,08/26/2022 12:00:00,26.54,73.50,21.44
26,08/26/2022 12:30:00,29.32,62.40,21.41
27,08/26/2022 13:00:00,27.66,67.52,21.12
28,08/26/2022 13:30:00,29.97,60.37,21.49
29,08/26/2022 14:00:00,30.23,57.29,20.87
30,08/26/2022 14:30:00,31.26,54.28,20.95
31,08/26/2022 15:00:00,30.92,51.70,19.84
32,08/26/2022 15:30:00,32.01,51.15,20.68
33,08/26/2022 16:00:00,31.31,52.03,20.31
34,08/26/2022 16:30:00,31.08,50.60,19.64
35,08/26/2022 17:00:00,30.39,54.14,20.10
36,08/26/2022 17:30:00,30.45,54.89,20.38
37,08/26/2022 18:00:00,29.46,59.66,20.81
38,08/26/2022 18:30:00,29.72,59.59,21.03
39,08/26/2022 19:00:00,29.00,62.41,21.11
