#,Date-Time (EST/EDT),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C)
1,08/24/2022 18:00:00,23.74,66.58,17.17
2,08/24/2022 18:30:00,23.30,67.69,17.01
3,08/24/2022 19:00:00,23.08,68.18,16.91
4,08/24/2022 19:30:00,22.93,69.25,17.02
5,08/24/2022 20:00:00,22.91,68.92,16.92
6,08/24/2022 20:30:00,22.82,69.43,16.95
7,08/24/2022 21:00:00,22.70,67.40,16.37
8,08/24/2022 21:30:00,22.33,70.85,16.80
9,08/24/2022 22:00:00,22.26,71.06,16.79
10,08/24/2022 22:30:00,22.28,71.60,16.93
11,08/24/2022 23:00:00,22.40,71.95,17.12
12,08/24/2022 23:30:00,22.42,71.59,17.06
13,08/25/2022 00:00:00,22.46,71.83,17.14
14,08/25/2022 00:30:00,22.46,71.03,16.97
15,08/25/2022 01:00:00,22.46,71.08,16.98
16,08/25/2022 01:30:00,22.44,71.01,16.95
17,08/25/2022 02:00:00,22.17,68.97,16.22
18,08/25/2022 02:30:00,21.92,72.38,16.75
19,08/25/2022 03:00:00,21.93,72.87,16.86
20,08/25/2022 03:30:00,22.07,73.59,17.15
21,08/25/2022 04:00:00,22.13,74.14,17.33
22,08/25/2022 04:30:00,22.21,74.29,17.44
23,08/25/2022 05:00:00,22.25,73.84,17.38
24,08/25/2022 05:30:00,22.26,73.74,17.37
25,08/25/2022 06:00:00,22.24,72.77,17.14
26,08/25/2022 06:30:00,22.23,73.52,17.29
27,08/25/2022 07:00:00,22.27,73.36,17.30
28,08/25/2022 07:30:00,21.99,73.28,17.02
29,08/25/2022 08:00:00,21.87,74.85,17.23
30,08/25/2022 08:30:00,21.93,74.76,17.27
31,08/25/2022 09:00:00,22.04,75.14,17.45
32,08/25/2022 09:30:00,22.12,74.80,17.46
33,08/25/2022 10:00:00,22.22,74.40,17.47
34,08/25/2022 10:30:00,22.32,74.39,17.56
35,08/25/2022 11:00:00,22.41,73.98,17.57
36,08/25/2022 11:30:00,22.41,68.21,16.29
37,08/25/2022 12:00:00,21.98,73.46,17.04
38,08/25/2022 12:30:00,23.17,77.55,19.06
39,08/25/2022 13:00:00,25.96,68.06,19.64
40,08/25/2022 13:30:00,26.79,61.14,18.70
41,08/25/2022 14:00:00,27.24,55.91,17.69
42,08/25/2022 14:30:00,28.04,60.74,19.77
43,08/25/2022 15:00:00,29.41,62.49,21.52
44,08/25/2022 15:30:00,29.56,40.46,14.72
45,08/25/2022 16:00:00,31.30,45.89,18.28
46,08/25/2022 16:30:00,25.12,59.46,16.68
47,08/25/2022 17:00:00,28.82,50.75,17.61
48,08/25/2022 17:30:00,30.27,51.72,19.26
49,08/25/2022 18:00:00,28.21,36.75,12.06
50,08/25/2022 18:30:00,25.24,73.71,20.24
51,08/25/2022 19:00:00,25.10,73.75,20.11
52,08/25/2022 19:30:00,24.77,77.16,20.52
53,08/25/2022 20:00:00,24.43,80.67,20.91
54,08/25/2022 20:30:00,23.79,83.93,20.93
55,08/25/2022 21:00:00,23.10,87.97,21.02
56,08/25/2022 21:30:00,22.93,89.66,21.16
57,08/25/2022 22:00:00,23.00,89.94,21.29
58,08/25/2022 22:30:00,22.67,92.42,21.41
59,08/25/2022 23:00:00,22.56,92.91,21.39
60,08/25/2022 23:30:00,22.32,94.07,21.34
61,08/26/2022 00:00:00,22.14,94.62,21.27
62,08/26/2022 00:30:00,22.10,94.96,21.28
63,08/26/2022 01:00:00,22.03,95.39,21.28
64,08/26/2022 01:30:00,22.03,95.48,21.30
65,08/26/2022 02:00:00,21.74,96.19,21.13
66,08/26/2022 02:30:00,21.79,96.10,21.17
67,08/26/2022 03:00:00,21.95,96.23,21.35
68,08/26/2022 03:30:00,21.93,96.36,21.35
69,08/26/2022 04:00:00,22.04,96.32,21.45
70,08/26/2022 04:30:00,22.10,96.95,21.62
71,08/26/2022 05:00:00,22.14,96.26,21.55
72,08/26/2022 05:30:00,22.10,96.73,21.59
73,08/26/2022 06:00:00,21.98,97.98,21.68
74,08/26/2022 06:30:00,21.81,98.00,21.51
75,08/26/2022 07:00:00,21.89,98.51,21.67
76,08/26/2022 07:30:00,21.91,98.71,21.73
77,08/26/2022 08:00:00,22.69,96.36,22.11
78,08/26/2022 08:30:00,22.67,96.78,22.16
79,08/26/2022 09:00:00,23.47,92.80,22.27
80,08/26/2022 09:30:00,25.19,85.93,22.70
81,08/26/2022 10:00:00,25.54,83.30,22.53
82,08/26/2022 10:30:00,26.45,75.27,21.74
83,08/26/2022 11:00:00,26.94,74.62,22.07
84,08/26/2022 11:30:00,27.30,71.18,21.65
85,08/26/2022 12:00:00,28.18,66.58,21.39
86,08/26/2022 12:30:00,27.51,67.91,21.07
87,08/26/2022 13:00:00,28.37,64.12,20.95
88,08/26/2022 13:30:00,28.52,65.35,21.41
89,08/26/2022 14:00:00,30.40,57.97,21.22
90,08/26/2022 14:30:00,29.21,59.78,20.61
91,08/26/2022 15:00:00,31.59,52.09,20.59
92,08/26/2022 15:30:00,32.02,51.92,20.93
93,08/26/2022 16:00:00,31.38,51.75,20.28
94,08/26/2022 16:30:00,32.64,48.48,20.38
95,08/26/2022 17:00:00,32.38,47.89,19.94
96,08/26/2022 17:30:00,32.96,48.65,20.73
97,08/26/2022 18:00:00,29.36,58.94,20.52
98,08/26/2022 18:30:00,28.97,64.99,21.74
99,08/26/2022 19:00:00,29.75,60.86,21.41
100,08/26/2022 19:30:00,28.37,68.85,22.12
101,08/26/2022 20:00:00,27.57,71.84,22.06
102,08/26/2022 20:30:00,26.86,72.95,21.63
103,08/26/2022 21:00:00,25.87,78.25,21.82
104,08/26/2022 21:30:00,26.15,78.79,22.20
105,08/26/2022 22:00:00,25.80,81.52,22.43
106,08/26/2022 22:30:00,25.68,82.99,22.61
107,08/26/2022 23:00:00,25.45,85.03,22.77
108,08/26/2022 23:30:00,25.01,86.91,22.70
109,08/27/2022 00:00:00,24.82,88.74,22.86
110,08/27/2022 00:30:00,24.55,90.00,22.83
111,08/27/2022 01:00:00,24.39,91.06,22.86
112,08/27/2022 01:30:00,24.08,92.35,22.79
113,08/27/2022 02:00:00,23.89,93.26,22.77
114,08/27/2022 02:30:00,23.72,93.52,22.64
115,08/27/2022 03:00:00,23.36,94.88,22.52
116,08/27/2022 03:30:00,23.22,95.09,22.42
117,08/27/2022 04:00:00,23.09,95.35,22.33
118,08/27/2022 04:30:00,23.13,94.95,22.31
119,08/27/2022 05:00:00,22.97,95.82,22.30
120,08/27/2022 05:30:00,22.90,96.35,22.31
121,08/27/2022 06:00:00,22.78,96.88,22.29
122,08/27/2022 06:30:00,22.52,96.89,22.03
123,08/27/2022 07:00:00,22.61,96.64,22.07
124,08/27/2022 07:30:00,22.55,96.67,22.03
125,08/27/2022 08:00:00,23.34,95.31,22.57
126,08/27/2022 08:30:00,24.19,91.75,22.80
127,08/27/2022 09:00:00,25.07,88.20,23.01
128,08/27/2022 09:30:00,26.69,80.80,23.15
129,08/27/2022 10:00:00,27.75,75.55,23.06
130,08/27/2022 10:30:00,28.88,70.08,22.90
131,08/27/2022 11:00:00,29.06,70.29,23.13
132,08/27/2022 11:30:00,30.27,64.99,22.98
133,08/27/2022 12:00:00,31.08,59.28,22.22
134,08/27/2022 12:30:00,31.24,53.86,20.80
135,08/27/2022 13:00:00,30.20,62.04,22.15
136,08/27/2022 13:30:00,29.34,65.15,22.14
137,08/27/2022 14:00:00,30.10,60.00,21.51
138,08/27/2022 14:30:00,31.33,59.69,22.57
139,08/27/2022 15:00:00,32.55,52.04,21.45
140,08/27/2022 15:30:00,32.91,51.01,21.46
141,08/27/2022 16:00:00,33.30,49.19,21.22
142,08/27/2022 16:30:00,34.07,46.60,21.04
143,08/27/2022 17:00:00,34.36,45.06,20.75
144,08/27/2022 17:30:00,31.44,55.19,21.39
145,08/27/2022 18:00:00,30.57,57.61,21.28
146,08/27/2022 18:30:00,30.06,63.55,22.41
147,08/27/2022 19:00:00,29.46,66.16,22.51
148,08/27/2022 19:30:00,27.25,84.45,24.43
149,08/27/2022 20:00:00,25.43,85.26,22.80
150,08/27/2022 20:30:00,24.65,89.51,22.84
151,08/27/2022 21:00:00,25.95,81.67,22.60
152,08/27/2022 21:30:00,24.21,83.82,21.33
153,08/27/2022 22:00:00,23.98,87.41,21.79
154,08/27/2022 22:30:00,24.16,91.75,22.76
155,08/27/2022 23:00:00,24.09,91.76,22.69
156,08/27/2022 23:30:00,23.94,93.30,22.82
157,08/28/2022 00:00:00,24.02,93.05,22.86
158,08/28/2022 00:30:00,24.30,89.12,22.42
159,08/28/2022 01:00:00,23.83,88.67,21.87
160,08/28/2022 01:30:00,23.41,90.56,21.81
161,08/28/2022 02:00:00,23.40,90.19,21.73
162,08/28/2022 02:30:00,22.99,92.16,21.68
163,08/28/2022 03:00:00,22.72,93.44,21.64
164,08/28/2022 03:30:00,22.53,94.25,21.59
165,08/28/2022 04:00:00,22.41,94.88,21.58
166,08/28/2022 04:30:00,22.36,94.08,21.39
167,08/28/2022 05:00:00,22.12,94.82,21.28
168,08/28/2022 05:30:00,22.09,95.09,21.30
169,08/28/2022 06:00:00,21.95,95.18,21.17
170,08/28/2022 06:30:00,21.75,95.42,21.01
171,08/28/2022 07:00:00,21.84,95.05,21.04
172,08/28/2022 07:30:00,21.78,95.86,21.12
173,08/28/2022 08:00:00,22.81,92.44,21.55
174,08/28/2022 08:30:00,24.15,88.14,22.09
175,08/28/2022 09:00:00,25.12,85.66,22.57
176,08/28/2022 09:30:00,26.47,79.85,22.73
177,08/28/2022 10:00:00,27.36,78.18,23.25
178,08/28/2022 10:30:00,27.99,73.67,22.88
179,08/28/2022 11:00:00,27.64,74.05,22.62
180,08/28/2022 11:30:00,29.62,67.10,22.89
181,08/28/2022 12:00:00,30.16,63.92,22.60
182,08/28/2022 12:30:00,30.49,59.20,21.65
183,08/28/2022 13:00:00,30.86,58.47,21.80
184,08/28/2022 13:30:00,32.11,55.36,22.06
185,08/28/2022 14:00:00,31.69,53.36,21.07
186,08/28/2022 14:30:00,30.23,56.00,20.50
187,08/28/2022 15:00:00,32.56,48.01,20.15
188,08/28/2022 15:30:00,32.52,45.70,19.31
189,08/28/2022 16:00:00,33.14,44.22,19.35
190,08/28/2022 16:30:00,33.33,46.61,20.37
191,08/28/2022 17:00:00,30.71,53.09,20.08
192,08/28/2022 17:30:00,32.87,47.22,20.16
193,08/28/2022 18:00:00,32.15,50.60,20.63
194,08/28/2022 18:30:00,32.88,51.10,21.46
195,08/28/2022 19:00:00,31.44,53.59,20.91
196,08/28/2022 19:30:00,29.03,61.17,20.81
197,08/28/2022 20:00:00,28.18,66.19,21.30
198,08/28/2022 20:30:00,27.55,68.57,21.27
199,08/28/2022 21:00:00,27.01,69.97,21.09
200,08/28/2022 21:30:00,26.19,73.41,21.08
201,08/28/2022 22:00:00,25.82,76.41,21.39
202,08/28/2022 22:30:00,25.12,78.96,21.23
203,08/28/2022 23:00:00,24.63,82.05,21.39
204,08/28/2022 23:30:00,24.53,82.75,21.42
205,08/29/2022 00:00:00,24.03,85.18,21.41
206,08/29/2022 00:30:00,24.05,85.13,21.43
207,08/29/2022 01:00:00,23.89,86.18,21.47
208,08/29/2022 01:30:00,23.75,86.63,21.42
209,08/29/2022 02:00:00,23.98,84.55,21.24
210,08/29/2022 02:30:00,23.22,88.95,21.32
211,08/29/2022 03:00:00,23.60,86.67,21.28
212,08/29/2022 03:30:00,22.67,90.14,21.00
213,08/29/2022 04:00:00,22.66,89.68,20.90
214,08/29/2022 04:30:00,22.68,88.95,20.79
215,08/29/2022 05:00:00,22.44,89.93,20.74
216,08/29/2022 05:30:00,22.52,90.40,20.90
217,08/29/2022 06:00:00,22.41,91.58,21.00
218,08/29/2022 06:30:00,22.01,93.84,20.99
219,08/29/2022 07:00:00,21.74,94.58,20.86
220,08/29/2022 07:30:00,21.93,94.50,21.03
221,08/29/2022 08:00:00,22.77,90.93,21.24
222,08/29/2022 08:30:00,23.40,89.37,21.58
223,08/29/2022 09:00:00,24.70,85.55,22.14
224,08/29/2022 09:30:00,26.99,76.32,22.50
225,08/29/2022 10:00:00,28.72,66.31,21.84
226,08/29/2022 10:30:00,28.71,66.22,21.81
227,08/29/2022 11:00:00,27.97,70.63,22.16
228,08/29/2022 11:30:00,28.68,66.35,21.81
229,08/29/2022 12:00:00,29.79,63.58,22.16
230,08/29/2022 12:30:00,29.18,61.18,20.96
231,08/29/2022 13:00:00,31.58,53.84,21.11
232,08/29/2022 13:30:00,32.03,52.32,21.06
233,08/29/2022 14:00:00,32.24,50.73,20.75
234,08/29/2022 14:30:00,33.01,49.20,20.96
235,08/29/2022 15:00:00,32.52,49.47,20.59
236,08/29/2022 15:30:00,33.70,45.07,20.16
237,08/29/2022 16:00:00,31.16,55.74,21.29
238,08/29/2022 16:30:00,33.92,46.05,20.71
239,08/29/2022 17:00:00,33.46,43.93,19.53
240,08/29/2022 17:30:00,33.47,46.03,20.29
241,08/29/2022 18:00:00,32.99,45.98,19.84
242,08/29/2022 18:30:00,33.01,47.37,20.34
243,08/29/2022 19:00:00,31.52,49.78,19.78
244,08/29/2022 19:30:00,29.97,56.48,20.40
245,08/29/2022 20:00:00,29.45,60.57,21.05
246,08/29/2022 20:30:00,27.79,69.44,21.70
247,08/29/2022 21:00:00,27.44,69.89,21.48
248,08/29/2022 21:30:00,26.78,74.71,21.94
249,08/29/2022 22:00:00,26.02,77.53,21.81
250,08/29/2022 22:30:00,25.46,80.91,21.97
251,08/29/2022 23:00:00,25.40,82.06,22.15
252,08/29/2022 23:30:00,24.50,86.47,22.13
253,08/30/2022 00:00:00,24.36,87.48,22.18
254,08/30/2022 00:30:00,24.00,89.47,22.19
255,08/30/2022 01:00:00,24.04,88.60,22.07
256,08/30/2022 01:30:00,23.65,91.02,22.12
257,08/30/2022 02:00:00,23.45,92.08,22.12
258,08/30/2022 02:30:00,23.16,93.00,22.00
259,08/30/2022 03:00:00,23.02,93.38,21.93
260,08/30/2022 03:30:00,23.06,93.07,21.90
261,08/30/2022 04:00:00,22.97,92.97,21.80
262,08/30/2022 04:30:00,22.85,92.65,21.63
263,08/30/2022 05:00:00,22.84,92.64,21.61
264,08/30/2022 05:30:00,22.61,92.84,21.42
265,08/30/2022 06:00:00,22.47,93.64,21.42
266,08/30/2022 06:30:00,22.31,94.27,21.37
267,08/30/2022 07:00:00,22.43,93.86,21.42
268,08/30/2022 07:30:00,22.41,94.16,21.46
269,08/30/2022 08:00:00,22.88,91.32,21.42
270,08/30/2022 08:30:00,22.99,92.05,21.66
271,08/30/2022 09:00:00,23.42,89.11,21.55
272,08/30/2022 09:30:00,24.11,85.73,21.59
273,08/30/2022 10:00:00,27.22,72.85,21.95
274,08/30/2022 10:30:00,27.81,69.40,21.72
275,08/30/2022 11:00:00,28.20,69.23,22.06
276,08/30/2022 11:30:00,30.07,61.69,21.93
277,08/30/2022 12:00:00,31.06,59.82,22.35
278,08/30/2022 12:30:00,31.24,57.80,21.96
279,08/30/2022 13:00:00,29.78,64.16,22.30
280,08/30/2022 13:30:00,29.70,61.57,21.55
281,08/30/2022 14:00:00,32.59,56.76,22.92
282,08/30/2022 14:30:00,32.30,54.90,22.10
283,08/30/2022 15:00:00,31.67,57.36,22.23
284,08/30/2022 15:30:00,30.57,58.12,21.43
285,08/30/2022 16:00:00,28.54,68.07,22.10
286,08/30/2022 16:30:00,23.14,90.58,21.54
287,08/30/2022 17:00:00,22.51,95.23,21.74
288,08/30/2022 17:30:00,22.44,97.31,22.03
289,08/30/2022 18:00:00,22.69,98.26,22.43
290,08/30/2022 18:30:00,22.83,96.99,22.36
291,08/30/2022 19:00:00,23.08,97.14,22.63
292,08/30/2022 19:30:00,23.00,97.43,22.60
293,08/30/2022 20:00:00,23.03,97.32,22.62
294,08/30/2022 20:30:00,22.95,97.68,22.59
295,08/30/2022 21:00:00,22.73,98.39,22.50
296,08/30/2022 21:30:00,22.67,98.43,22.44
297,08/30/2022 22:00:00,22.63,98.51,22.41
298,08/30/2022 22:30:00,22.56,98.87,22.41
299,08/30/2022 23:00:00,22.58,98.94,22.44
300,08/30/2022 23:30:00,22.60,99.06,22.47
301,08/31/2022 00:00:00,22.55,99.48,22.50
302,08/31/2022 00:30:00,22.51,99.28,22.42
303,08/31/2022 01:00:00,22.37,99.21,22.27
304,08/31/2022 01:30:00,22.25,99.44,22.19
305,08/31/2022 02:00:00,22.20,99.78,22.19
306,08/31/2022 02:30:00,22.31,99.79,22.30
307,08/31/2022 03:00:00,22.35,99.82,22.35
308,08/31/2022 03:30:00,22.40,99.68,22.38
309,08/31/2022 04:00:00,22.47,99.62,22.43
310,08/31/2022 04:30:00,22.58,99.18,22.48
311,08/31/2022 05:00:00,22.51,99.22,22.41
312,08/31/2022 05:30:00,22.48,98.57,22.27
313,08/31/2022 06:00:00,22.20,99.08,22.08
314,08/31/2022 06:30:00,21.91,99.78,21.90
315,08/31/2022 07:00:00,21.77,99.62,21.74
316,08/31/2022 07:30:00,21.73,99.77,21.72
317,08/31/2022 08:00:00,22.18,98.53,21.96
318,08/31/2022 08:30:00,22.69,97.18,22.25
319,08/31/2022 09:00:00,23.75,92.23,22.45
320,08/31/2022 09:30:00,25.40,83.99,22.53
321,08/31/2022 10:00:00,26.22,80.21,22.57
322,08/31/2022 10:30:00,27.97,73.82,22.89
323,08/31/2022 11:00:00,29.27,66.44,22.39
324,08/31/2022 11:30:00,30.25,61.70,22.11
325,08/31/2022 12:00:00,30.41,61.10,22.10
326,08/31/2022 12:30:00,30.53,56.58,20.95
327,08/31/2022 13:00:00,28.79,63.37,21.17
328,08/31/2022 13:30:00,31.31,51.54,20.16
329,08/31/2022 14:00:00,32.35,45.72,19.17
330,08/31/2022 14:30:00,32.50,41.09,17.60
331,08/31/2022 15:00:00,33.43,36.49,16.55
332,08/31/2022 15:30:00,32.93,42.12,18.38
333,08/31/2022 16:00:00,32.75,35.63,15.58
334,08/31/2022 16:30:00,32.55,38.08,16.44
335,08/31/2022 17:00:00,32.74,33.00,14.37
336,08/31/2022 17:30:00,32.30,33.80,14.36
337,08/31/2022 18:00:00,32.58,36.90,15.97
338,08/31/2022 18:30:00,32.24,33.35,14.10
339,08/31/2022 19:00:00,30.31,38.96,14.81
340,08/31/2022 19:30:00,27.40,52.94,16.98
341,08/31/2022 20:00:00,25.95,58.98,17.34
342,08/31/2022 20:30:00,25.05,60.75,16.96
343,08/31/2022 21:00:00,24.21,62.95,16.73
344,08/31/2022 21:30:00,23.62,64.47,16.55
345,08/31/2022 22:00:00,23.49,64.86,16.51
346,08/31/2022 22:30:00,22.87,66.94,16.43
347,08/31/2022 23:00:00,22.63,68.70,16.60
348,08/31/2022 23:30:00,22.05,72.39,16.87
349,09/01/2022 00:00:00,21.74,72.71,16.64
350,09/01/2022 00:30:00,21.48,75.03,16.89
351,09/01/2022 01:00:00,21.14,77.28,17.02
352,09/01/2022 01:30:00,20.69,79.87,17.11
353,09/01/2022 02:00:00,20.73,79.78,17.13
354,09/01/2022 02:30:00,20.50,81.29,17.21
355,09/01/2022 03:00:00,20.34,81.94,17.18
356,09/01/2022 03:30:00,20.06,84.25,17.35
357,09/01/2022 04:00:00,19.87,85.15,17.33
358,09/01/2022 04:30:00,19.72,86.83,17.49
359,09/01/2022 05:00:00,19.61,86.90,17.39
360,09/01/2022 05:30:00,19.24,90.04,17.59
361,09/01/2022 06:00:00,19.27,88.39,17.32
362,09/01/2022 06:30:00,19.16,88.38,17.22
363,09/01/2022 07:00:00,19.22,88.47,17.29
364,09/01/2022 07:30:00,19.05,89.65,17.33
365,09/01/2022 08:00:00,20.29,84.83,17.68
366,09/01/2022 08:30:00,21.64,79.38,17.94
367,09/01/2022 09:00:00,23.84,71.33,18.36
368,09/01/2022 09:30:00,26.61,62.50,18.88
369,09/01/2022 10:00:00,27.61,59.65,19.08
370,09/01/2022 10:30:00,28.91,57.20,19.62
371,09/01/2022 11:00:00,29.91,55.92,20.18
372,09/01/2022 11:30:00,30.62,53.07,19.99
373,09/01/2022 12:00:00,31.48,50.77,20.06
374,09/01/2022 12:30:00,31.97,50.64,20.47
375,09/01/2022 13:00:00,32.52,46.76,19.68
376,09/01/2022 13:30:00,33.01,45.55,19.71
377,09/01/2022 14:00:00,33.48,44.97,19.93
378,09/01/2022 14:30:00,33.53,45.86,20.29
379,09/01/2022 15:00:00,34.70,41.16,19.59
380,09/01/2022 15:30:00,34.48,39.23,18.62
381,09/01/2022 16:00:00,34.48,41.32,19.45
382,09/01/2022 16:30:00,34.74,39.62,19.01
383,09/01/2022 17:00:00,32.60,44.17,18.84
384,09/01/2022 17:30:00,33.36,45.87,20.14
385,09/01/2022 18:00:00,33.53,45.67,20.23
386,09/01/2022 18:30:00,32.27,48.47,20.04
387,09/01/2022 19:00:00,30.20,56.01,20.47
388,09/01/2022 19:30:00,29.50,59.19,20.72
389,09/01/2022 20:00:00,28.06,68.00,21.63
390,09/01/2022 20:30:00,27.34,72.24,21.92
391,09/01/2022 21:00:00,26.78,73.28,21.62
392,09/01/2022 21:30:00,26.45,73.51,21.35
393,09/01/2022 22:00:00,25.92,77.40,21.69
394,09/01/2022 22:30:00,25.34,81.06,21.88
395,09/01/2022 23:00:00,24.92,84.18,22.09
396,09/01/2022 23:30:00,24.73,85.70,22.20
