#,Date-Time (EST/EDT),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C)
1,08/26/2022 00:00:00,21.88,95.62,21.17
2,08/26/2022 00:30:00,21.77,96.44,21.21
3,08/26/2022 01:00:00,21.76,96.35,21.18
4,08/26/2022 01:30:00,21.60,96.74,21.09
5,08/26/2022 02:00:00,21.48,96.83,20.98
6,08/26/2022 02:30:00,21.45,97.49,21.06
7,08/26/2022 03:00:00,21.65,97.37,21.24
8,08/26/2022 03:30:00,21.79,97.21,21.36
9,08/26/2022 04:00:00,21.93,97.25,21.50
10,08/26/2022 04:30:00,22.02,97.51,21.63
11,08/26/2022 05:00:00,21.99,97.16,21.55
12,08/26/2022 05:30:00,21.97,97.29,21.55
13,08/26/2022 06:00:00,21.91,98.19,21.64
14,08/26/2022 06:30:00,21.78,98.59,21.58
15,08/26/2022 07:00:00,21.79,98.55,21.58
16,08/26/2022 07:30:00,21.79,99.32,21.71
17,08/26/2022 08:00:00,21.89,98.76,21.71
18,08/26/2022 08:30:00,22.26,98.61,22.06
19,08/26/2022 09:00:00,22.52,97.98,22.21
20,08/26/2022 09:30:00,23.25,95.72,22.56
21,08/26/2022 10:00:00,23.74,94.77,22.88
22,08/26/2022 10:30:00,23.96,91.86,22.58
23,08/26/2022 11:00:00,24.85,86.20,22.41
24,08/26/2022 11:30:00,25.59,83.56,22.62
25,08/26/2022 12:00:00,26.39,75.11,21.65
26,08/26/2022 12:30:00,25.65,80.17,22.01
27,08/26/2022 13:00:00,26.96,70.37,21.13
28,08/26/2022 13:30:00,26.87,76.96,22.52
29,08/26/2022 14:00:00,28.02,68.65,21.74
30,08/26/2022 14:30:00,28.23,65.29,21.12
31,08/26/2022 15:00:00,27.80,67.00,21.13
32,08/26/2022 15:30:00,28.49,65.38,21.39
33,08/26/2022 16:00:00,28.31,61.90,20.33
34,08/26/2022 16:30:00,28.64,61.22,20.47
35,08/26/2022 17:00:00,29.21,59.59,20.56
36,08/26/2022 17:30:00,28.64,64.65,21.35
37,08/26/2022 18:00:00,28.20,64.36,20.86
38,08/26/2022 18:30:00,27.35,70.65,21.57
39,08/26/2022 19:00:00,27.75,68.65,21.49
40,08/26/2022 19:30:00,27.12,73.83,22.08
41,08/26/2022 20:00:00,26.64,76.19,22.13
42,08/26/2022 20:30:00,26.04,77.80,21.89
43,08/26/2022 21:00:00,25.57,79.46,21.77
44,08/26/2022 21:30:00,25.97,80.07,22.30
45,08/26/2022 22:00:00,25.91,81.54,22.53
46,08/26/2022 22:30:00,25.72,82.92,22.62
47,08/26/2022 23:00:00,25.49,84.29,22.67
48,08/26/2022 23:30:00,25.07,86.80,22.75
49,08/27/2022 00:00:00,24.91,88.06,22.83
50,08/27/2022 00:30:00,24.59,89.55,22.79
51,08/27/2022 01:00:00,24.53,89.98,22.80
52,08/27/2022 01:30:00,24.18,91.63,22.76
53,08/27/2022 02:00:00,23.88,92.70,22.66
54,08/27/2022 02:30:00,23.41,94.65,22.53
55,08/27/2022 03:00:00,23.14,95.75,22.46
56,08/27/2022 03:30:00,23.00,96.00,22.36
57,08/27/2022 04:00:00,22.84,96.47,22.28
58,08/27/2022 04:30:00,22.77,96.57,22.22
59,08/27/2022 05:00:00,22.58,97.06,22.12
60,08/27/2022 05:30:00,22.50,97.42,22.10
61,08/27/2022 06:00:00,22.58,97.29,22.16
62,08/27/2022 06:30:00,22.46,97.38,22.05
63,08/27/2022 07:00:00,22.27,97.60,21.91
64,08/27/2022 07:30:00,22.58,96.52,22.03
65,08/27/2022 08:00:00,22.63,97.35,22.22
66,08/27/2022 08:30:00,23.83,93.24,22.70
67,08/27/2022 09:00:00,24.26,91.91,22.89
68,08/27/2022 09:30:00,24.71,91.42,23.25
69,08/27/2022 10:00:00,25.91,84.44,23.11
70,08/27/2022 10:30:00,26.33,81.91,23.02
71,08/27/2022 11:00:00,27.02,80.90,23.49
72,08/27/2022 11:30:00,27.58,76.41,23.09
73,08/27/2022 12:00:00,28.40,72.13,22.92
74,08/27/2022 12:30:00,29.27,62.89,21.49
75,08/27/2022 13:00:00,28.01,72.03,22.52
76,08/27/2022 13:30:00,28.63,68.78,22.36
77,08/27/2022 14:00:00,28.18,67.96,21.73
78,08/27/2022 14:30:00,28.93,68.72,22.63
79,08/27/2022 15:00:00,29.79,64.39,22.37
80,08/27/2022 15:30:00,29.97,60.21,21.44
81,08/27/2022 16:00:00,30.27,60.19,21.72
82,08/27/2022 16:30:00,30.86,56.79,21.32
83,08/27/2022 17:00:00,30.54,56.14,20.83
84,08/27/2022 17:30:00,29.70,63.70,22.10
85,08/27/2022 18:00:00,29.08,66.44,22.22
86,08/27/2022 18:30:00,28.10,72.71,22.76
87,08/27/2022 19:00:00,27.78,75.71,23.12
88,08/27/2022 19:30:00,27.56,79.07,23.63
89,08/27/2022 20:00:00,25.61,84.82,22.89
90,08/27/2022 20:30:00,24.86,86.36,22.45
91,08/27/2022 21:00:00,25.23,83.96,22.36
92,08/27/2022 21:30:00,24.58,81.56,21.24
93,08/27/2022 22:00:00,23.52,89.86,21.79
94,08/27/2022 22:30:00,24.04,90.07,22.34
95,08/27/2022 23:00:00,24.18,90.89,22.63
96,08/27/2022 23:30:00,23.68,92.23,22.37
97,08/28/2022 00:00:00,23.71,93.49,22.63
98,08/28/2022 00:30:00,24.28,88.52,22.29
99,08/28/2022 01:00:00,23.65,88.19,21.60
100,08/28/2022 01:30:00,23.27,89.63,21.50
101,08/28/2022 02:00:00,23.11,90.08,21.42
102,08/28/2022 02:30:00,22.99,90.79,21.43
103,08/28/2022 03:00:00,22.84,91.66,21.44
104,08/28/2022 03:30:00,22.54,93.28,21.43
105,08/28/2022 04:00:00,22.28,94.45,21.38
106,08/28/2022 04:30:00,22.11,94.97,21.30
107,08/28/2022 05:00:00,21.96,95.22,21.19
108,08/28/2022 05:30:00,21.82,95.70,21.13
109,08/28/2022 06:00:00,21.69,95.98,21.05
110,08/28/2022 06:30:00,21.57,95.99,20.93
111,08/28/2022 07:00:00,21.59,95.72,20.90
112,08/28/2022 07:30:00,21.45,96.34,20.87
113,08/28/2022 08:00:00,22.32,94.16,21.36
114,08/28/2022 08:30:00,23.25,91.92,21.89
115,08/28/2022 09:00:00,24.54,87.94,22.43
116,08/28/2022 09:30:00,25.07,87.18,22.82
117,08/28/2022 10:00:00,25.42,86.36,23.00
118,08/28/2022 10:30:00,26.28,83.51,23.30
119,08/28/2022 11:00:00,26.30,81.99,23.00
120,08/28/2022 11:30:00,26.69,79.40,22.86
121,08/28/2022 12:00:00,28.14,71.22,22.46
122,08/28/2022 12:30:00,28.56,66.24,21.67
123,08/28/2022 13:00:00,28.47,67.03,21.78
124,08/28/2022 13:30:00,29.44,61.89,21.39
125,08/28/2022 14:00:00,29.49,60.35,21.03
126,08/28/2022 14:30:00,29.67,59.63,21.00
127,08/28/2022 15:00:00,30.21,54.25,19.97
128,08/28/2022 15:30:00,30.19,52.06,19.28
129,08/28/2022 16:00:00,30.33,52.78,19.63
130,08/28/2022 16:30:00,30.56,52.79,19.85
131,08/28/2022 17:00:00,29.78,56.55,20.24
132,08/28/2022 17:30:00,30.38,54.87,20.31
133,08/28/2022 18:00:00,30.09,56.43,20.50
134,08/28/2022 18:30:00,29.83,57.77,20.64
135,08/28/2022 19:00:00,29.62,59.30,20.86
136,08/28/2022 19:30:00,29.12,60.86,20.81
137,08/28/2022 20:00:00,28.00,66.92,21.31
138,08/28/2022 20:30:00,27.55,68.05,21.15
139,08/28/2022 21:00:00,27.06,70.00,21.14
140,08/28/2022 21:30:00,26.12,74.21,21.20
141,08/28/2022 22:00:00,25.67,76.49,21.26
142,08/28/2022 22:30:00,24.82,81.76,21.51
143,08/28/2022 23:00:00,24.25,85.14,21.62
144,08/28/2022 23:30:00,23.86,86.10,21.42
145,08/29/2022 00:00:00,23.53,87.53,21.36
146,08/29/2022 00:30:00,23.26,89.16,21.40
147,08/29/2022 01:00:00,23.07,90.71,21.49
148,08/29/2022 01:30:00,23.50,87.97,21.42
149,08/29/2022 02:00:00,23.53,87.20,21.30
150,08/29/2022 02:30:00,23.14,88.47,21.16
151,08/29/2022 03:00:00,22.75,90.73,21.18
152,08/29/2022 03:30:00,22.43,91.98,21.09
153,08/29/2022 04:00:00,22.38,91.07,20.88
154,08/29/2022 04:30:00,22.33,90.91,20.80
155,08/29/2022 05:00:00,22.16,91.34,20.70
156,08/29/2022 05:30:00,21.82,94.04,20.85
157,08/29/2022 06:00:00,21.48,95.16,20.70
158,08/29/2022 06:30:00,21.35,96.09,20.73
159,08/29/2022 07:00:00,21.50,95.43,20.77
160,08/29/2022 07:30:00,21.34,95.89,20.68
161,08/29/2022 08:00:00,22.25,93.51,21.18
162,08/29/2022 08:30:00,22.78,91.96,21.43
163,08/29/2022 09:00:00,23.73,89.77,21.98
164,08/29/2022 09:30:00,25.06,84.68,22.33
165,08/29/2022 10:00:00,25.72,83.12,22.66
166,08/29/2022 10:30:00,26.36,77.79,22.20
167,08/29/2022 11:00:00,26.50,74.87,21.70
168,08/29/2022 11:30:00,27.54,71.26,21.89
169,08/29/2022 12:00:00,27.86,69.03,21.68
170,08/29/2022 12:30:00,27.76,68.10,21.37
171,08/29/2022 13:00:00,28.02,65.20,20.90
172,08/29/2022 13:30:00,28.93,62.33,21.03
173,08/29/2022 14:00:00,29.43,59.70,20.79
174,08/29/2022 14:30:00,29.87,59.56,21.17
175,08/29/2022 15:00:00,29.54,58.94,20.69
176,08/29/2022 15:30:00,30.04,56.92,20.59
177,08/29/2022 16:00:00,29.57,61.34,21.36
178,08/29/2022 16:30:00,30.32,55.39,20.40
179,08/29/2022 17:00:00,30.24,54.97,20.21
180,08/29/2022 17:30:00,29.79,57.37,20.48
181,08/29/2022 18:00:00,29.18,61.22,20.97
182,08/29/2022 18:30:00,30.23,57.35,20.89
183,08/29/2022 19:00:00,28.84,62.44,20.97
184,08/29/2022 19:30:00,28.69,63.43,21.08
185,08/29/2022 20:00:00,28.35,64.62,21.07
186,08/29/2022 20:30:00,27.06,72.74,21.77
187,08/29/2022 21:00:00,26.47,74.99,21.70
188,08/29/2022 21:30:00,26.81,75.16,22.07
189,08/29/2022 22:00:00,26.26,76.44,21.82
190,08/29/2022 22:30:00,25.61,80.46,22.02
191,08/29/2022 23:00:00,25.08,83.42,22.10
192,08/29/2022 23:30:00,24.35,87.15,22.11
193,08/30/2022 00:00:00,23.96,89.34,22.12
194,08/30/2022 00:30:00,23.83,90.06,22.13
195,08/30/2022 01:00:00,24.30,87.22,22.07
196,08/30/2022 01:30:00,23.91,89.71,22.15
197,08/30/2022 02:00:00,23.65,90.58,22.04
198,08/30/2022 02:30:00,23.37,91.31,21.90
199,08/30/2022 03:00:00,23.15,92.31,21.86
200,08/30/2022 03:30:00,23.10,92.33,21.82
201,08/30/2022 04:00:00,22.97,92.44,21.71
202,08/30/2022 04:30:00,22.95,91.65,21.55
203,08/30/2022 05:00:00,22.83,91.87,21.47
204,08/30/2022 05:30:00,22.53,92.64,21.31
205,08/30/2022 06:00:00,22.57,92.66,21.35
206,08/30/2022 06:30:00,22.22,94.25,21.28
207,08/30/2022 07:00:00,22.23,94.25,21.29
208,08/30/2022 07:30:00,22.51,93.04,21.36
209,08/30/2022 08:00:00,22.87,91.20,21.39
210,08/30/2022 08:30:00,22.90,90.97,21.37
211,08/30/2022 09:00:00,22.94,90.95,21.41
212,08/30/2022 09:30:00,23.32,89.73,21.57
213,08/30/2022 10:00:00,24.42,84.12,21.59
214,08/30/2022 10:30:00,25.45,79.95,21.76
215,08/30/2022 11:00:00,26.10,78.71,22.14
216,08/30/2022 11:30:00,26.87,74.71,22.03
217,08/30/2022 12:00:00,28.10,70.79,22.32
218,08/30/2022 12:30:00,28.47,69.91,22.47
219,08/30/2022 13:00:00,28.44,72.53,23.05
220,08/30/2022 13:30:00,29.49,64.97,22.24
221,08/30/2022 14:00:00,30.18,59.16,21.35
222,08/30/2022 14:30:00,30.82,59.55,22.06
223,08/30/2022 15:00:00,30.50,60.08,21.90
224,08/30/2022 15:30:00,28.09,72.80,22.77
225,08/30/2022 16:00:00,26.89,80.53,23.28
226,08/30/2022 16:30:00,23.56,94.10,22.58
227,08/30/2022 17:00:00,22.60,96.37,22.02
228,08/30/2022 17:30:00,22.37,97.04,21.91
229,08/30/2022 18:00:00,22.51,97.72,22.16
230,08/30/2022 18:30:00,22.55,97.99,22.25
231,08/30/2022 19:00:00,22.86,98.30,22.61
232,08/30/2022 19:30:00,22.90,98.34,22.65
233,08/30/2022 20:00:00,22.84,98.60,22.64
234,08/30/2022 20:30:00,22.84,98.40,22.61
235,08/30/2022 21:00:00,22.60,98.75,22.42
236,08/30/2022 21:30:00,22.56,99.22,22.46
237,08/30/2022 22:00:00,22.42,99.26,22.33
238,08/30/2022 22:30:00,22.40,99.34,22.32
239,08/30/2022 23:00:00,22.37,99.49,22.32
240,08/30/2022 23:30:00,22.37,99.54,22.32
241,08/31/2022 00:00:00,22.32,99.74,22.30
242,08/31/2022 00:30:00,22.27,99.82,22.27
243,08/31/2022 01:00:00,22.16,99.78,22.15
244,08/31/2022 01:30:00,22.06,99.79,22.05
245,08/31/2022 02:00:00,22.04,100.00,22.07
246,08/31/2022 02:30:00,22.23,100.00,22.26
247,08/31/2022 03:00:00,22.32,100.00,22.35
248,08/31/2022 03:30:00,22.37,100.00,22.40
249,08/31/2022 04:00:00,22.38,100.00,22.41
250,08/31/2022 04:30:00,22.39,100.00,22.42
251,08/31/2022 05:00:00,22.37,99.90,22.38
252,08/31/2022 05:30:00,22.28,100.00,22.31
253,08/31/2022 06:00:00,22.05,100.00,22.08
254,08/31/2022 06:30:00,21.79,100.00,21.82
255,08/31/2022 07:00:00,21.64,99.98,21.67
256,08/31/2022 07:30:00,21.54,100.00,21.57
257,08/31/2022 08:00:00,21.75,100.00,21.78
258,08/31/2022 08:30:00,22.26,99.48,22.21
259,08/31/2022 09:00:00,22.84,97.19,22.40
260,08/31/2022 09:30:00,23.41,93.38,22.31
261,08/31/2022 10:00:00,23.98,92.12,22.65
262,08/31/2022 10:30:00,25.02,84.83,22.32
263,08/31/2022 11:00:00,25.79,79.55,22.01
264,08/31/2022 11:30:00,26.52,75.66,21.90
265,08/31/2022 12:00:00,27.12,73.48,22.00
266,08/31/2022 12:30:00,27.87,71.60,22.29
267,08/31/2022 13:00:00,27.23,75.97,22.65
268,08/31/2022 13:30:00,28.59,61.59,20.51
269,08/31/2022 14:00:00,28.90,58.23,19.89
270,08/31/2022 14:30:00,29.70,51.79,18.74
271,08/31/2022 15:00:00,30.10,46.08,17.26
272,08/31/2022 15:30:00,30.20,44.29,16.72
273,08/31/2022 16:00:00,29.70,44.23,16.24
274,08/31/2022 16:30:00,29.56,42.67,15.55
275,08/31/2022 17:00:00,28.88,40.85,14.27
276,08/31/2022 17:30:00,29.17,43.87,15.64
277,08/31/2022 18:00:00,28.49,41.94,14.33
278,08/31/2022 18:30:00,28.05,46.29,15.47
279,08/31/2022 19:00:00,27.31,48.18,15.42
280,08/31/2022 19:30:00,26.08,57.32,17.01
281,08/31/2022 20:00:00,25.08,62.61,17.47
282,08/31/2022 20:30:00,24.04,64.13,16.86
283,08/31/2022 21:00:00,23.21,68.71,17.16
284,08/31/2022 21:30:00,22.68,72.40,17.48
285,08/31/2022 22:00:00,22.16,72.23,16.94
286,08/31/2022 22:30:00,21.74,74.20,16.96
287,08/31/2022 23:00:00,21.19,78.68,17.36
288,08/31/2022 23:30:00,20.86,80.58,17.42
289,09/01/2022 00:00:00,20.65,80.98,17.30
290,09/01/2022 00:30:00,20.48,83.59,17.63
291,09/01/2022 01:00:00,20.04,86.43,17.73
292,09/01/2022 01:30:00,19.90,86.47,17.60
293,09/01/2022 02:00:00,19.76,87.30,17.61
294,09/01/2022 02:30:00,19.45,89.08,17.63
295,09/01/2022 03:00:00,19.25,91.02,17.77
296,09/01/2022 03:30:00,19.00,91.53,17.61
297,09/01/2022 04:00:00,18.94,92.81,17.77
298,09/01/2022 04:30:00,18.76,93.37,17.69
299,09/01/2022 05:00:00,18.68,93.43,17.62
300,09/01/2022 05:30:00,18.40,94.48,17.52
301,09/01/2022 06:00:00,18.47,93.82,17.47
302,09/01/2022 06:30:00,18.36,94.18,17.43
303,09/01/2022 07:00:00,18.25,94.91,17.44
304,09/01/2022 07:30:00,18.36,95.42,17.64
305,09/01/2022 08:00:00,18.96,93.11,17.84
306,09/01/2022 08:30:00,20.01,89.33,18.22
307,09/01/2022 09:00:00,22.08,80.99,18.69
308,09/01/2022 09:30:00,24.45,72.05,19.11
309,09/01/2022 10:00:00,25.15,68.65,19.00
310,09/01/2022 10:30:00,26.38,65.03,19.30
311,09/01/2022 11:00:00,27.40,63.61,19.91
312,09/01/2022 11:30:00,28.05,62.08,20.14
313,09/01/2022 12:00:00,28.93,59.60,20.30
314,09/01/2022 12:30:00,29.23,58.86,20.38
315,09/01/2022 13:00:00,29.79,56.14,20.13
