Date,Temperature,RH,Dew_point
05/24/2023 14:35:26,25.81,40.47,11.38
05/24/2023 14:45:26,25.76,37.76,10.29
05/24/2023 14:55:26,25.92,37.21,10.21
05/24/2023 15:05:26,26.21,38.63,11.03
05/24/2023 15:15:26,26.13,38.38,10.87
05/24/2023 15:25:26,26.84,36.58,10.78
05/24/2023 15:35:26,26.19,36.07,9.99
05/24/2023 15:45:26,27.36,34.70,10.44
05/24/2023 15:55:26,26.66,36.21,10.46
05/24/2023 16:05:26,26.79,36.25,10.59
05/24/2023 16:15:26,26.54,35.39,10.01
05/24/2023 16:25:26,26.52,36.64,10.51
05/24/2023 16:35:26,27.04,35.71,10.58
05/24/2023 16:45:26,26.92,37.40,11.17
05/24/2023 16:55:26,27.30,34.67,10.37
05/24/2023 17:05:26,26.35,37.24,10.61
05/24/2023 17:15:26,27.24,36.29,11.00
05/24/2023 17:25:26,25.66,41.07,11.47
05/24/2023 17:35:26,27.01,38.05,11.52
05/24/2023 17:45:26,27.06,38.97,11.92
05/24/2023 17:55:26,25.84,40.68,11.49
05/24/2023 18:05:26,25.42,40.63,11.09
05/24/2023 18:15:26,24.63,43.20,11.31
05/24/2023 18:25:26,24.75,44.81,11.97
05/24/2023 18:35:26,25.27,42.54,11.65
05/24/2023 18:45:26,24.91,43.91,11.81
05/24/2023 18:55:26,24.63,44.62,11.80
05/24/2023 19:05:26,24.62,44.18,11.64
05/24/2023 19:15:26,24.71,45.17,12.05
05/24/2023 19:25:26,24.63,44.20,11.65
05/24/2023 19:35:26,24.36,47.46,12.49
05/24/2023 19:45:26,24.00,48.42,12.46
05/24/2023 19:55:26,23.60,48.40,12.10
05/24/2023 20:05:26,23.40,49.58,12.28
05/24/2023 20:15:26,23.22,49.46,12.07
05/24/2023 20:25:26,22.97,51.48,12.45
05/24/2023 20:35:26,22.77,52.13,12.46
05/24/2023 20:45:26,22.63,51.18,12.05
05/24/2023 20:55:26,22.32,53.09,12.32
05/24/2023 21:05:26,22.10,53.84,12.33
05/24/2023 21:15:26,21.79,55.39,12.48
05/24/2023 21:25:26,21.78,55.28,12.44
05/24/2023 21:35:26,21.32,57.57,12.63
05/24/2023 21:45:26,20.95,59.47,12.78
05/24/2023 21:55:26,20.49,62.47,13.10
05/24/2023 22:05:26,20.18,62.53,12.82
05/24/2023 22:15:26,19.72,65.75,13.15
05/24/2023 22:25:26,19.43,66.53,13.06
05/24/2023 22:35:26,18.99,68.76,13.14
05/24/2023 22:45:26,18.73,69.79,13.12
05/24/2023 22:55:26,18.51,70.95,13.16
05/24/2023 23:05:26,18.22,73.07,13.33
05/24/2023 23:15:26,18.06,74.07,13.39
05/24/2023 23:25:26,17.85,75.25,13.43
05/24/2023 23:35:26,17.58,76.24,13.36
05/24/2023 23:45:26,17.48,76.69,13.36
05/24/2023 23:55:26,17.34,77.70,13.42
05/25/2023 00:05:26,17.29,77.91,13.41
05/25/2023 00:15:26,17.29,78.11,13.45
05/25/2023 00:25:26,17.09,78.34,13.31
05/25/2023 00:35:26,16.89,78.44,13.13
05/25/2023 00:45:26,16.70,80.45,13.33
05/25/2023 00:55:26,16.49,79.53,12.96
05/25/2023 01:05:26,16.35,79.35,12.79
05/25/2023 01:15:26,16.20,80.81,12.92
05/25/2023 01:25:26,16.02,82.02,12.97
05/25/2023 01:35:26,15.78,80.59,12.47
05/25/2023 01:45:26,15.67,80.62,12.36
05/25/2023 01:55:26,15.57,78.13,11.79
05/25/2023 02:05:26,15.52,76.27,11.37
05/25/2023 02:15:26,15.48,74.93,11.07
05/25/2023 02:25:26,15.24,77.87,11.42
05/25/2023 02:35:26,15.07,76.93,11.07
05/25/2023 02:45:26,14.95,76.08,10.79
05/25/2023 02:55:26,14.71,77.01,10.74
05/25/2023 03:05:26,14.54,78.42,10.85
05/25/2023 03:15:26,14.41,79.97,11.01
05/25/2023 03:25:26,14.32,80.78,11.07
05/25/2023 03:35:26,14.11,81.18,10.95
05/25/2023 03:45:26,14.06,81.40,10.94
05/25/2023 03:55:26,14.00,82.03,11.00
05/25/2023 04:05:26,13.89,83.11,11.08
05/25/2023 04:15:26,13.81,84.00,11.17
05/25/2023 04:25:26,13.95,83.88,11.28
05/25/2023 04:35:26,13.93,83.78,11.25
05/25/2023 04:45:26,13.78,84.04,11.15
05/25/2023 04:55:26,13.74,83.63,11.03
05/25/2023 05:05:26,13.86,83.78,11.18
05/25/2023 05:15:26,13.76,83.88,11.09
05/25/2023 05:25:26,13.62,84.61,11.09
05/25/2023 05:35:26,13.43,85.56,11.07
05/25/2023 05:45:26,13.27,86.11,11.02
05/25/2023 05:55:26,13.21,86.04,10.94
05/25/2023 06:05:26,13.25,84.06,10.63
05/25/2023 06:15:26,13.44,82.86,10.60
05/25/2023 06:25:26,13.65,78.97,10.08
05/25/2023 06:35:26,13.86,77.63,10.04
05/25/2023 06:45:26,14.03,77.43,10.15
05/25/2023 06:55:26,13.65,78.91,10.07
05/25/2023 07:05:26,13.60,80.42,10.30
05/25/2023 07:15:26,13.86,78.27,10.16
05/25/2023 07:25:26,14.06,78.71,10.43
05/25/2023 07:35:26,14.29,77.01,10.33
05/25/2023 07:45:26,14.91,74.71,10.47
05/25/2023 07:55:26,15.57,68.97,9.91
05/25/2023 08:05:26,16.45,64.76,9.81
05/25/2023 08:15:26,16.73,64.51,10.02
05/25/2023 08:25:26,16.90,65.44,10.40
05/25/2023 08:35:26,17.41,61.39,9.93
05/25/2023 08:45:26,18.08,59.20,10.01
05/25/2023 08:55:26,18.64,56.82,9.92
05/25/2023 09:05:26,19.26,53.67,9.65
05/25/2023 09:15:26,19.54,50.61,9.03
05/25/2023 09:25:26,19.68,52.35,9.67
05/25/2023 09:35:26,19.95,48.96,8.92
05/25/2023 09:45:26,20.26,48.59,9.09
05/25/2023 09:55:26,20.56,46.25,8.63
05/25/2023 10:05:26,20.81,46.65,9.00
05/25/2023 10:15:26,21.16,46.04,9.11
05/25/2023 10:25:26,21.46,45.07,9.07
05/25/2023 10:35:26,21.83,47.10,10.07
05/25/2023 10:45:26,21.99,43.68,9.09
05/25/2023 10:55:26,22.20,43.56,9.23
05/25/2023 11:05:26,22.52,41.77,8.90
05/25/2023 11:15:26,22.50,40.35,8.37
05/25/2023 11:25:26,22.76,39.06,8.12
05/25/2023 11:35:26,22.80,38.51,7.95
