Date,Temperature,RH,Dew_point
05/24/2023 15:24:07,24.19,47.54,12.36
05/24/2023 15:29:07,24.60,41.97,10.84
05/24/2023 15:34:07,24.51,44.60,11.69
05/24/2023 15:39:07,24.53,44.00,11.49
05/24/2023 15:44:07,24.38,44.89,11.66
05/24/2023 15:49:07,24.43,43.77,11.32
05/24/2023 15:54:07,24.56,41.09,10.49
05/24/2023 15:59:07,24.78,44.93,12.04
05/24/2023 16:04:07,24.44,42.34,10.83
05/24/2023 16:09:07,24.28,41.09,10.24
05/24/2023 16:14:07,24.23,45.15,11.61
05/24/2023 16:19:07,24.54,41.96,10.78
05/24/2023 16:24:07,24.55,43.55,11.36
05/24/2023 16:29:07,24.38,41.54,10.49
05/24/2023 16:34:07,24.43,44.31,11.51
05/24/2023 16:39:07,24.34,44.93,11.64
05/24/2023 16:44:07,24.41,44.93,11.70
05/24/2023 16:49:07,24.68,47.57,12.81
05/24/2023 16:54:07,25.27,42.88,11.77
05/24/2023 16:59:07,25.33,41.55,11.35
05/24/2023 17:04:07,24.89,43.01,11.47
05/24/2023 17:09:07,24.98,41.80,11.12
05/24/2023 17:14:07,25.03,41.15,10.93
05/24/2023 17:19:07,25.08,42.35,11.41
05/24/2023 17:24:07,24.51,42.71,11.03
05/24/2023 17:29:07,24.08,43.28,10.84
05/24/2023 17:34:07,23.92,45.84,11.57
05/24/2023 17:39:07,24.32,43.77,11.23
05/24/2023 17:44:07,24.66,44.08,11.64
05/24/2023 17:49:07,24.60,45.98,12.23
05/24/2023 17:54:07,24.23,46.06,11.91
05/24/2023 17:59:07,24.17,47.02,12.18
05/24/2023 18:04:07,24.61,46.54,12.42
05/24/2023 18:09:07,24.42,43.79,11.32
05/24/2023 18:14:07,24.04,46.21,11.79
05/24/2023 18:19:07,23.55,47.87,11.88
05/24/2023 18:24:07,23.31,50.98,12.62
05/24/2023 18:29:07,23.27,50.00,12.29
05/24/2023 18:34:07,23.43,49.18,12.18
05/24/2023 18:39:07,23.56,50.93,12.83
05/24/2023 18:44:07,23.52,52.08,13.13
05/24/2023 18:49:07,23.39,51.25,12.77
05/24/2023 18:54:07,23.38,51.92,12.96
05/24/2023 18:59:07,23.27,54.30,13.55
05/24/2023 19:04:07,23.17,54.44,13.50
05/24/2023 19:09:07,23.13,52.11,12.79
05/24/2023 19:14:07,23.23,52.71,13.05
05/24/2023 19:19:07,23.39,52.16,13.04
05/24/2023 19:24:07,23.49,50.35,12.59
05/24/2023 19:29:07,23.45,51.75,12.98
05/24/2023 19:34:07,23.23,55.21,13.76
05/24/2023 19:39:07,23.09,56.79,14.07
05/24/2023 19:44:07,22.86,55.74,13.57
05/24/2023 19:49:07,22.73,53.01,12.68
05/24/2023 19:54:07,22.62,57.64,13.86
05/24/2023 19:59:07,22.43,57.63,13.69
05/24/2023 20:04:07,22.31,58.18,13.71
05/24/2023 20:09:07,22.21,56.62,13.20
05/24/2023 20:14:07,22.13,56.86,13.20
05/24/2023 20:19:07,22.07,57.01,13.18
05/24/2023 20:24:07,21.97,55.84,12.77
05/24/2023 20:29:07,21.93,55.95,12.76
05/24/2023 20:34:07,21.90,55.87,12.71
05/24/2023 20:39:07,21.80,56.22,12.71
05/24/2023 20:44:07,21.68,56.18,12.59
05/24/2023 20:49:07,21.62,56.68,12.67
05/24/2023 20:54:07,21.49,56.50,12.50
05/24/2023 20:59:07,21.39,57.95,12.79
05/24/2023 21:04:07,21.25,58.93,12.92
05/24/2023 21:09:07,21.17,58.21,12.65
05/24/2023 21:14:07,21.09,57.50,12.40
05/24/2023 21:19:07,21.01,58.06,12.46
05/24/2023 21:24:07,20.96,59.50,12.80
05/24/2023 21:29:07,20.83,59.04,12.55
05/24/2023 21:34:07,20.69,59.21,12.46
05/24/2023 21:39:07,20.55,60.72,12.71
05/24/2023 21:44:07,20.44,60.40,12.53
05/24/2023 21:49:07,20.36,60.76,12.55
05/24/2023 21:54:07,20.26,62.28,12.83
05/24/2023 21:59:07,20.11,62.39,12.71
05/24/2023 22:04:07,19.83,63.23,12.65
05/24/2023 22:09:07,19.60,64.50,12.74
05/24/2023 22:14:07,19.44,65.23,12.77
05/24/2023 22:19:07,19.29,65.85,12.77
05/24/2023 22:24:07,19.16,66.50,12.79
05/24/2023 22:29:07,18.98,69.49,13.29
05/24/2023 22:34:07,18.86,68.95,13.06
05/24/2023 22:39:07,18.74,69.82,13.14
05/24/2023 22:44:07,18.64,72.29,13.57
05/24/2023 22:49:07,18.42,71.35,13.16
05/24/2023 22:54:07,18.29,73.11,13.41
05/24/2023 22:59:07,18.20,72.87,13.27
05/24/2023 23:04:07,18.10,74.03,13.42
05/24/2023 23:09:07,17.95,73.63,13.19
05/24/2023 23:14:07,17.89,75.43,13.50
05/24/2023 23:19:07,17.74,75.63,13.40
05/24/2023 23:24:07,17.64,75.55,13.29
05/24/2023 23:29:07,17.58,77.56,13.63
05/24/2023 23:34:07,17.43,77.05,13.38
05/24/2023 23:39:07,17.38,78.26,13.58
05/24/2023 23:44:07,17.29,77.93,13.42
05/24/2023 23:49:07,17.20,76.99,13.15
05/24/2023 23:54:07,17.15,78.50,13.40
05/24/2023 23:59:07,17.05,79.09,13.42
05/25/2023 00:04:07,17.01,78.88,13.33
05/25/2023 00:09:07,16.94,80.15,13.52
