Date,Temperature,RH,Dew_point
05/24/2023 14:42:41,25.92,40.94,11.65
05/24/2023 14:52:41,26.98,43.12,13.40
05/24/2023 15:02:41,26.45,41.32,12.26
05/24/2023 15:12:41,26.27,39.02,11.24
05/24/2023 15:22:41,26.69,40.86,12.32
05/24/2023 15:32:41,26.42,36.69,10.45
05/24/2023 15:42:41,26.56,36.91,10.66
05/24/2023 15:52:41,26.40,40.58,11.95
05/24/2023 16:02:41,26.40,37.37,10.71
05/24/2023 16:12:41,26.57,36.59,10.54
05/24/2023 16:22:41,26.12,37.57,10.54
05/24/2023 16:32:41,26.49,37.30,10.75
05/24/2023 16:42:41,26.58,42.28,12.74
05/24/2023 16:52:41,27.58,36.00,11.18
05/24/2023 17:02:41,26.90,36.34,10.72
05/24/2023 17:12:41,27.56,38.33,12.12
05/24/2023 17:22:41,25.65,40.46,11.24
05/24/2023 17:32:41,26.34,40.40,11.83
05/24/2023 17:42:41,26.83,45.07,13.94
05/24/2023 17:52:41,26.08,41.35,11.95
05/24/2023 18:02:41,26.79,40.19,12.15
05/24/2023 18:12:41,25.21,41.69,11.30
05/24/2023 18:22:41,25.10,44.43,12.16
05/24/2023 18:32:41,25.56,43.13,12.12
05/24/2023 18:42:41,24.87,45.53,12.32
05/24/2023 18:52:41,24.85,43.93,11.76
05/24/2023 19:02:41,24.85,45.14,12.17
05/24/2023 19:12:41,24.84,44.41,11.91
05/24/2023 19:22:41,24.76,43.97,11.69
05/24/2023 19:32:41,24.55,44.88,11.81
05/24/2023 19:42:41,24.08,47.86,12.36
05/24/2023 19:52:41,23.85,50.39,12.94
05/24/2023 20:02:41,23.51,49.96,12.49
05/24/2023 20:12:41,23.40,50.51,12.56
05/24/2023 20:22:41,23.11,51.85,12.69
05/24/2023 20:32:41,22.94,52.62,12.76
05/24/2023 20:42:41,22.64,52.24,12.37
05/24/2023 20:52:41,22.40,53.03,12.38
05/24/2023 21:02:41,22.20,53.79,12.41
05/24/2023 21:12:41,21.85,54.51,12.29
05/24/2023 21:22:41,21.69,56.67,12.74
05/24/2023 21:32:41,21.40,58.48,12.95
05/24/2023 21:42:41,20.88,59.08,12.61
05/24/2023 21:52:41,20.34,60.62,12.50
05/24/2023 22:02:41,20.02,62.03,12.55
05/24/2023 22:12:41,19.63,65.55,13.02
05/24/2023 22:22:41,19.39,66.78,13.07
05/24/2023 22:32:41,19.11,68.05,13.09
05/24/2023 22:42:41,18.83,69.57,13.17
05/24/2023 22:52:41,18.44,71.01,13.11
05/24/2023 23:02:41,18.26,71.81,13.11
05/24/2023 23:12:41,18.12,73.22,13.27
05/24/2023 23:22:41,17.90,74.12,13.24
05/24/2023 23:32:41,17.67,75.27,13.26
05/24/2023 23:42:41,17.52,75.36,13.13
05/24/2023 23:52:41,17.43,74.96,12.96
05/25/2023 00:02:41,17.37,76.07,13.13
05/25/2023 00:12:41,17.39,74.23,12.78
05/25/2023 00:22:41,17.24,76.23,13.04
05/25/2023 00:32:41,16.99,75.19,12.58
05/25/2023 00:42:41,16.81,77.40,12.86
05/25/2023 00:52:41,16.46,78.05,12.64
05/25/2023 01:02:41,16.51,75.16,12.12
05/25/2023 01:12:41,16.33,77.44,12.40
05/25/2023 01:22:41,16.00,79.57,12.49
05/25/2023 01:32:41,15.91,79.76,12.44
05/25/2023 01:42:41,15.83,78.83,12.18
05/25/2023 01:52:41,15.85,72.91,11.01
05/25/2023 02:02:41,15.99,67.06,9.90
05/25/2023 02:12:41,15.96,68.28,10.13
05/25/2023 02:22:41,15.90,71.73,10.82
05/25/2023 02:32:41,15.41,71.33,10.26
05/25/2023 02:42:41,15.18,73.36,10.47
05/25/2023 02:52:41,15.04,76.27,10.92
05/25/2023 03:02:41,14.78,77.20,10.84
05/25/2023 03:12:41,14.50,79.32,10.98
05/25/2023 03:22:41,14.33,80.06,10.95
05/25/2023 03:32:41,14.24,79.87,10.83
05/25/2023 03:42:41,14.24,80.80,11.00
05/25/2023 03:52:41,14.24,81.73,11.18
05/25/2023 04:02:41,14.40,81.19,11.23
05/25/2023 04:12:41,14.42,80.84,11.19
05/25/2023 04:22:41,14.41,80.43,11.10
05/25/2023 04:32:41,14.28,80.50,10.99
05/25/2023 04:42:41,14.15,80.75,10.91
05/25/2023 04:52:41,14.14,81.56,11.05
05/25/2023 05:02:41,14.03,81.99,11.01
05/25/2023 05:12:41,13.90,82.31,10.95
05/25/2023 05:22:41,13.81,82.49,10.90
05/25/2023 05:32:41,13.61,84.13,10.99
05/25/2023 05:42:41,13.63,83.94,10.98
05/25/2023 05:52:41,13.64,82.19,10.67
05/25/2023 06:02:41,13.94,79.40,10.45
05/25/2023 06:12:41,13.93,79.57,10.47
05/25/2023 06:22:41,14.04,77.32,10.14
05/25/2023 06:32:41,14.04,75.81,9.85
05/25/2023 06:42:41,14.00,76.42,9.94
05/25/2023 06:52:41,13.95,78.56,10.30
05/25/2023 07:02:41,13.84,78.24,10.13
05/25/2023 07:12:41,14.10,75.35,9.82
05/25/2023 07:22:41,14.12,75.44,9.86
05/25/2023 07:32:41,14.48,72.27,9.56
05/25/2023 07:42:41,14.91,71.55,9.83
05/25/2023 07:52:41,15.84,69.47,10.28
05/25/2023 08:02:41,16.76,63.79,9.88
05/25/2023 08:12:41,17.53,62.10,10.21
05/25/2023 08:22:41,18.12,60.02,10.26
05/25/2023 08:32:41,18.79,55.37,9.68
05/25/2023 08:42:41,19.66,53.69,10.02
05/25/2023 08:52:41,19.91,51.48,9.63
05/25/2023 09:02:41,20.40,50.10,9.67
05/25/2023 09:12:41,20.57,48.52,9.35
05/25/2023 09:22:41,20.78,46.15,8.81
05/25/2023 09:32:41,21.18,43.64,8.34
05/25/2023 09:42:41,21.57,43.22,8.55
05/25/2023 09:52:41,21.79,42.80,8.61
05/25/2023 10:02:41,21.90,42.35,8.55
05/25/2023 10:12:41,22.18,43.43,9.17
05/25/2023 10:22:41,22.69,41.98,9.13
05/25/2023 10:32:41,22.83,42.10,9.30
05/25/2023 10:42:41,23.07,41.65,9.35
05/25/2023 10:52:41,23.10,40.46,8.95
05/25/2023 11:02:41,23.56,37.94,8.41
05/25/2023 11:12:41,23.67,36.76,8.04
05/25/2023 11:22:41,23.57,39.50,9.02
05/25/2023 11:32:41,24.15,36.37,8.31
05/25/2023 11:42:41,24.20,37.66,8.87
05/25/2023 11:52:41,24.36,36.09,8.38
05/25/2023 12:02:41,24.84,37.90,9.53
05/25/2023 12:12:41,25.01,42.18,11.29
05/25/2023 12:22:41,24.48,37.16,8.92
05/25/2023 12:32:41,24.87,37.59,9.43
05/25/2023 12:42:41,24.47,36.79,8.76
05/25/2023 12:52:41,25.66,37.32,10.03
05/25/2023 13:02:41,25.27,32.37,7.58
05/25/2023 13:12:41,25.09,31.67,7.11
05/25/2023 13:22:41,26.63,35.25,10.03
05/25/2023 13:32:41,25.52,31.37,7.34
05/25/2023 13:42:41,25.79,29.47,6.66
05/25/2023 13:52:41,26.13,34.06,9.09
05/25/2023 14:02:41,25.40,29.61,6.40
