Date,Temperature,RH,Dew_point
02/14/2023 09:28:42,11.53,61.06,4.29
02/14/2023 09:58:42,15.01,50.65,4.87
02/14/2023 10:28:42,16.42,42.33,3.60
02/14/2023 10:58:42,17.40,40.85,3.98
02/14/2023 11:28:42,18.02,35.51,2.54
02/14/2023 11:58:42,18.18,35.16,2.54
02/14/2023 12:28:42,18.64,35.40,3.05
02/14/2023 12:58:42,19.30,31.12,1.82
02/14/2023 13:28:42,19.59,32.87,2.84
02/14/2023 13:58:42,19.33,32.56,2.48
02/14/2023 14:28:42,19.99,32.00,2.81
02/14/2023 14:58:42,19.96,33.66,3.50
02/14/2023 15:28:42,20.07,30.97,2.43
02/14/2023 15:58:42,20.44,31.67,3.06
02/14/2023 16:28:42,19.88,33.92,3.54
02/14/2023 16:58:42,19.39,34.98,3.54
02/14/2023 17:28:42,19.02,35.50,3.43
02/14/2023 17:58:42,17.49,38.07,3.06
02/14/2023 18:28:42,16.65,39.89,2.97
02/14/2023 18:58:42,16.04,41.33,2.92
02/14/2023 19:28:42,16.29,41.48,3.19
02/14/2023 19:58:42,15.78,41.52,2.75
02/14/2023 20:28:42,14.93,45.21,3.18
02/14/2023 20:58:42,14.35,46.84,3.15
02/14/2023 21:28:42,13.32,50.50,3.27
02/14/2023 21:58:42,12.75,51.94,3.14
02/14/2023 22:28:42,14.21,47.52,3.23
02/14/2023 22:58:42,14.28,47.45,3.27
02/14/2023 23:28:42,13.48,50.13,3.31
02/14/2023 23:58:42,12.76,52.79,3.38
02/15/2023 00:28:42,12.73,54.53,3.81
02/15/2023 00:58:42,12.71,52.11,3.15
02/15/2023 01:28:42,12.32,52.69,2.94
02/15/2023 01:58:42,10.94,59.00,3.25
02/15/2023 02:28:42,11.10,57.22,2.97
02/15/2023 02:58:42,9.79,63.56,3.22
02/15/2023 03:28:42,9.19,68.26,3.66
02/15/2023 03:58:42,9.59,69.76,4.35
02/15/2023 04:28:42,11.37,63.88,4.79
02/15/2023 04:58:42,10.77,69.31,5.38
02/15/2023 05:28:42,11.32,67.92,5.62
02/15/2023 05:58:42,11.63,68.75,6.10
02/15/2023 06:28:42,11.59,69.84,6.29
02/15/2023 06:58:42,11.83,71.46,6.84
02/15/2023 07:28:42,11.72,69.89,6.42
02/15/2023 07:58:42,11.72,71.29,6.71
02/15/2023 08:28:42,11.68,71.92,6.80
02/15/2023 08:58:42,11.68,72.20,6.85
02/15/2023 09:28:42,11.01,79.71,7.65
02/15/2023 09:58:42,10.42,87.65,8.47
02/15/2023 10:28:42,10.19,90.47,8.71
02/15/2023 10:58:42,10.42,92.31,9.24
02/15/2023 11:28:42,10.60,93.26,9.57
02/15/2023 11:58:42,11.12,93.30,10.09
02/15/2023 12:28:42,12.41,90.75,10.95
02/15/2023 12:58:42,13.88,87.20,11.80
