Date,Temperature,RH,Dew_point
05/24/2023 15:09:17,24.60,42.23,10.94
05/24/2023 15:19:17,24.79,40.53,10.49
05/24/2023 15:29:17,25.42,39.99,10.85
05/24/2023 15:39:17,25.27,39.34,10.47
05/24/2023 15:49:17,25.27,38.84,10.28
05/24/2023 15:59:17,25.30,39.47,10.54
05/24/2023 16:09:17,25.00,41.53,11.04
05/24/2023 16:19:17,25.18,38.12,9.92
05/24/2023 16:29:17,24.77,40.94,10.63
05/24/2023 16:39:17,24.85,40.18,10.41
05/24/2023 16:49:17,25.33,41.47,11.32
05/24/2023 16:59:17,25.35,40.09,10.83
05/24/2023 17:09:17,25.24,40.16,10.76
05/24/2023 17:19:17,25.14,40.51,10.79
05/24/2023 17:29:17,24.42,42.50,10.87
05/24/2023 17:39:17,24.87,42.07,11.12
05/24/2023 17:49:17,25.06,44.53,12.16
05/24/2023 17:59:17,24.83,43.92,11.73
05/24/2023 18:09:17,24.70,42.85,11.24
05/24/2023 18:19:17,24.00,48.49,12.49
05/24/2023 18:29:17,23.98,49.47,12.77
05/24/2023 18:39:17,24.10,45.55,11.63
05/24/2023 18:49:17,23.90,48.79,12.49
05/24/2023 18:59:17,24.01,51.43,13.40
05/24/2023 19:09:17,23.68,49.48,12.50
05/24/2023 19:19:17,23.81,48.43,12.29
05/24/2023 19:29:17,23.76,50.52,12.90
05/24/2023 19:39:17,23.62,49.99,12.61
05/24/2023 19:49:17,23.36,51.58,12.84
05/24/2023 19:59:17,23.09,52.74,12.93
05/24/2023 20:09:17,22.80,53.47,12.88
05/24/2023 20:19:17,22.67,53.99,12.90
05/24/2023 20:29:17,22.44,54.68,12.89
05/24/2023 20:39:17,22.31,54.09,12.59
05/24/2023 20:49:17,22.01,55.01,12.57
05/24/2023 20:59:17,21.74,55.99,12.59
05/24/2023 21:09:17,21.62,55.51,12.35
05/24/2023 21:19:17,21.32,59.55,13.14
05/24/2023 21:29:17,21.01,59.71,12.89
05/24/2023 21:39:17,20.72,59.70,12.62
05/24/2023 21:49:17,20.43,61.31,12.75
05/24/2023 21:59:17,20.18,62.88,12.90
05/24/2023 22:09:17,19.83,65.93,13.29
05/24/2023 22:19:17,19.45,65.73,12.89
05/24/2023 22:29:17,19.12,68.84,13.28
05/24/2023 22:39:17,18.74,71.27,13.46
05/24/2023 22:49:17,18.56,70.48,13.11
05/24/2023 22:59:17,18.28,73.42,13.47
05/24/2023 23:09:17,17.99,74.38,13.39
05/24/2023 23:19:17,17.84,75.32,13.44
05/24/2023 23:29:17,17.62,76.66,13.49
05/24/2023 23:39:17,17.45,78.74,13.73
05/24/2023 23:49:17,17.38,78.87,13.70
05/24/2023 23:59:17,17.24,78.49,13.49
05/25/2023 00:09:17,17.07,79.11,13.44
05/25/2023 00:19:17,17.01,79.52,13.46
05/25/2023 00:29:17,16.93,79.90,13.46
05/25/2023 00:39:17,16.80,80.85,13.51
05/25/2023 00:49:17,16.57,81.98,13.50
05/25/2023 00:59:17,16.42,81.23,13.21
05/25/2023 01:09:17,16.21,82.21,13.19
05/25/2023 01:19:17,16.08,81.91,13.01
05/25/2023 01:29:17,15.93,80.46,12.59
05/25/2023 01:39:17,15.71,81.25,12.52
05/25/2023 01:49:17,15.51,82.89,12.63
05/25/2023 01:59:17,15.34,82.71,12.44
05/25/2023 02:09:17,15.27,81.91,12.22
05/25/2023 02:19:17,15.27,81.45,12.13
05/25/2023 02:29:17,15.10,82.14,12.09
05/25/2023 02:39:17,15.00,82.97,12.15
05/25/2023 02:49:17,14.87,83.62,12.14
05/25/2023 02:59:17,14.71,84.41,12.13
05/25/2023 03:09:17,14.50,85.04,12.03
05/25/2023 03:19:17,14.34,85.69,11.99
05/25/2023 03:29:17,14.22,85.44,11.83
05/25/2023 03:39:17,14.11,85.16,11.67
05/25/2023 03:49:17,14.09,85.21,11.66
05/25/2023 03:59:17,13.98,85.79,11.66
05/25/2023 04:09:17,13.97,85.24,11.55
05/25/2023 04:19:17,13.92,85.35,11.52
05/25/2023 04:29:17,13.79,85.47,11.41
05/25/2023 04:39:17,13.76,86.24,11.51
05/25/2023 04:49:17,13.68,86.32,11.45
05/25/2023 04:59:17,13.67,85.87,11.36
05/25/2023 05:09:17,13.68,87.24,11.61
05/25/2023 05:19:17,13.59,86.82,11.45
05/25/2023 05:29:17,13.38,87.92,11.44
05/25/2023 05:39:17,13.27,88.18,11.38
05/25/2023 05:49:17,13.22,89.09,11.48
05/25/2023 05:59:17,13.18,88.86,11.40
05/25/2023 06:09:17,13.07,88.31,11.20
05/25/2023 06:19:17,13.12,88.49,11.28
05/25/2023 06:29:17,13.15,87.12,11.07
05/25/2023 06:39:17,13.21,84.43,10.66
05/25/2023 06:49:17,13.19,86.39,10.98
05/25/2023 06:59:17,13.07,86.97,10.97
05/25/2023 07:09:17,13.00,86.74,10.85
05/25/2023 07:19:17,13.11,86.34,10.90
05/25/2023 07:29:17,13.16,86.67,11.00
05/25/2023 07:39:17,13.34,85.70,11.01
05/25/2023 07:49:17,13.60,85.10,11.16
05/25/2023 07:59:17,13.95,84.76,11.44
05/25/2023 08:09:17,14.47,81.89,11.43
05/25/2023 08:19:17,15.06,78.46,11.35
05/25/2023 08:29:17,15.54,78.37,11.81
05/25/2023 08:39:17,16.11,73.18,11.32
05/25/2023 08:49:17,16.58,70.74,11.26
