Date,Temperature,RH,Dew_point
08/24/2022 18:00:00,23.43,67.47,17.09
08/24/2022 18:30:00,23.13,68.24,16.98
08/24/2022 19:00:00,22.92,68.58,16.85
08/24/2022 19:30:00,22.78,69.51,16.93
08/24/2022 20:00:00,22.78,69.15,16.85
08/24/2022 20:30:00,22.68,69.63,16.87
08/24/2022 21:00:00,22.52,66.17,15.91
08/24/2022 21:30:00,22.07,71.58,16.72
08/24/2022 22:00:00,22.12,71.22,16.69
08/24/2022 22:30:00,22.22,71.73,16.89
08/24/2022 23:00:00,22.32,71.91,17.03
08/24/2022 23:30:00,22.34,71.59,16.98
08/25/2022 00:00:00,22.37,71.82,17.06
08/25/2022 00:30:00,22.37,71.03,16.88
08/25/2022 01:00:00,22.33,71.16,16.87
08/25/2022 01:30:00,22.32,71.02,16.83
08/25/2022 02:00:00,21.87,70.20,16.21
08/25/2022 02:30:00,21.76,72.65,16.65
08/25/2022 03:00:00,21.85,72.96,16.81
08/25/2022 03:30:00,21.97,73.64,17.07
08/25/2022 04:00:00,22.08,74.11,17.27
08/25/2022 04:30:00,22.14,74.24,17.37
08/25/2022 05:00:00,22.18,73.84,17.31
08/25/2022 05:30:00,22.21,73.70,17.31
08/25/2022 06:00:00,22.18,72.76,17.08
08/25/2022 06:30:00,22.13,73.58,17.21
08/25/2022 07:00:00,22.18,73.31,17.20
08/25/2022 07:30:00,21.73,74.09,16.93
08/25/2022 08:00:00,21.70,75.10,17.12
08/25/2022 08:30:00,21.84,74.76,17.19
08/25/2022 09:00:00,21.96,75.09,17.37
08/25/2022 09:30:00,22.10,74.62,17.40
08/25/2022 10:00:00,22.18,74.22,17.39
08/25/2022 10:30:00,22.25,74.27,17.48
08/25/2022 11:00:00,22.36,73.79,17.48
08/25/2022 11:30:00,22.32,67.11,15.94
08/25/2022 12:00:00,21.66,74.42,16.94
08/25/2022 12:30:00,23.14,78.01,19.12
08/25/2022 13:00:00,25.01,70.29,19.24
08/25/2022 13:30:00,25.79,63.93,18.47
08/25/2022 14:00:00,26.33,57.68,17.34
08/25/2022 14:30:00,27.07,63.20,19.49
08/25/2022 15:00:00,28.17,66.46,21.36
08/25/2022 15:30:00,28.29,41.96,14.16
08/25/2022 16:00:00,28.67,53.04,18.18
08/25/2022 16:30:00,27.30,46.06,14.71
08/25/2022 17:00:00,27.32,54.32,17.31
08/25/2022 17:30:00,28.59,56.50,19.12
08/25/2022 18:00:00,27.40,37.15,11.50
08/25/2022 18:30:00,26.06,52.32,15.55
08/25/2022 19:00:00,23.98,82.76,20.89
08/25/2022 19:30:00,23.50,86.89,21.21
08/25/2022 20:00:00,22.98,89.92,21.27
08/25/2022 20:30:00,22.53,93.11,21.39
08/25/2022 21:00:00,22.18,92.86,20.99
08/25/2022 21:30:00,21.96,95.04,21.16
08/25/2022 22:00:00,21.85,95.58,21.14
08/25/2022 22:30:00,21.85,96.03,21.22
08/25/2022 23:00:00,21.78,96.47,21.22
08/25/2022 23:30:00,21.66,96.63,21.13
08/26/2022 00:00:00,21.55,96.75,21.04
08/26/2022 00:30:00,21.42,97.44,21.02
08/26/2022 01:00:00,21.38,97.35,20.97
08/26/2022 01:30:00,21.46,97.52,21.08
08/26/2022 02:00:00,21.20,97.42,20.80
08/26/2022 02:30:00,21.18,98.20,20.91
08/26/2022 03:00:00,21.42,97.69,21.06
08/26/2022 03:30:00,21.51,98.27,21.26
08/26/2022 04:00:00,21.62,98.21,21.35
08/26/2022 04:30:00,21.75,98.06,21.46
08/26/2022 05:00:00,21.77,98.39,21.53
08/26/2022 05:30:00,21.82,98.34,21.58
08/26/2022 06:00:00,21.99,97.13,21.55
08/26/2022 06:30:00,21.76,98.72,21.58
08/26/2022 07:00:00,21.76,98.77,21.59
08/26/2022 07:30:00,21.76,99.27,21.67
08/26/2022 08:00:00,21.87,99.35,21.79
08/26/2022 08:30:00,22.22,99.55,22.18
08/26/2022 09:00:00,22.76,97.38,22.35
08/26/2022 09:30:00,23.10,97.06,22.64
08/26/2022 10:00:00,24.03,89.67,22.26
08/26/2022 10:30:00,24.33,91.31,22.86
08/26/2022 11:00:00,25.03,82.22,21.81
08/26/2022 11:30:00,25.95,78.07,21.86
08/26/2022 12:00:00,25.49,79.31,21.67
08/26/2022 12:30:00,26.98,71.75,21.47
08/26/2022 13:00:00,27.88,65.25,20.78
08/26/2022 13:30:00,27.36,68.64,21.11
08/26/2022 14:00:00,28.94,62.43,21.07
08/26/2022 14:30:00,27.16,72.81,21.89
08/26/2022 15:00:00,29.49,56.55,19.97
08/26/2022 15:30:00,29.92,56.43,20.34
08/26/2022 16:00:00,30.22,55.20,20.26
08/26/2022 16:30:00,31.48,52.49,20.60
08/26/2022 17:00:00,30.51,52.17,19.61
08/26/2022 17:30:00,30.26,52.82,19.59
08/26/2022 18:00:00,30.47,53.48,19.98
08/26/2022 18:30:00,26.83,73.00,21.61
08/26/2022 19:00:00,26.49,78.78,22.53
08/26/2022 19:30:00,25.86,81.02,22.38
08/26/2022 20:00:00,24.85,85.63,22.30
08/26/2022 20:30:00,24.11,88.47,22.11
08/26/2022 21:00:00,23.81,90.28,22.15
08/26/2022 21:30:00,24.28,88.31,22.25
08/26/2022 22:00:00,24.12,90.41,22.48
08/26/2022 22:30:00,24.41,90.61,22.80
08/26/2022 23:00:00,24.04,92.51,22.78
08/26/2022 23:30:00,23.85,93.47,22.76
08/27/2022 00:00:00,23.91,93.97,22.91
08/27/2022 00:30:00,23.60,94.82,22.75
08/27/2022 01:00:00,23.54,95.63,22.83
08/27/2022 01:30:00,23.32,96.29,22.73
08/27/2022 02:00:00,23.16,96.97,22.69
08/27/2022 02:30:00,22.94,97.22,22.50
08/27/2022 03:00:00,22.80,97.48,22.41
08/27/2022 03:30:00,22.70,97.51,22.32
08/27/2022 04:00:00,22.57,97.58,22.20
08/27/2022 04:30:00,22.50,97.79,22.16
08/27/2022 05:00:00,22.34,98.41,22.11
08/27/2022 05:30:00,22.22,98.49,22.00
