Date,Temperature,RH,Dew_point
08/26/2022 00:00:00,22.42,93.16,21.29
08/26/2022 00:30:00,22.17,94.09,21.20
08/26/2022 01:00:00,21.92,94.71,21.06
08/26/2022 01:30:00,21.82,94.87,20.99
08/26/2022 02:00:00,21.60,95.85,20.93
08/26/2022 02:30:00,21.73,95.85,21.06
08/26/2022 03:00:00,22.14,94.98,21.33
08/26/2022 03:30:00,22.36,94.69,21.49
08/26/2022 04:00:00,22.25,95.21,21.48
08/26/2022 04:30:00,22.20,95.66,21.50
08/26/2022 05:00:00,22.60,94.34,21.67
08/26/2022 05:30:00,22.44,94.67,21.58
08/26/2022 06:00:00,22.29,96.18,21.69
08/26/2022 06:30:00,22.07,96.71,21.55
08/26/2022 07:00:00,22.17,96.52,21.61
08/26/2022 07:30:00,22.34,95.87,21.68
08/26/2022 08:00:00,22.42,96.03,21.79
08/26/2022 08:30:00,22.83,96.67,22.30
08/26/2022 09:00:00,23.29,94.33,22.36
08/26/2022 09:30:00,24.44,85.54,21.88
08/26/2022 10:00:00,25.30,86.43,22.90
08/26/2022 10:30:00,25.80,79.54,22.02
08/26/2022 11:00:00,27.16,69.27,21.07
08/26/2022 11:30:00,26.82,73.88,21.80
08/26/2022 12:00:00,26.54,73.50,21.44
08/26/2022 12:30:00,29.32,62.40,21.41
08/26/2022 13:00:00,27.66,67.52,21.12
08/26/2022 13:30:00,29.97,60.37,21.49
08/26/2022 14:00:00,30.23,57.29,20.87
08/26/2022 14:30:00,31.26,54.28,20.95
08/26/2022 15:00:00,30.92,51.70,19.84
08/26/2022 15:30:00,32.01,51.15,20.68
08/26/2022 16:00:00,31.31,52.03,20.31
08/26/2022 16:30:00,31.08,50.60,19.64
08/26/2022 17:00:00,30.39,54.14,20.10
08/26/2022 17:30:00,30.45,54.89,20.38
08/26/2022 18:00:00,29.46,59.66,20.81
08/26/2022 18:30:00,29.72,59.59,21.03
08/26/2022 19:00:00,29.00,62.41,21.11
08/26/2022 19:30:00,28.89,62.83,21.12
08/26/2022 20:00:00,28.11,68.79,21.86
08/26/2022 20:30:00,27.05,73.42,21.91
08/26/2022 21:00:00,25.97,79.24,22.13
08/26/2022 21:30:00,26.16,78.21,22.09
08/26/2022 22:00:00,25.99,80.41,22.39
08/26/2022 22:30:00,26.04,81.18,22.59
08/26/2022 23:00:00,25.48,84.07,22.62
08/26/2022 23:30:00,25.12,86.14,22.66
08/27/2022 00:00:00,24.87,88.07,22.79
08/27/2022 00:30:00,24.79,88.55,22.80
08/27/2022 01:00:00,24.58,89.59,22.78
08/27/2022 01:30:00,24.17,91.34,22.70
08/27/2022 02:00:00,23.90,92.35,22.62
08/27/2022 02:30:00,23.69,93.09,22.53
08/27/2022 03:00:00,23.54,93.47,22.45
08/27/2022 03:30:00,23.45,93.53,22.38
08/27/2022 04:00:00,23.29,93.65,22.24
08/27/2022 04:30:00,23.54,92.41,22.26
08/27/2022 05:00:00,23.14,94.05,22.16
08/27/2022 05:30:00,22.97,95.17,22.18
08/27/2022 06:00:00,22.90,95.08,22.09
08/27/2022 06:30:00,22.61,95.60,21.90
08/27/2022 07:00:00,22.37,95.83,21.70
08/27/2022 07:30:00,22.60,95.06,21.79
08/27/2022 08:00:00,22.91,94.68,22.04
08/27/2022 08:30:00,24.45,89.84,22.70
08/27/2022 09:00:00,24.76,88.46,22.75
08/27/2022 09:30:00,26.10,84.07,23.23
08/27/2022 10:00:00,27.52,78.42,23.45
08/27/2022 10:30:00,28.63,74.28,23.63
08/27/2022 11:00:00,29.09,70.83,23.28
08/27/2022 11:30:00,30.45,63.60,22.79
08/27/2022 12:00:00,29.70,64.19,22.23
08/27/2022 12:30:00,31.49,58.68,22.44
08/27/2022 13:00:00,30.98,57.40,21.60
08/27/2022 13:30:00,29.49,65.21,22.30
08/27/2022 14:00:00,28.60,63.38,20.99
08/27/2022 14:30:00,30.20,61.34,21.96
08/27/2022 15:00:00,31.80,53.84,21.31
