Date,Temperature,RH,Dew_point
08/26/2022 00:00:00,22.46,93.20,21.33
08/26/2022 00:30:00,22.28,93.95,21.29
08/26/2022 01:00:00,22.32,94.23,21.37
08/26/2022 01:30:00,22.27,94.71,21.41
08/26/2022 02:00:00,22.14,94.70,21.28
08/26/2022 02:30:00,22.17,94.54,21.28
08/26/2022 03:00:00,22.33,93.38,21.23
08/26/2022 03:30:00,22.39,93.88,21.39
08/26/2022 04:00:00,22.44,93.68,21.40
08/26/2022 04:30:00,22.57,93.96,21.58
08/26/2022 05:00:00,22.55,92.62,21.32
08/26/2022 05:30:00,22.54,92.87,21.36
08/26/2022 06:00:00,22.27,94.80,21.43
08/26/2022 06:30:00,22.20,96.10,21.58
08/26/2022 07:00:00,22.31,95.27,21.54
08/26/2022 07:30:00,22.31,95.88,21.64
08/26/2022 08:00:00,22.50,95.20,21.72
08/26/2022 08:30:00,22.90,93.50,21.82
08/26/2022 09:00:00,23.46,91.41,22.01
08/26/2022 09:30:00,24.50,87.43,22.31
08/26/2022 10:00:00,24.83,85.43,22.24
08/26/2022 10:30:00,25.82,77.04,21.52
08/26/2022 11:00:00,26.87,72.71,21.59
08/26/2022 11:30:00,27.23,68.88,21.04
08/26/2022 12:00:00,28.45,64.19,21.05
08/26/2022 12:30:00,27.65,67.29,21.06
08/26/2022 13:00:00,28.23,63.92,20.77
08/26/2022 13:30:00,29.87,58.85,20.97
08/26/2022 14:00:00,31.35,52.80,20.58
08/26/2022 14:30:00,29.72,56.48,20.16
08/26/2022 15:00:00,30.16,55.16,20.19
08/26/2022 15:30:00,32.42,49.77,20.61
08/26/2022 16:00:00,32.31,47.38,19.71
08/26/2022 16:30:00,31.96,49.63,20.14
08/26/2022 17:00:00,31.44,49.91,19.75
08/26/2022 17:30:00,30.60,51.69,19.54
08/26/2022 18:00:00,30.22,53.26,19.68
08/26/2022 18:30:00,29.71,56.09,20.04
08/26/2022 19:00:00,29.42,58.92,20.57
08/26/2022 19:30:00,28.88,60.93,20.61
08/26/2022 20:00:00,27.99,68.21,21.61
08/26/2022 20:30:00,27.04,70.36,21.20
08/26/2022 21:00:00,26.58,73.38,21.46
08/26/2022 21:30:00,26.23,77.44,22.00
08/26/2022 22:00:00,25.86,80.83,22.34
08/26/2022 22:30:00,25.76,82.34,22.55
08/26/2022 23:00:00,25.45,84.17,22.61
08/26/2022 23:30:00,24.92,87.05,22.65
08/27/2022 00:00:00,24.95,87.61,22.78
08/27/2022 00:30:00,24.64,89.13,22.76
08/27/2022 01:00:00,24.53,89.81,22.77
08/27/2022 01:30:00,24.27,90.98,22.73
08/27/2022 02:00:00,23.95,92.06,22.61
08/27/2022 02:30:00,23.73,92.50,22.47
08/27/2022 03:00:00,23.66,92.81,22.45
08/27/2022 03:30:00,23.72,91.66,22.31
08/27/2022 04:00:00,23.74,91.46,22.30
08/27/2022 04:30:00,23.71,91.41,22.26
08/27/2022 05:00:00,23.74,91.24,22.26
08/27/2022 05:30:00,23.52,92.74,22.30
08/27/2022 06:00:00,23.14,94.58,22.25
08/27/2022 06:30:00,22.82,95.39,22.07
08/27/2022 07:00:00,22.73,95.62,22.03
08/27/2022 07:30:00,22.92,94.77,22.06
08/27/2022 08:00:00,23.50,93.39,22.40
08/27/2022 08:30:00,23.86,92.20,22.55
08/27/2022 09:00:00,24.03,92.18,22.71
08/27/2022 09:30:00,25.45,86.72,23.10
08/27/2022 10:00:00,27.39,77.23,23.08
08/27/2022 10:30:00,28.15,74.45,23.20
08/27/2022 11:00:00,29.35,69.34,23.18
08/27/2022 11:30:00,29.53,66.26,22.60
08/27/2022 12:00:00,31.51,59.36,22.65
08/27/2022 12:30:00,32.44,55.46,22.39
08/27/2022 13:00:00,30.35,60.01,21.74
08/27/2022 13:30:00,29.62,64.36,22.20
08/27/2022 14:00:00,29.83,59.56,21.13
08/27/2022 14:30:00,31.75,56.65,22.11
08/27/2022 15:00:00,32.48,51.78,21.31
08/27/2022 15:30:00,32.75,50.72,21.22
08/27/2022 16:00:00,33.09,49.23,21.05
08/27/2022 16:30:00,33.01,49.41,21.03
08/27/2022 17:00:00,33.04,50.66,21.46
08/27/2022 17:30:00,31.87,53.45,21.26
08/27/2022 18:00:00,31.22,56.56,21.58
08/27/2022 18:30:00,30.83,58.30,21.72
08/27/2022 19:00:00,30.45,59.23,21.62
08/27/2022 19:30:00,28.82,72.11,23.32
08/27/2022 20:00:00,26.49,78.84,22.54
08/27/2022 20:30:00,26.12,77.07,21.82
08/27/2022 21:00:00,26.97,73.07,21.76
08/27/2022 21:30:00,23.85,86.11,21.41
08/27/2022 22:00:00,24.16,90.84,22.60
08/27/2022 22:30:00,23.96,93.02,22.79
08/27/2022 23:00:00,23.89,92.87,22.70
08/27/2022 23:30:00,23.85,92.54,22.60
08/28/2022 00:00:00,24.28,91.25,22.79
08/28/2022 00:30:00,24.38,89.56,22.58
08/28/2022 01:00:00,23.82,87.21,21.59
08/28/2022 01:30:00,23.54,88.73,21.60
08/28/2022 02:00:00,23.34,90.51,21.72
08/28/2022 02:30:00,22.72,93.30,21.61
08/28/2022 03:00:00,22.98,91.29,21.51
08/28/2022 03:30:00,22.73,93.04,21.58
08/28/2022 04:00:00,22.53,93.70,21.49
08/28/2022 04:30:00,22.60,92.86,21.41
08/28/2022 05:00:00,22.76,91.85,21.39
08/28/2022 05:30:00,22.48,93.08,21.33
08/28/2022 06:00:00,22.34,92.83,21.15
08/28/2022 06:30:00,22.18,92.98,21.01
08/28/2022 07:00:00,21.99,93.86,20.99
08/28/2022 07:30:00,22.28,92.69,21.07
08/28/2022 08:00:00,22.79,91.69,21.39
08/28/2022 08:30:00,23.79,88.63,21.82
08/28/2022 09:00:00,24.62,87.78,22.49
08/28/2022 09:30:00,25.20,85.42,22.61
08/28/2022 10:00:00,26.87,80.91,23.35
08/28/2022 10:30:00,27.20,76.84,22.81
08/28/2022 11:00:00,27.98,74.14,22.97
08/28/2022 11:30:00,27.73,73.25,22.53
08/28/2022 12:00:00,29.62,65.22,22.42
08/28/2022 12:30:00,30.74,57.83,21.50
08/28/2022 13:00:00,30.45,60.11,21.86
08/28/2022 13:30:00,31.95,52.65,21.09
08/28/2022 14:00:00,30.97,53.52,20.45
08/28/2022 14:30:00,32.37,48.63,20.18
08/28/2022 15:00:00,32.31,46.53,19.42
08/28/2022 15:30:00,32.38,45.06,18.96
08/28/2022 16:00:00,32.71,45.73,19.50
08/28/2022 16:30:00,31.92,47.30,19.32
08/28/2022 17:00:00,30.93,52.92,20.23
08/28/2022 17:30:00,31.44,51.01,20.11
08/28/2022 18:00:00,31.59,50.47,20.07
08/28/2022 18:30:00,30.70,54.80,20.59
08/28/2022 19:00:00,30.35,56.66,20.80
08/28/2022 19:30:00,29.50,59.03,20.68
08/28/2022 20:00:00,28.69,62.92,20.95
08/28/2022 20:30:00,27.73,66.39,20.92
08/28/2022 21:00:00,27.27,68.24,20.93
08/28/2022 21:30:00,26.73,70.61,20.97
08/28/2022 22:00:00,25.90,74.37,21.01
08/28/2022 22:30:00,25.78,75.74,21.20
08/28/2022 23:00:00,25.10,79.46,21.33
08/28/2022 23:30:00,24.74,81.04,21.29
08/29/2022 00:00:00,24.48,82.78,21.39
08/29/2022 00:30:00,24.21,84.08,21.38
08/29/2022 01:00:00,24.76,81.46,21.40
08/29/2022 01:30:00,24.71,81.08,21.27
08/29/2022 02:00:00,24.32,82.09,21.10
08/29/2022 02:30:00,24.03,83.07,21.00
08/29/2022 03:00:00,23.96,83.01,20.92
08/29/2022 03:30:00,23.52,85.40,20.95
08/29/2022 04:00:00,23.32,85.24,20.73
08/29/2022 04:30:00,23.18,85.71,20.68
08/29/2022 05:00:00,22.80,87.75,20.69
08/29/2022 05:30:00,22.52,89.29,20.69
08/29/2022 06:00:00,22.51,90.32,20.87
08/29/2022 06:30:00,22.75,89.35,20.93
08/29/2022 07:00:00,22.44,90.58,20.85
08/29/2022 07:30:00,22.62,90.29,20.97
08/29/2022 08:00:00,22.82,89.45,21.02
08/29/2022 08:30:00,23.71,87.13,21.47
08/29/2022 09:00:00,24.29,86.01,21.83
08/29/2022 09:30:00,25.66,80.47,22.08
08/29/2022 10:00:00,27.43,73.09,22.21
08/29/2022 10:30:00,28.21,67.79,21.72
08/29/2022 11:00:00,27.37,70.12,21.47
08/29/2022 11:30:00,28.48,66.43,21.65
08/29/2022 12:00:00,28.73,66.17,21.81
08/29/2022 12:30:00,29.42,59.82,20.81
08/29/2022 13:00:00,30.57,55.99,20.82
08/29/2022 13:30:00,31.25,53.95,20.84
08/29/2022 14:00:00,31.94,53.45,21.32
08/29/2022 14:30:00,32.11,49.42,20.21
08/29/2022 15:00:00,32.42,49.81,20.62
08/29/2022 15:30:00,32.83,48.76,20.65
08/29/2022 16:00:00,31.98,52.31,21.01
08/29/2022 16:30:00,32.64,48.28,20.32
08/29/2022 17:00:00,31.86,48.57,19.70
08/29/2022 17:30:00,31.69,49.11,19.72
08/29/2022 18:00:00,31.15,51.58,20.02
08/29/2022 18:30:00,31.58,51.36,20.35
08/29/2022 19:00:00,31.21,52.06,20.22
08/29/2022 19:30:00,30.35,55.64,20.51
08/29/2022 20:00:00,29.56,59.89,20.96
08/29/2022 20:30:00,29.05,62.68,21.23
08/29/2022 21:00:00,28.27,65.19,21.13
08/29/2022 21:30:00,27.10,73.06,21.88
08/29/2022 22:00:00,26.34,75.65,21.72
08/29/2022 22:30:00,25.82,79.50,22.03
08/29/2022 23:00:00,25.56,80.79,22.04
08/29/2022 23:30:00,25.03,83.47,22.06
08/30/2022 00:00:00,25.24,82.51,22.08
08/30/2022 00:30:00,24.55,85.87,22.05
08/30/2022 01:00:00,24.45,86.09,22.00
08/30/2022 01:30:00,23.90,89.22,22.05
08/30/2022 02:00:00,23.71,89.96,21.99
08/30/2022 02:30:00,23.46,90.63,21.87
08/30/2022 03:00:00,23.32,91.39,21.87
08/30/2022 03:30:00,23.18,91.14,21.69
08/30/2022 04:00:00,23.40,90.52,21.79
08/30/2022 04:30:00,23.15,90.57,21.55
08/30/2022 05:00:00,23.17,89.82,21.44
08/30/2022 05:30:00,22.81,91.25,21.34
08/30/2022 06:00:00,22.57,92.52,21.33
08/30/2022 06:30:00,22.52,92.37,21.25
08/30/2022 07:00:00,22.63,92.40,21.36
08/30/2022 07:30:00,22.55,92.76,21.35
08/30/2022 08:00:00,22.71,91.64,21.31
08/30/2022 08:30:00,23.18,89.71,21.43
08/30/2022 09:00:00,23.53,88.18,21.49
08/30/2022 09:30:00,23.81,86.22,21.39
08/30/2022 10:00:00,25.39,79.76,21.67
08/30/2022 10:30:00,27.22,71.84,21.72
08/30/2022 11:00:00,28.41,68.04,21.96
08/30/2022 11:30:00,28.79,64.25,21.39
08/30/2022 12:00:00,31.33,57.44,21.94
08/30/2022 12:30:00,30.08,61.60,21.92
08/30/2022 13:00:00,31.01,58.98,22.08
