Date,Temperature,RH,Dew_point
08/25/2022 00:00:00,22.41,71.79,17.09
08/25/2022 00:30:00,22.41,71.15,16.95
08/25/2022 01:00:00,22.38,71.11,16.91
08/25/2022 01:30:00,22.40,71.03,16.91
08/25/2022 02:00:00,22.21,68.46,16.15
08/25/2022 02:30:00,22.07,71.50,16.70
08/25/2022 03:00:00,22.04,72.20,16.82
08/25/2022 03:30:00,22.07,73.12,17.05
08/25/2022 04:00:00,22.14,73.80,17.27
08/25/2022 04:30:00,22.19,73.93,17.34
08/25/2022 05:00:00,22.21,73.62,17.29
08/25/2022 05:30:00,22.26,73.58,17.34
08/25/2022 06:00:00,22.24,72.71,17.13
08/25/2022 06:30:00,22.24,73.25,17.25
08/25/2022 07:00:00,22.25,73.20,17.24
08/25/2022 07:30:00,22.12,72.01,16.86
08/25/2022 08:00:00,22.03,73.79,17.15
08/25/2022 08:30:00,22.04,74.05,17.22
08/25/2022 09:00:00,22.05,74.62,17.35
08/25/2022 09:30:00,22.11,74.52,17.39
08/25/2022 10:00:00,22.18,74.20,17.39
08/25/2022 10:30:00,22.24,74.29,17.47
08/25/2022 11:00:00,22.33,74.00,17.49
08/25/2022 11:30:00,22.32,69.01,16.38
08/25/2022 12:00:00,22.04,72.62,16.91
08/25/2022 12:30:00,22.36,80.15,18.79
08/25/2022 13:00:00,24.20,76.37,19.81
08/25/2022 13:30:00,28.47,54.42,18.41
08/25/2022 14:00:00,28.55,52.80,18.00
08/25/2022 14:30:00,29.57,56.45,20.01
08/25/2022 15:00:00,31.19,57.19,21.73
08/25/2022 15:30:00,30.87,35.85,14.02
08/25/2022 16:00:00,26.49,72.99,21.28
08/25/2022 16:30:00,25.75,72.57,20.47
08/25/2022 17:00:00,25.36,73.53,20.31
08/25/2022 17:30:00,25.05,78.24,21.02
08/25/2022 18:00:00,24.76,78.23,20.74
08/25/2022 18:30:00,24.38,76.23,19.95
08/25/2022 19:00:00,24.08,78.61,20.15
08/25/2022 19:30:00,24.19,80.07,20.56
08/25/2022 20:00:00,23.83,82.97,20.79
08/25/2022 20:30:00,23.42,85.09,20.80
08/25/2022 21:00:00,22.92,88.28,20.90
08/25/2022 21:30:00,22.56,90.96,21.04
08/25/2022 22:00:00,22.33,92.18,21.02
08/25/2022 22:30:00,22.25,93.34,21.15
08/25/2022 23:00:00,22.23,93.96,21.24
08/25/2022 23:30:00,22.14,94.37,21.22
08/26/2022 00:00:00,21.98,94.74,21.13
08/26/2022 00:30:00,21.79,95.44,21.06
08/26/2022 01:00:00,21.73,95.42,20.99
08/26/2022 01:30:00,21.68,95.45,20.95
08/26/2022 02:00:00,21.59,95.79,20.91
08/26/2022 02:30:00,21.65,96.15,21.04
08/26/2022 03:00:00,21.97,95.72,21.29
08/26/2022 03:30:00,21.96,96.00,21.32
08/26/2022 04:00:00,21.96,96.21,21.36
08/26/2022 04:30:00,22.06,96.63,21.53
08/26/2022 05:00:00,22.23,95.99,21.59
08/26/2022 05:30:00,22.18,96.09,21.55
08/26/2022 06:00:00,22.07,96.00,21.43
08/26/2022 06:30:00,21.80,97.58,21.43
08/26/2022 07:00:00,21.88,97.55,21.50
08/26/2022 07:30:00,21.91,97.14,21.46
08/26/2022 08:00:00,22.11,96.82,21.61
08/26/2022 08:30:00,22.47,96.34,21.88
08/26/2022 09:00:00,22.87,94.64,22.00
08/26/2022 09:30:00,23.40,92.03,22.06
08/26/2022 10:00:00,23.97,89.21,22.11
08/26/2022 10:30:00,24.68,84.22,21.86
08/26/2022 11:00:00,25.69,78.18,21.63
08/26/2022 11:30:00,25.54,77.19,21.28
08/26/2022 12:00:00,25.65,77.82,21.52
08/26/2022 12:30:00,26.90,71.75,21.39
08/26/2022 13:00:00,26.71,71.43,21.14
08/26/2022 13:30:00,28.20,67.08,21.54
08/26/2022 14:00:00,28.63,62.20,20.71
08/26/2022 14:30:00,29.28,61.94,21.25
08/26/2022 15:00:00,30.01,56.20,20.35
08/26/2022 15:30:00,30.71,53.81,20.30
08/26/2022 16:00:00,29.96,56.01,20.26
08/26/2022 16:30:00,30.27,53.88,19.91
08/26/2022 17:00:00,31.92,51.21,20.61
08/26/2022 17:30:00,29.93,57.30,20.59
08/26/2022 18:00:00,29.08,60.92,20.80
08/26/2022 18:30:00,27.90,66.65,21.15
08/26/2022 19:00:00,27.91,70.46,22.07
08/26/2022 19:30:00,27.89,68.93,21.69
08/26/2022 20:00:00,26.93,70.58,21.15
08/26/2022 20:30:00,26.21,75.67,21.60
08/26/2022 21:00:00,25.65,80.68,22.11
08/26/2022 21:30:00,25.61,79.84,21.89
08/26/2022 22:00:00,25.43,82.46,22.25
08/26/2022 22:30:00,25.45,84.03,22.58
08/26/2022 23:00:00,25.13,85.56,22.56
08/26/2022 23:30:00,24.72,87.79,22.59
08/27/2022 00:00:00,24.54,89.31,22.69
08/27/2022 00:30:00,24.42,89.86,22.68
08/27/2022 01:00:00,24.28,90.96,22.74
08/27/2022 01:30:00,23.92,92.42,22.65
08/27/2022 02:00:00,23.62,93.26,22.50
08/27/2022 02:30:00,23.32,94.99,22.51
08/27/2022 03:00:00,23.24,94.42,22.32
08/27/2022 03:30:00,23.22,94.44,22.30
08/27/2022 04:00:00,23.11,94.30,22.17
08/27/2022 04:30:00,22.88,95.37,22.13
08/27/2022 05:00:00,22.81,95.44,22.07
08/27/2022 05:30:00,22.84,95.40,22.10
08/27/2022 06:00:00,22.69,95.93,22.04
08/27/2022 06:30:00,22.37,96.66,21.84
08/27/2022 07:00:00,22.23,96.66,21.70
08/27/2022 07:30:00,22.14,97.11,21.69
08/27/2022 08:00:00,22.36,96.16,21.75
08/27/2022 08:30:00,23.32,95.09,22.52
08/27/2022 09:00:00,23.70,94.11,22.73
08/27/2022 09:30:00,24.59,90.25,22.92
08/27/2022 10:00:00,25.08,88.09,23.00
08/27/2022 10:30:00,26.32,82.90,23.21
08/27/2022 11:00:00,27.19,79.76,23.41
08/27/2022 11:30:00,28.17,73.45,23.00
08/27/2022 12:00:00,29.09,69.41,22.95
08/27/2022 12:30:00,29.61,66.80,22.81
08/27/2022 13:00:00,29.50,62.79,21.69
08/27/2022 13:30:00,28.31,70.71,22.51
08/27/2022 14:00:00,27.24,70.43,21.42
08/27/2022 14:30:00,29.49,65.64,22.41
08/27/2022 15:00:00,30.68,59.01,21.78
08/27/2022 15:30:00,31.30,51.57,20.16
08/27/2022 16:00:00,31.09,55.79,21.24
08/27/2022 16:30:00,31.81,53.67,21.27
08/27/2022 17:00:00,32.42,53.25,21.71
08/27/2022 17:30:00,31.92,52.76,21.09
08/27/2022 18:00:00,30.74,57.41,21.38
08/27/2022 18:30:00,29.53,64.31,22.11
08/27/2022 19:00:00,29.03,67.02,22.31
08/27/2022 19:30:00,26.30,86.29,23.85
08/27/2022 20:00:00,24.73,91.56,23.29
08/27/2022 20:30:00,24.19,93.63,23.13
08/27/2022 21:00:00,23.92,94.23,22.97
08/27/2022 21:30:00,22.93,92.28,21.64
08/27/2022 22:00:00,22.86,95.89,22.20
08/27/2022 22:30:00,23.11,96.50,22.55
08/27/2022 23:00:00,23.30,96.33,22.72
08/27/2022 23:30:00,23.38,97.24,22.95
08/28/2022 00:00:00,23.27,97.35,22.86
08/28/2022 00:30:00,23.43,96.13,22.81
08/28/2022 01:00:00,23.09,95.47,22.35
08/28/2022 01:30:00,22.66,96.28,22.07
08/28/2022 02:00:00,22.44,96.95,21.97
08/28/2022 02:30:00,22.44,96.14,21.83
08/28/2022 03:00:00,22.28,97.24,21.85
08/28/2022 03:30:00,22.06,97.91,21.74
08/28/2022 04:00:00,22.08,97.55,21.70
08/28/2022 04:30:00,21.90,97.85,21.57
08/28/2022 05:00:00,21.88,97.47,21.49
08/28/2022 05:30:00,21.66,98.09,21.38
08/28/2022 06:00:00,21.58,98.26,21.32
08/28/2022 06:30:00,21.66,97.93,21.35
08/28/2022 07:00:00,21.46,97.95,21.15
08/28/2022 07:30:00,21.47,98.10,21.18
08/28/2022 08:00:00,21.94,97.28,21.52
08/28/2022 08:30:00,22.63,96.68,22.10
08/28/2022 09:00:00,23.70,94.08,22.72
08/28/2022 09:30:00,24.51,91.56,23.08
08/28/2022 10:00:00,25.29,88.77,23.33
08/28/2022 10:30:00,26.04,86.41,23.62
08/28/2022 11:00:00,26.11,83.29,23.08
08/28/2022 11:30:00,26.30,81.72,22.95
08/28/2022 12:00:00,27.83,73.14,22.60
08/28/2022 12:30:00,28.46,70.84,22.68
08/28/2022 13:00:00,29.14,63.52,21.53
08/28/2022 13:30:00,30.22,66.16,23.23
08/28/2022 14:00:00,29.06,64.34,21.67
08/28/2022 14:30:00,28.98,62.31,21.06
08/28/2022 15:00:00,30.86,53.87,20.46
08/28/2022 15:30:00,31.00,50.20,19.45
08/28/2022 16:00:00,31.25,50.13,19.65
08/28/2022 16:30:00,31.09,53.07,20.42
08/28/2022 17:00:00,30.62,55.26,20.65
08/28/2022 17:30:00,31.09,53.25,20.48
08/28/2022 18:00:00,30.46,56.30,20.80
08/28/2022 18:30:00,29.96,57.04,20.55
08/28/2022 19:00:00,29.47,59.83,20.87
08/28/2022 19:30:00,28.71,64.07,21.27
08/28/2022 20:00:00,27.60,67.52,21.07
08/28/2022 20:30:00,26.65,70.90,20.96
08/28/2022 21:00:00,26.10,75.49,21.46
08/28/2022 21:30:00,25.72,75.69,21.13
08/28/2022 22:00:00,25.07,80.09,21.43
08/28/2022 22:30:00,24.75,80.48,21.19
08/28/2022 23:00:00,24.41,83.39,21.44
08/28/2022 23:30:00,24.05,85.30,21.46
08/29/2022 00:00:00,23.83,86.20,21.41
08/29/2022 00:30:00,23.56,87.74,21.44
08/29/2022 01:00:00,23.45,87.98,21.38
08/29/2022 01:30:00,23.42,88.45,21.43
08/29/2022 02:00:00,23.34,88.37,21.33
08/29/2022 02:30:00,22.96,89.54,21.17
08/29/2022 03:00:00,22.69,89.76,20.95
08/29/2022 03:30:00,22.36,90.95,20.84
08/29/2022 04:00:00,22.18,91.61,20.77
08/29/2022 04:30:00,22.01,92.08,20.69
08/29/2022 05:00:00,21.97,92.36,20.70
08/29/2022 05:30:00,21.74,93.25,20.63
08/29/2022 06:00:00,21.54,94.26,20.61
08/29/2022 06:30:00,21.66,94.32,20.74
08/29/2022 07:00:00,21.82,94.43,20.91
08/29/2022 07:30:00,21.67,94.97,20.86
08/29/2022 08:00:00,22.12,93.84,21.11
08/29/2022 08:30:00,22.96,91.40,21.51
08/29/2022 09:00:00,23.97,88.47,21.97
08/29/2022 09:30:00,25.05,85.00,22.38
08/29/2022 10:00:00,25.69,81.06,22.23
08/29/2022 10:30:00,26.87,75.90,22.29
08/29/2022 11:00:00,26.63,75.18,21.90
08/29/2022 11:30:00,27.74,71.94,22.24
08/29/2022 12:00:00,27.80,71.16,22.12
08/29/2022 12:30:00,28.56,66.06,21.62
08/29/2022 13:00:00,28.92,65.19,21.75
08/29/2022 13:30:00,28.63,64.82,21.39
08/29/2022 14:00:00,30.00,59.02,21.14
08/29/2022 14:30:00,29.92,59.27,21.13
08/29/2022 15:00:00,30.08,58.48,21.07
