Date,Temperature,RH,Dew_point
08/25/2022 00:00:00,22.38,72.48,17.21
08/25/2022 00:30:00,22.39,71.68,17.05
08/25/2022 01:00:00,22.32,71.83,17.01
08/25/2022 01:30:00,22.32,71.71,16.98
08/25/2022 02:00:00,22.01,69.93,16.29
08/25/2022 02:30:00,21.87,72.79,16.79
08/25/2022 03:00:00,21.91,73.33,16.94
08/25/2022 03:30:00,22.01,74.02,17.18
08/25/2022 04:00:00,22.12,74.58,17.42
08/25/2022 04:30:00,22.20,74.69,17.51
08/25/2022 05:00:00,22.20,74.28,17.43
08/25/2022 05:30:00,22.23,74.18,17.44
08/25/2022 06:00:00,22.20,73.31,17.22
08/25/2022 06:30:00,22.17,74.03,17.34
08/25/2022 07:00:00,22.22,73.78,17.34
08/25/2022 07:30:00,21.92,73.56,17.00
08/25/2022 08:00:00,21.87,74.99,17.25
08/25/2022 08:30:00,21.95,74.98,17.34
08/25/2022 09:00:00,21.99,75.35,17.46
08/25/2022 09:30:00,22.08,75.04,17.47
08/25/2022 10:00:00,22.18,74.71,17.50
08/25/2022 10:30:00,22.28,74.76,17.61
08/25/2022 11:00:00,22.33,74.42,17.58
08/25/2022 11:30:00,22.34,70.36,16.70
08/25/2022 12:00:00,25.58,74.86,20.81
08/25/2022 12:30:00,27.06,70.50,21.26
08/25/2022 13:00:00,27.81,68.23,21.44
08/25/2022 13:30:00,28.97,60.74,20.64
08/25/2022 14:00:00,26.36,71.94,20.92
08/25/2022 14:30:00,26.36,73.88,21.35
08/25/2022 15:00:00,28.87,63.82,21.36
08/25/2022 15:30:00,29.72,60.61,21.31
08/25/2022 16:00:00,28.86,64.04,21.40
08/25/2022 16:30:00,26.89,71.38,21.29
08/25/2022 17:00:00,27.08,67.52,20.57
08/25/2022 17:30:00,26.06,73.60,21.00
08/25/2022 18:00:00,25.90,74.35,21.01
08/25/2022 18:30:00,25.51,73.03,20.35
08/25/2022 19:00:00,25.34,73.48,20.28
08/25/2022 19:30:00,25.02,76.23,20.57
08/25/2022 20:00:00,24.46,79.43,20.69
08/25/2022 20:30:00,23.75,83.55,20.83
08/25/2022 21:00:00,23.28,87.12,21.04
08/25/2022 21:30:00,22.82,89.84,21.09
08/25/2022 22:00:00,22.65,91.05,21.14
08/25/2022 22:30:00,22.55,92.17,21.24
08/25/2022 23:00:00,22.47,92.45,21.21
08/25/2022 23:30:00,22.60,91.67,21.20
08/26/2022 00:00:00,22.11,93.66,21.07
08/26/2022 00:30:00,21.92,94.11,20.96
08/26/2022 01:00:00,22.01,93.88,21.00
08/26/2022 01:30:00,21.90,94.89,21.07
08/26/2022 02:00:00,21.91,95.02,21.10
08/26/2022 02:30:00,21.95,94.81,21.11
08/26/2022 03:00:00,22.33,94.12,21.36
08/26/2022 03:30:00,22.32,94.21,21.37
08/26/2022 04:00:00,22.38,94.16,21.42
08/26/2022 04:30:00,22.41,94.38,21.49
08/26/2022 05:00:00,22.49,93.77,21.46
08/26/2022 05:30:00,22.65,92.26,21.36
08/26/2022 06:00:00,22.22,94.24,21.28
08/26/2022 06:30:00,22.25,95.15,21.47
08/26/2022 07:00:00,22.18,95.79,21.50
08/26/2022 07:30:00,22.41,94.27,21.48
08/26/2022 08:00:00,22.61,94.88,21.77
08/26/2022 08:30:00,22.86,93.95,21.87
08/26/2022 09:00:00,23.40,91.16,21.90
08/26/2022 09:30:00,24.00,88.11,21.94
08/26/2022 10:00:00,25.07,80.45,21.50
08/26/2022 10:30:00,27.40,71.64,21.85
08/26/2022 11:00:00,27.51,69.43,21.44
08/26/2022 11:30:00,27.50,66.39,20.70
08/26/2022 12:00:00,27.09,67.62,20.61
08/26/2022 12:30:00,28.98,61.54,20.86
08/26/2022 13:00:00,28.41,61.60,20.34
08/26/2022 13:30:00,29.49,58.70,20.58
08/26/2022 14:00:00,30.65,54.70,20.51
08/26/2022 14:30:00,30.16,58.20,21.06
08/26/2022 15:00:00,30.72,54.95,20.65
08/26/2022 15:30:00,33.06,48.97,20.93
08/26/2022 16:00:00,32.13,45.66,18.95
08/26/2022 16:30:00,32.33,47.47,19.76
08/26/2022 17:00:00,32.47,46.84,19.67
08/26/2022 17:30:00,33.74,43.42,19.59
08/26/2022 18:00:00,31.45,50.13,19.84
08/26/2022 18:30:00,30.78,54.69,20.62
08/26/2022 19:00:00,31.83,52.37,20.89
08/26/2022 19:30:00,30.69,55.98,20.92
08/26/2022 20:00:00,28.15,66.27,21.29
08/26/2022 20:30:00,26.67,72.97,21.45
08/26/2022 21:00:00,26.18,77.27,21.91
08/26/2022 21:30:00,25.81,80.36,22.20
08/26/2022 22:00:00,25.71,81.91,22.41
08/26/2022 22:30:00,25.65,82.73,22.52
08/26/2022 23:00:00,25.24,84.87,22.54
08/26/2022 23:30:00,24.90,86.98,22.61
08/27/2022 00:00:00,24.77,88.01,22.68
08/27/2022 00:30:00,24.50,89.31,22.66
08/27/2022 01:00:00,24.24,90.72,22.65
08/27/2022 01:30:00,23.96,91.92,22.59
08/27/2022 02:00:00,23.66,93.09,22.50
08/27/2022 02:30:00,23.69,93.04,22.53
08/27/2022 03:00:00,23.38,94.01,22.39
08/27/2022 03:30:00,23.60,92.07,22.27
08/27/2022 04:00:00,23.42,92.60,22.18
08/27/2022 04:30:00,23.74,90.94,22.20
08/27/2022 05:00:00,23.45,92.28,22.16
08/27/2022 05:30:00,23.25,93.42,22.16
08/27/2022 06:00:00,22.79,94.82,21.94
08/27/2022 06:30:00,22.53,95.67,21.83
08/27/2022 07:00:00,22.29,96.35,21.71
