Date,Moisture,Temperature
05/24/2023 13:43:49,0.353,20.504
05/24/2023 13:44:49,0.351,20.547
05/24/2023 13:45:49,0.353,20.547
05/24/2023 13:46:49,0.350,20.547
05/24/2023 13:47:49,0.350,20.504
05/24/2023 13:48:49,0.350,20.504
05/24/2023 13:49:49,0.351,20.547
05/24/2023 13:50:49,0.352,20.547
05/24/2023 13:51:49,0.351,20.547
05/24/2023 13:52:49,0.352,20.547
05/24/2023 13:53:49,0.354,20.547
05/24/2023 13:54:49,0.354,20.589
05/24/2023 13:55:49,0.354,20.547
05/24/2023 13:56:49,0.350,20.547
05/24/2023 13:57:49,0.351,20.547
05/24/2023 13:58:49,0.351,20.547
05/24/2023 13:59:49,0.350,20.547
05/24/2023 14:00:49,0.352,20.589
05/24/2023 14:01:49,0.353,20.547
05/24/2023 14:02:49,0.351,20.547
05/24/2023 14:03:49,0.351,20.547
05/24/2023 14:04:49,0.352,20.547
05/24/2023 14:05:49,0.350,20.589
05/24/2023 14:06:49,0.351,20.589
05/24/2023 14:07:49,0.354,20.547
05/24/2023 14:08:49,0.351,20.547
05/24/2023 14:09:49,0.351,20.589
05/24/2023 14:10:49,0.350,20.589
05/24/2023 14:11:49,0.351,20.589
05/24/2023 14:12:49,0.351,20.589
05/24/2023 14:13:49,0.351,20.632
05/24/2023 14:14:49,0.351,20.589
05/24/2023 14:15:49,0.351,20.589
05/24/2023 14:16:49,0.351,20.547
05/24/2023 14:17:49,0.350,20.589
05/24/2023 14:18:49,0.353,20.589
05/24/2023 14:19:49,0.351,20.589
05/24/2023 14:20:49,0.353,20.632
05/24/2023 14:21:49,0.353,20.632
05/24/2023 14:22:49,0.351,20.632
05/24/2023 14:23:49,0.352,20.632
05/24/2023 14:24:49,0.351,20.632
05/24/2023 14:25:49,0.353,20.589
05/24/2023 14:26:49,0.351,20.632
05/24/2023 14:27:49,0.350,20.589
05/24/2023 14:28:49,0.351,20.632
05/24/2023 14:29:49,0.351,20.632
05/24/2023 14:30:49,0.351,20.632
05/24/2023 14:31:49,0.351,20.675
05/24/2023 14:32:49,0.351,20.675
05/24/2023 14:33:49,0.351,20.675
05/24/2023 14:34:49,0.354,20.589
05/24/2023 14:35:49,0.350,20.589
05/24/2023 14:36:49,0.351,20.675
05/24/2023 14:37:49,0.350,20.632
05/24/2023 14:38:49,0.353,20.632
05/24/2023 14:39:49,0.352,20.632
05/24/2023 14:40:49,0.352,20.632
05/24/2023 14:41:49,0.349,20.675
05/24/2023 14:42:49,0.351,20.675
05/24/2023 14:43:49,0.352,20.675
05/24/2023 14:44:49,0.351,20.675
05/24/2023 14:45:49,0.350,20.675
05/24/2023 14:46:49,0.353,20.718
05/24/2023 14:47:49,0.351,20.718
05/24/2023 14:48:49,0.350,20.718
05/24/2023 14:49:49,0.348,20.718
05/24/2023 14:50:49,0.354,20.675
05/24/2023 14:51:49,0.351,20.675
05/24/2023 14:52:49,0.353,20.718
05/24/2023 14:53:49,0.350,20.718
05/24/2023 14:54:49,0.351,20.761
05/24/2023 14:55:49,0.350,20.718
05/24/2023 14:56:49,0.352,20.675
05/24/2023 14:57:49,0.351,20.675
05/24/2023 14:58:49,0.350,20.761
05/24/2023 14:59:49,0.350,20.718
05/24/2023 15:00:49,0.353,20.718
05/24/2023 15:01:49,0.350,20.761
05/24/2023 15:02:49,0.350,20.761
05/24/2023 15:03:49,0.354,20.718
05/24/2023 15:04:49,0.350,20.761
05/24/2023 15:05:49,0.351,20.761
05/24/2023 15:06:49,0.354,20.761
05/24/2023 15:07:49,0.352,20.761
05/24/2023 15:08:49,0.352,20.761
05/24/2023 15:09:49,0.353,20.718
05/24/2023 15:10:49,0.352,20.761
05/24/2023 15:11:49,0.351,20.804
05/24/2023 15:12:49,0.350,20.761
05/24/2023 15:13:49,0.349,20.761
05/24/2023 15:14:49,0.351,20.761
05/24/2023 15:15:49,0.351,20.804
05/24/2023 15:16:49,0.349,20.761
05/24/2023 15:17:49,0.354,20.804
05/24/2023 15:18:49,0.354,20.761
05/24/2023 15:19:49,0.351,20.761
05/24/2023 15:20:49,0.351,20.804
05/24/2023 15:21:49,0.351,20.804
05/24/2023 15:22:49,0.353,20.804
05/24/2023 15:23:49,0.351,20.804
05/24/2023 15:24:49,0.353,20.804
05/24/2023 15:25:49,0.351,20.804
05/24/2023 15:26:49,0.354,20.804
05/24/2023 15:27:49,0.351,20.804
05/24/2023 15:28:49,0.354,20.847
05/24/2023 15:29:49,0.351,20.804
05/24/2023 15:30:49,0.353,20.847
05/24/2023 15:31:49,0.353,20.847
05/24/2023 15:32:49,0.351,20.847
05/24/2023 15:33:49,0.352,20.847
05/24/2023 15:34:49,0.350,20.804
05/24/2023 15:35:49,0.351,20.847
05/24/2023 15:36:49,0.351,20.804
05/24/2023 15:37:49,0.351,20.847
05/24/2023 15:38:49,0.353,20.890
05/24/2023 15:39:49,0.351,20.890
05/24/2023 15:40:49,0.354,20.847
05/24/2023 15:41:49,0.352,20.890
05/24/2023 15:42:49,0.351,20.847
05/24/2023 15:43:49,0.353,20.890
05/24/2023 15:44:49,0.351,20.933
05/24/2023 15:45:49,0.351,20.890
05/24/2023 15:46:49,0.354,20.933
05/24/2023 15:47:49,0.352,20.890
05/24/2023 15:48:49,0.350,20.890
05/24/2023 15:49:49,0.350,20.890
05/24/2023 15:50:49,0.353,20.890
05/24/2023 15:51:49,0.350,20.933
05/24/2023 15:52:49,0.351,20.890
05/24/2023 15:53:49,0.354,20.933
05/24/2023 15:54:49,0.352,20.933
05/24/2023 15:55:49,0.351,20.933
05/24/2023 15:56:49,0.350,20.933
05/24/2023 15:57:49,0.351,20.933
05/24/2023 15:58:49,0.353,20.933
05/24/2023 15:59:49,0.353,20.933
05/24/2023 16:00:49,0.350,20.976
05/24/2023 16:01:49,0.351,20.976
05/24/2023 16:02:49,0.350,20.976
05/24/2023 16:03:49,0.350,20.976
05/24/2023 16:04:49,0.353,20.976
05/24/2023 16:05:49,0.352,20.976
05/24/2023 16:06:49,0.351,20.976
