Date,Moisture,Temperature
05/24/2023 14:36:18,0.304,19.388
05/24/2023 14:46:18,0.301,19.388
05/24/2023 14:56:18,0.302,19.431
05/24/2023 15:06:18,0.301,19.474
05/24/2023 15:16:18,0.303,19.517
05/24/2023 15:26:18,0.300,19.560
05/24/2023 15:36:18,0.304,19.646
05/24/2023 15:46:18,0.300,19.689
05/24/2023 15:56:18,0.300,19.731
05/24/2023 16:06:18,0.302,19.860
05/24/2023 16:16:18,0.301,19.903
05/24/2023 16:26:18,0.302,19.989
05/24/2023 16:36:18,0.302,20.032
05/24/2023 16:46:18,0.304,20.160
05/24/2023 16:56:18,0.303,20.203
05/24/2023 17:06:18,0.300,20.332
05/24/2023 17:16:18,0.304,20.375
05/24/2023 17:26:18,0.301,20.418
05/24/2023 17:36:18,0.302,20.504
05/24/2023 17:46:18,0.299,20.589
05/24/2023 17:56:18,0.302,20.632
05/24/2023 18:06:18,0.302,20.718
05/24/2023 18:16:18,0.301,20.804
05/24/2023 18:26:18,0.301,20.890
05/24/2023 18:36:18,0.302,20.890
05/24/2023 18:46:18,0.302,20.933
05/24/2023 18:56:18,0.303,21.018
05/24/2023 19:06:18,0.303,21.061
05/24/2023 19:16:18,0.302,21.061
05/24/2023 19:26:18,0.302,21.147
05/24/2023 19:36:18,0.301,21.190
05/24/2023 19:46:18,0.301,21.233
05/24/2023 19:56:18,0.303,21.276
05/24/2023 20:06:18,0.304,21.276
05/24/2023 20:16:18,0.302,21.276
05/24/2023 20:26:18,0.303,21.319
05/24/2023 20:36:18,0.302,21.319
05/24/2023 20:46:18,0.303,21.319
05/24/2023 20:56:18,0.304,21.362
05/24/2023 21:06:18,0.302,21.362
05/24/2023 21:16:18,0.303,21.319
05/24/2023 21:26:18,0.301,21.362
05/24/2023 21:36:18,0.304,21.405
05/24/2023 21:46:18,0.302,21.362
05/24/2023 21:56:18,0.304,21.405
05/24/2023 22:06:18,0.302,21.405
05/24/2023 22:16:18,0.302,21.362
05/24/2023 22:26:18,0.301,21.405
05/24/2023 22:36:18,0.302,21.362
05/24/2023 22:46:18,0.303,21.362
05/24/2023 22:56:18,0.303,21.319
05/24/2023 23:06:18,0.300,21.319
05/24/2023 23:16:18,0.302,21.319
05/24/2023 23:26:18,0.302,21.319
05/24/2023 23:36:18,0.304,21.319
05/24/2023 23:46:18,0.304,21.233
05/24/2023 23:56:18,0.303,21.276
05/25/2023 00:06:18,0.304,21.276
05/25/2023 00:16:18,0.304,21.233
05/25/2023 00:26:18,0.302,21.276
05/25/2023 00:36:18,0.303,21.233
