Date,Moisture,Temperature
05/24/2023 14:43:33,0.298,21.619
05/24/2023 14:53:33,0.298,21.705
05/24/2023 15:03:33,0.298,21.748
05/24/2023 15:13:33,0.297,21.791
05/24/2023 15:23:33,0.299,21.876
05/24/2023 15:33:33,0.299,21.919
05/24/2023 15:43:33,0.299,22.005
05/24/2023 15:53:33,0.298,22.091
05/24/2023 16:03:33,0.298,22.134
05/24/2023 16:13:33,0.300,22.177
05/24/2023 16:23:33,0.298,22.220
05/24/2023 16:33:33,0.298,22.305
05/24/2023 16:43:33,0.298,22.348
05/24/2023 16:53:33,0.299,22.434
05/24/2023 17:03:33,0.299,22.477
05/24/2023 17:13:33,0.299,22.520
05/24/2023 17:23:33,0.298,22.563
05/24/2023 17:33:33,0.299,22.606
05/24/2023 17:43:33,0.301,22.649
05/24/2023 17:53:33,0.299,22.692
05/24/2023 18:03:33,0.299,22.692
05/24/2023 18:13:33,0.299,22.777
05/24/2023 18:23:33,0.299,22.777
05/24/2023 18:33:33,0.299,22.820
05/24/2023 18:43:33,0.299,22.863
05/24/2023 18:53:33,0.296,22.863
05/24/2023 19:03:33,0.298,22.906
05/24/2023 19:13:33,0.298,22.949
05/24/2023 19:23:33,0.300,22.949
05/24/2023 19:33:33,0.299,22.949
05/24/2023 19:43:33,0.299,22.906
05/24/2023 19:53:33,0.299,22.949
05/24/2023 20:03:33,0.298,22.949
05/24/2023 20:13:33,0.299,22.906
05/24/2023 20:23:33,0.299,22.949
05/24/2023 20:33:33,0.298,22.949
05/24/2023 20:43:33,0.300,22.906
05/24/2023 20:53:33,0.297,22.949
05/24/2023 21:03:33,0.297,22.906
05/24/2023 21:13:33,0.298,22.906
05/24/2023 21:23:33,0.298,22.906
05/24/2023 21:33:33,0.299,22.906
05/24/2023 21:43:33,0.297,22.863
05/24/2023 21:53:33,0.301,22.906
05/24/2023 22:03:33,0.300,22.863
05/24/2023 22:13:33,0.297,22.820
05/24/2023 22:23:33,0.299,22.820
05/24/2023 22:33:33,0.299,22.820
05/24/2023 22:43:33,0.297,22.777
05/24/2023 22:53:33,0.299,22.777
05/24/2023 23:03:33,0.299,22.692
05/24/2023 23:13:33,0.299,22.649
05/24/2023 23:23:33,0.299,22.692
05/24/2023 23:33:33,0.299,22.649
05/24/2023 23:43:33,0.300,22.649
05/24/2023 23:53:33,0.299,22.606
05/25/2023 00:03:33,0.297,22.606
05/25/2023 00:13:33,0.299,22.606
05/25/2023 00:23:33,0.299,22.520
05/25/2023 00:33:33,0.299,22.520
05/25/2023 00:43:33,0.300,22.477
05/25/2023 00:53:33,0.298,22.477
05/25/2023 01:03:33,0.297,22.477
05/25/2023 01:13:33,0.299,22.434
05/25/2023 01:23:33,0.298,22.434
05/25/2023 01:33:33,0.299,22.348
05/25/2023 01:43:33,0.299,22.348
05/25/2023 01:53:33,0.300,22.348
05/25/2023 02:03:33,0.299,22.305
05/25/2023 02:13:33,0.298,22.305
05/25/2023 02:23:33,0.298,22.305
05/25/2023 02:33:33,0.297,22.263
05/25/2023 02:43:33,0.300,22.220
05/25/2023 02:53:33,0.299,22.177
05/25/2023 03:03:33,0.299,22.134
05/25/2023 03:13:33,0.298,22.134
05/25/2023 03:23:33,0.299,22.134
05/25/2023 03:33:33,0.299,22.134
05/25/2023 03:43:33,0.298,22.091
05/25/2023 03:53:33,0.301,22.005
05/25/2023 04:03:33,0.299,22.048
05/25/2023 04:13:33,0.299,22.005
05/25/2023 04:23:33,0.299,22.005
05/25/2023 04:33:33,0.300,21.919
05/25/2023 04:43:33,0.298,21.919
05/25/2023 04:53:33,0.298,21.876
05/25/2023 05:03:33,0.298,21.876
05/25/2023 05:13:33,0.299,21.834
05/25/2023 05:23:33,0.299,21.791
05/25/2023 05:33:33,0.301,21.791
05/25/2023 05:43:33,0.299,21.748
05/25/2023 05:53:33,0.299,21.705
05/25/2023 06:03:33,0.299,21.705
05/25/2023 06:13:33,0.298,21.705
05/25/2023 06:23:33,0.299,21.662
05/25/2023 06:33:33,0.298,21.662
05/25/2023 06:43:33,0.299,21.619
05/25/2023 06:53:33,0.301,21.619
05/25/2023 07:03:33,0.300,21.576
05/25/2023 07:13:33,0.301,21.576
05/25/2023 07:23:33,0.299,21.490
05/25/2023 07:33:33,0.298,21.490
05/25/2023 07:43:33,0.299,21.490
05/25/2023 07:53:33,0.299,21.490
05/25/2023 08:03:33,0.299,21.405
05/25/2023 08:13:33,0.300,21.405
05/25/2023 08:23:33,0.301,21.362
05/25/2023 08:33:33,0.299,21.405
05/25/2023 08:43:33,0.300,21.319
05/25/2023 08:53:33,0.299,21.319
05/25/2023 09:03:33,0.299,21.276
05/25/2023 09:13:33,0.301,21.233
05/25/2023 09:23:33,0.299,21.233
05/25/2023 09:33:33,0.301,21.233
05/25/2023 09:43:33,0.299,21.233
05/25/2023 09:53:33,0.300,21.190
05/25/2023 10:03:33,0.299,21.147
05/25/2023 10:13:33,0.301,21.190
05/25/2023 10:23:33,0.301,21.190
05/25/2023 10:33:33,0.301,21.104
05/25/2023 10:43:33,0.301,21.104
05/25/2023 10:53:33,0.299,21.104
05/25/2023 11:03:33,0.302,21.104
