Date,Moisture,Temperature
05/24/2023 15:08:07,0.251,18.745
05/24/2023 15:18:07,0.251,18.745
05/24/2023 15:28:07,0.251,18.788
05/24/2023 15:38:07,0.250,18.830
05/24/2023 15:48:07,0.253,18.916
05/24/2023 15:58:07,0.250,18.959
05/24/2023 16:08:07,0.252,19.002
05/24/2023 16:18:07,0.252,19.131
05/24/2023 16:28:07,0.250,19.174
05/24/2023 16:38:07,0.252,19.260
05/24/2023 16:48:07,0.252,19.345
05/24/2023 16:58:07,0.253,19.431
05/24/2023 17:08:07,0.254,19.474
05/24/2023 17:18:07,0.254,19.560
05/24/2023 17:28:07,0.253,19.603
05/24/2023 17:38:07,0.254,19.689
05/24/2023 17:48:07,0.255,19.689
05/24/2023 17:58:07,0.254,19.731
05/24/2023 18:08:07,0.253,19.860
05/24/2023 18:18:07,0.255,19.860
05/24/2023 18:28:07,0.254,19.903
05/24/2023 18:38:07,0.255,19.903
05/24/2023 18:48:07,0.253,19.946
05/24/2023 18:58:07,0.254,19.946
05/24/2023 19:08:07,0.254,20.032
05/24/2023 19:18:07,0.254,20.032
05/24/2023 19:28:07,0.255,20.075
05/24/2023 19:38:07,0.254,20.032
05/24/2023 19:48:07,0.255,20.032
05/24/2023 19:58:07,0.256,20.075
05/24/2023 20:08:07,0.253,20.032
05/24/2023 20:18:07,0.255,20.075
05/24/2023 20:28:07,0.255,20.075
05/24/2023 20:38:07,0.255,20.118
05/24/2023 20:48:07,0.256,20.118
05/24/2023 20:58:07,0.255,20.118
05/24/2023 21:08:07,0.255,20.118
05/24/2023 21:18:07,0.254,20.118
05/24/2023 21:28:07,0.255,20.118
05/24/2023 21:38:07,0.256,20.118
05/24/2023 21:48:07,0.255,20.118
05/24/2023 21:58:07,0.255,20.118
05/24/2023 22:08:07,0.255,20.075
05/24/2023 22:18:07,0.255,20.032
05/24/2023 22:28:07,0.256,20.075
05/24/2023 22:38:07,0.256,20.075
05/24/2023 22:48:07,0.254,20.032
05/24/2023 22:58:07,0.255,20.032
05/24/2023 23:08:07,0.257,19.989
05/24/2023 23:18:07,0.255,19.989
05/24/2023 23:28:07,0.256,19.989
05/24/2023 23:38:07,0.256,19.989
05/24/2023 23:48:07,0.257,20.032
05/24/2023 23:58:07,0.255,19.946
05/25/2023 00:08:07,0.257,19.989
05/25/2023 00:18:07,0.256,19.946
05/25/2023 00:28:07,0.256,19.946
05/25/2023 00:38:07,0.254,19.860
05/25/2023 00:48:07,0.255,19.903
05/25/2023 00:58:07,0.257,19.860
05/25/2023 01:08:07,0.255,19.860
05/25/2023 01:18:07,0.254,19.860
05/25/2023 01:28:07,0.255,19.774
05/25/2023 01:38:07,0.255,19.731
