Date,Temperature,RH,Dew_point
08/26/2022 00:00:00,21.88,95.62,21.17
08/26/2022 00:30:00,21.77,96.44,21.21
08/26/2022 01:00:00,21.76,96.35,21.18
08/26/2022 01:30:00,21.60,96.74,21.09
08/26/2022 02:00:00,21.48,96.83,20.98
08/26/2022 02:30:00,21.45,97.49,21.06
08/26/2022 03:00:00,21.65,97.37,21.24
08/26/2022 03:30:00,21.79,97.21,21.36
08/26/2022 04:00:00,21.93,97.25,21.50
08/26/2022 04:30:00,22.02,97.51,21.63
08/26/2022 05:00:00,21.99,97.16,21.55
08/26/2022 05:30:00,21.97,97.29,21.55
08/26/2022 06:00:00,21.91,98.19,21.64
08/26/2022 06:30:00,21.78,98.59,21.58
08/26/2022 07:00:00,21.79,98.55,21.58
08/26/2022 07:30:00,21.79,99.32,21.71
08/26/2022 08:00:00,21.89,98.76,21.71
08/26/2022 08:30:00,22.26,98.61,22.06
08/26/2022 09:00:00,22.52,97.98,22.21
08/26/2022 09:30:00,23.25,95.72,22.56
08/26/2022 10:00:00,23.74,94.77,22.88
08/26/2022 10:30:00,23.96,91.86,22.58
08/26/2022 11:00:00,24.85,86.20,22.41
08/26/2022 11:30:00,25.59,83.56,22.62
08/26/2022 12:00:00,26.39,75.11,21.65
08/26/2022 12:30:00,25.65,80.17,22.01
08/26/2022 13:00:00,26.96,70.37,21.13
08/26/2022 13:30:00,26.87,76.96,22.52
08/26/2022 14:00:00,28.02,68.65,21.74
08/26/2022 14:30:00,28.23,65.29,21.12
08/26/2022 15:00:00,27.80,67.00,21.13
08/26/2022 15:30:00,28.49,65.38,21.39
08/26/2022 16:00:00,28.31,61.90,20.33
08/26/2022 16:30:00,28.64,61.22,20.47
08/26/2022 17:00:00,29.21,59.59,20.56
08/26/2022 17:30:00,28.64,64.65,21.35
08/26/2022 18:00:00,28.20,64.36,20.86
08/26/2022 18:30:00,27.35,70.65,21.57
08/26/2022 19:00:00,27.75,68.65,21.49
08/26/2022 19:30:00,27.12,73.83,22.08
08/26/2022 20:00:00,26.64,76.19,22.13
08/26/2022 20:30:00,26.04,77.80,21.89
08/26/2022 21:00:00,25.57,79.46,21.77
08/26/2022 21:30:00,25.97,80.07,22.30
08/26/2022 22:00:00,25.91,81.54,22.53
08/26/2022 22:30:00,25.72,82.92,22.62
08/26/2022 23:00:00,25.49,84.29,22.67
08/26/2022 23:30:00,25.07,86.80,22.75
08/27/2022 00:00:00,24.91,88.06,22.83
08/27/2022 00:30:00,24.59,89.55,22.79
08/27/2022 01:00:00,24.53,89.98,22.80
08/27/2022 01:30:00,24.18,91.63,22.76
08/27/2022 02:00:00,23.88,92.70,22.66
08/27/2022 02:30:00,23.41,94.65,22.53
08/27/2022 03:00:00,23.14,95.75,22.46
08/27/2022 03:30:00,23.00,96.00,22.36
08/27/2022 04:00:00,22.84,96.47,22.28
08/27/2022 04:30:00,22.77,96.57,22.22
08/27/2022 05:00:00,22.58,97.06,22.12
08/27/2022 05:30:00,22.50,97.42,22.10
08/27/2022 06:00:00,22.58,97.29,22.16
08/27/2022 06:30:00,22.46,97.38,22.05
08/27/2022 07:00:00,22.27,97.60,21.91
08/27/2022 07:30:00,22.58,96.52,22.03
08/27/2022 08:00:00,22.63,97.35,22.22
08/27/2022 08:30:00,23.83,93.24,22.70
08/27/2022 09:00:00,24.26,91.91,22.89
08/27/2022 09:30:00,24.71,91.42,23.25
08/27/2022 10:00:00,25.91,84.44,23.11
08/27/2022 10:30:00,26.33,81.91,23.02
08/27/2022 11:00:00,27.02,80.90,23.49
08/27/2022 11:30:00,27.58,76.41,23.09
08/27/2022 12:00:00,28.40,72.13,22.92
08/27/2022 12:30:00,29.27,62.89,21.49
08/27/2022 13:00:00,28.01,72.03,22.52
08/27/2022 13:30:00,28.63,68.78,22.36
08/27/2022 14:00:00,28.18,67.96,21.73
08/27/2022 14:30:00,28.93,68.72,22.63
08/27/2022 15:00:00,29.79,64.39,22.37
08/27/2022 15:30:00,29.97,60.21,21.44
08/27/2022 16:00:00,30.27,60.19,21.72
08/27/2022 16:30:00,30.86,56.79,21.32
08/27/2022 17:00:00,30.54,56.14,20.83
08/27/2022 17:30:00,29.70,63.70,22.10
08/27/2022 18:00:00,29.08,66.44,22.22
08/27/2022 18:30:00,28.10,72.71,22.76
08/27/2022 19:00:00,27.78,75.71,23.12
08/27/2022 19:30:00,27.56,79.07,23.63
08/27/2022 20:00:00,25.61,84.82,22.89
08/27/2022 20:30:00,24.86,86.36,22.45
08/27/2022 21:00:00,25.23,83.96,22.36
08/27/2022 21:30:00,24.58,81.56,21.24
08/27/2022 22:00:00,23.52,89.86,21.79
08/27/2022 22:30:00,24.04,90.07,22.34
08/27/2022 23:00:00,24.18,90.89,22.63
08/27/2022 23:30:00,23.68,92.23,22.37
08/28/2022 00:00:00,23.71,93.49,22.63
08/28/2022 00:30:00,24.28,88.52,22.29
08/28/2022 01:00:00,23.65,88.19,21.60
08/28/2022 01:30:00,23.27,89.63,21.50
08/28/2022 02:00:00,23.11,90.08,21.42
08/28/2022 02:30:00,22.99,90.79,21.43
08/28/2022 03:00:00,22.84,91.66,21.44
08/28/2022 03:30:00,22.54,93.28,21.43
08/28/2022 04:00:00,22.28,94.45,21.38
08/28/2022 04:30:00,22.11,94.97,21.30
08/28/2022 05:00:00,21.96,95.22,21.19
08/28/2022 05:30:00,21.82,95.70,21.13
08/28/2022 06:00:00,21.69,95.98,21.05
08/28/2022 06:30:00,21.57,95.99,20.93
08/28/2022 07:00:00,21.59,95.72,20.90
08/28/2022 07:30:00,21.45,96.34,20.87
08/28/2022 08:00:00,22.32,94.16,21.36
08/28/2022 08:30:00,23.25,91.92,21.89
08/28/2022 09:00:00,24.54,87.94,22.43
08/28/2022 09:30:00,25.07,87.18,22.82
08/28/2022 10:00:00,25.42,86.36,23.00
08/28/2022 10:30:00,26.28,83.51,23.30
08/28/2022 11:00:00,26.30,81.99,23.00
08/28/2022 11:30:00,26.69,79.40,22.86
08/28/2022 12:00:00,28.14,71.22,22.46
08/28/2022 12:30:00,28.56,66.24,21.67
08/28/2022 13:00:00,28.47,67.03,21.78
08/28/2022 13:30:00,29.44,61.89,21.39
08/28/2022 14:00:00,29.49,60.35,21.03
08/28/2022 14:30:00,29.67,59.63,21.00
08/28/2022 15:00:00,30.21,54.25,19.97
08/28/2022 15:30:00,30.19,52.06,19.28
08/28/2022 16:00:00,30.33,52.78,19.63
08/28/2022 16:30:00,30.56,52.79,19.85
08/28/2022 17:00:00,29.78,56.55,20.24
08/28/2022 17:30:00,30.38,54.87,20.31
08/28/2022 18:00:00,30.09,56.43,20.50
08/28/2022 18:30:00,29.83,57.77,20.64
08/28/2022 19:00:00,29.62,59.30,20.86
08/28/2022 19:30:00,29.12,60.86,20.81
08/28/2022 20:00:00,28.00,66.92,21.31
08/28/2022 20:30:00,27.55,68.05,21.15
08/28/2022 21:00:00,27.06,70.00,21.14
08/28/2022 21:30:00,26.12,74.21,21.20
08/28/2022 22:00:00,25.67,76.49,21.26
08/28/2022 22:30:00,24.82,81.76,21.51
08/28/2022 23:00:00,24.25,85.14,21.62
08/28/2022 23:30:00,23.86,86.10,21.42
08/29/2022 00:00:00,23.53,87.53,21.36
08/29/2022 00:30:00,23.26,89.16,21.40
08/29/2022 01:00:00,23.07,90.71,21.49
08/29/2022 01:30:00,23.50,87.97,21.42
08/29/2022 02:00:00,23.53,87.20,21.30
08/29/2022 02:30:00,23.14,88.47,21.16
08/29/2022 03:00:00,22.75,90.73,21.18
08/29/2022 03:30:00,22.43,91.98,21.09
